Date,Open,High,Low,Close,Adj Close,Volume
2004-05-27,7.440000,7.500000,6.500000,6.700000,6.700000,1919200
2004-05-28,6.880000,6.880000,6.610000,6.610000,6.610000,105600
2004-06-01,6.590000,6.710000,6.400000,6.500000,6.500000,118600
2004-06-02,6.400000,6.450000,6.250000,6.300000,6.300000,33000
2004-06-03,6.250000,6.500000,6.250000,6.250000,6.250000,30900
2004-06-04,6.600000,6.600000,6.000000,6.020000,6.020000,94200
2004-06-07,6.100000,6.300000,6.000000,6.100000,6.100000,92100
2004-06-08,6.490000,6.490000,6.060000,6.100000,6.100000,52100
2004-06-09,6.300000,6.300000,5.960000,5.960000,5.960000,48200
2004-06-10,6.200000,6.200000,5.790000,6.100000,6.100000,48600
2004-06-14,6.150000,6.230000,6.050000,6.200000,6.200000,45600
2004-06-15,6.110000,6.700000,6.100000,6.400000,6.400000,42900
2004-06-16,6.400000,6.700000,6.260000,6.400000,6.400000,24300
2004-06-17,6.500000,6.920000,6.300000,6.850000,6.850000,133500
2004-06-18,6.950000,6.950000,6.510000,6.620000,6.620000,15400
2004-06-21,6.810000,6.890000,6.550000,6.600000,6.600000,13700
2004-06-22,6.600000,6.750000,6.350000,6.350000,6.350000,16100
2004-06-23,6.840000,6.840000,6.100000,6.400000,6.400000,14600
2004-06-24,6.250000,6.300000,6.010000,6.200000,6.200000,13800
2004-06-25,6.480000,6.480000,6.000000,6.000000,6.000000,1700
2004-06-28,6.440000,6.440000,5.990000,6.150000,6.150000,8100
2004-06-29,6.400000,6.500000,6.180000,6.270000,6.270000,11500
2004-06-30,6.270000,6.270000,6.130000,6.200000,6.200000,3500
2004-07-01,6.320000,6.390000,6.250000,6.300000,6.300000,3100
2004-07-02,6.350000,6.350000,6.130000,6.300000,6.300000,1600
2004-07-06,6.150000,6.250000,6.150000,6.150000,6.150000,2500
2004-07-07,6.170000,6.170000,6.070000,6.080000,6.080000,1900
2004-07-08,6.300000,6.300000,6.000000,6.070000,6.070000,2300
2004-07-09,6.010000,6.010000,6.000000,6.000000,6.000000,2600
2004-07-12,6.250000,6.500000,6.250000,6.380000,6.380000,7000
2004-07-13,6.300000,6.400000,6.060000,6.300000,6.300000,4000
2004-07-14,6.150000,6.150000,6.150000,6.150000,6.150000,100
2004-07-15,6.150000,6.350000,6.000000,6.200000,6.200000,6800
2004-07-16,6.350000,6.350000,6.050000,6.300000,6.300000,900
2004-07-19,6.050000,6.300000,6.000000,6.030000,6.030000,5400
2004-07-20,6.030000,6.200000,6.000000,6.200000,6.200000,2200
2004-07-21,6.020000,6.300000,6.000000,6.010000,6.010000,19600
2004-07-22,6.200000,6.300000,6.000000,6.300000,6.300000,33800
2004-07-23,6.300000,6.300000,6.020000,6.170000,6.170000,1500
2004-07-26,5.970000,6.400000,5.970000,6.110000,6.110000,8800
2004-07-27,6.290000,6.300000,6.110000,6.300000,6.300000,32200
2004-07-28,6.150000,6.300000,6.150000,6.290000,6.290000,33500
2004-07-29,6.080000,6.300000,5.980000,6.290000,6.290000,10200
2004-07-30,6.150000,6.340000,6.100000,6.220000,6.220000,23200
2004-08-02,6.000000,6.250000,6.000000,6.250000,6.250000,800
2004-08-03,6.330000,6.480000,5.900000,5.960000,5.960000,10500
2004-08-04,5.960000,6.020000,5.750000,5.850000,5.850000,17600
2004-08-05,5.800000,5.800000,5.200000,5.230000,5.230000,15600
2004-08-06,5.230000,5.390000,4.950000,5.390000,5.390000,9700
2004-08-09,5.070000,5.300000,5.060000,5.150000,5.150000,3900
2004-08-10,5.200000,5.460000,5.100000,5.460000,5.460000,4600
2004-08-11,5.130000,5.380000,5.120000,5.120000,5.120000,700
2004-08-12,5.400000,5.470000,5.400000,5.470000,5.470000,400
2004-08-13,5.350000,5.450000,5.140000,5.450000,5.450000,1900
2004-08-16,5.160000,5.470000,5.140000,5.280000,5.280000,3600
2004-08-17,5.300000,5.750000,5.270000,5.700000,5.700000,9800
2004-08-18,5.700000,5.700000,5.700000,5.700000,5.700000,900
2004-08-19,5.700000,5.700000,5.450000,5.600000,5.600000,2200
2004-08-20,5.500000,5.730000,5.000000,5.700000,5.700000,1005000
2004-08-23,5.700000,5.700000,5.300000,5.700000,5.700000,3400
2004-08-24,5.700000,5.700000,5.400000,5.600000,5.600000,2300
2004-08-25,5.650000,6.000000,5.600000,5.710000,5.710000,67900
2004-08-26,5.700000,6.000000,5.150000,5.940000,5.940000,36400
2004-08-27,5.810000,5.980000,5.810000,5.910000,5.910000,6600
