Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,25.260000,25.270000,25.080000,25.209999,24.613100,298200
2018-07-02,25.309999,25.309999,25.200001,25.209999,24.613100,3200
2018-07-03,25.350000,25.350000,25.304001,25.304001,24.704878,6800
2018-07-05,25.200001,25.497999,25.200001,25.497999,24.894285,2300
2018-07-06,25.690001,25.690001,25.690001,25.690001,25.081738,100
2018-07-09,26.190001,26.190001,25.667000,25.670000,25.062212,11100
2018-07-10,25.806000,25.948999,25.740000,25.740000,25.130554,18700
2018-07-11,26.309999,26.309999,25.639999,25.719000,25.110050,18500
2018-07-12,25.700001,25.700001,25.600000,25.608000,25.001678,2500
2018-07-13,25.540001,25.559999,25.455000,25.540001,24.935287,900
2018-07-16,25.600000,25.600000,25.430000,25.430000,24.827892,12300
2018-07-17,25.870001,25.870001,25.306000,25.309999,24.710735,900
2018-07-18,25.195000,25.360001,25.170000,25.360001,24.759552,9000
2018-07-19,25.440001,25.440001,25.420000,25.420000,24.818132,800
2018-07-20,25.296000,25.296000,25.290001,25.290001,24.691208,6300
2018-07-23,25.400000,25.400000,24.990000,25.209999,24.613100,16700
2018-07-24,25.600000,25.600000,25.000000,25.000000,24.408073,14200
2018-07-25,25.250000,25.250000,25.250000,25.250000,24.652157,4800
2018-07-26,25.250000,25.250000,25.250000,25.250000,24.652157,100
2018-07-27,25.555000,25.555000,25.555000,25.555000,24.949936,100
2018-07-30,24.919001,24.919001,24.919001,24.919001,24.328993,500
2018-07-31,25.379999,25.379999,25.371000,25.377001,24.776150,2400
2018-08-01,25.377001,25.377001,25.377001,25.377001,24.776150,0
2018-08-02,25.860001,25.860001,25.426001,25.642000,25.034874,2100
2018-08-03,25.600000,25.650000,25.600000,25.650000,25.042685,700
2018-08-06,25.834999,25.834999,25.834999,25.834999,25.223303,600
2018-08-07,25.920000,25.920000,25.910000,25.910000,25.296530,2600
2018-08-08,25.930000,26.010000,25.930000,26.010000,25.394159,5100
2018-08-09,26.011000,26.011000,26.011000,26.011000,25.395136,500
2018-08-10,25.860001,26.219999,25.840000,25.930000,25.316055,12800
2018-08-13,25.969999,25.980000,25.969999,25.969999,25.355108,2000
2018-08-14,25.969999,25.969999,25.969999,25.969999,25.355108,100
2018-08-15,25.549999,25.549999,25.370001,25.370001,24.769316,4500
2018-08-16,25.600000,25.660000,25.600000,25.660000,25.052446,1000
2018-08-17,25.660000,25.660000,25.600000,25.600000,24.993870,2200
2018-08-20,25.940001,26.000000,25.926001,25.958000,25.343391,6500
2018-08-21,26.410000,26.410000,26.400000,26.400000,25.774927,3100
2018-08-22,26.490000,26.490000,26.490000,26.490000,25.862797,100
2018-08-23,26.820000,26.820000,26.430000,26.430000,25.804216,900
2018-08-24,26.500000,26.500000,26.385000,26.385000,25.760283,400
2018-08-27,26.840000,26.900000,26.840000,26.900000,26.263088,500
2018-08-28,26.959999,26.959999,26.200001,26.200001,25.579664,39400
2018-08-29,26.379999,26.400000,26.315001,26.329000,25.705610,4400
2018-08-30,26.750000,26.750000,26.190001,26.209999,25.589424,9000
2018-08-31,26.209999,26.240000,26.209999,26.240000,25.618715,900
2018-09-04,26.160000,26.160000,26.120001,26.120001,25.501556,1100
2018-09-05,26.350000,26.350000,25.830000,26.049999,25.433214,5500
2018-09-06,26.100000,26.110001,25.870001,25.870001,25.257477,2100
2018-09-07,25.695000,25.695000,25.695000,25.695000,25.086620,400
2018-09-10,26.200001,26.200001,25.740999,25.792999,25.182299,6900
2018-09-11,25.830000,25.830000,25.830000,25.830000,25.218426,8800
2018-09-12,26.180000,26.240000,26.180000,26.198999,25.578684,2700
2018-09-13,26.559999,26.559999,26.097000,26.230000,25.608950,4100
2018-09-14,25.840000,26.090000,25.840000,26.080000,25.462505,15100
2018-09-17,25.930000,25.969999,25.930000,25.969999,25.355108,400
2018-09-18,26.136999,26.136999,26.094999,26.094999,25.477146,700
2018-09-19,26.049999,26.049999,26.049999,26.049999,25.433214,700
2018-09-20,26.245001,26.245001,26.245001,26.245001,25.623596,200
2018-09-21,26.219999,26.400000,26.219999,26.400000,25.774927,3000
2018-09-24,26.230000,26.230000,25.987000,25.987000,25.371704,4300
2018-09-25,26.219999,26.219999,25.750000,25.770000,25.159842,6200
2018-09-26,25.709999,25.760000,25.667000,25.667000,25.059280,5600
2018-09-27,25.610001,25.610001,25.610001,25.610001,25.003633,200
2018-09-28,24.809999,25.730000,24.809999,25.730000,25.120790,1800
2018-10-01,25.912001,25.912001,25.780001,25.780001,25.169605,5900
2018-10-02,25.860001,25.990000,25.860001,25.969999,25.355108,1900
2018-10-03,26.070000,26.070000,25.740999,25.740999,25.131529,300
2018-10-04,25.316000,25.316000,25.000000,25.000000,24.408073,7400
2018-10-05,24.990000,24.990000,24.670000,24.670000,24.085890,500
2018-10-08,24.629999,24.629999,24.629999,24.629999,24.046835,100
2018-10-09,24.629999,24.629999,24.629999,24.629999,24.046835,100
2018-10-10,24.389999,24.389999,24.389999,24.389999,23.812515,200
2018-10-11,23.577000,23.577000,23.577000,23.577000,23.018768,600
2018-10-12,23.520000,23.730000,23.520000,23.620001,23.060751,1900
2018-10-15,24.120001,24.120001,24.120001,24.120001,23.548912,200
2018-10-16,24.120001,24.120001,24.120001,24.120001,23.548912,100
2018-10-17,24.610001,24.610001,24.610001,24.610001,24.027309,400
2018-10-18,24.830000,24.830000,24.360001,24.389999,23.812515,6000
