Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,24.330000,24.330000,24.150000,24.150000,23.341066,300100
2018-12-07,24.150000,24.150000,24.150000,24.150000,23.341066,0
2018-12-10,24.420000,24.420000,24.420000,24.420000,23.602026,0
2018-12-11,24.040001,24.150000,24.040001,24.150000,23.341066,400
2018-12-12,24.530001,24.530001,24.500000,24.500000,23.679346,700
2018-12-13,24.410000,24.450001,24.400000,24.400000,23.582693,1400
2018-12-14,24.090000,24.090000,24.090000,24.090000,23.283079,300
2018-12-17,23.840000,23.840000,23.840000,23.840000,23.041452,300
2018-12-18,23.879999,23.879999,23.879999,23.879999,23.080111,300
2018-12-19,23.629999,23.629999,23.629999,23.629999,22.880644,300
2018-12-20,23.860001,23.860001,23.590000,23.590000,22.841915,2700
2018-12-21,23.200001,23.200001,23.200001,23.200001,22.464281,300
2018-12-24,22.950001,22.950001,22.950001,22.950001,22.222210,300
2018-12-26,23.530001,23.530001,23.530001,23.530001,22.783817,100
2018-12-27,23.549999,23.549999,23.549999,23.549999,22.803183,100
2018-12-28,23.660000,23.660000,23.660000,23.660000,22.909695,300
2018-12-31,23.680000,23.680000,23.680000,23.680000,22.929060,300
2019-01-02,23.670000,23.670000,23.670000,23.670000,22.919376,300
2019-01-03,23.410000,23.410000,23.410000,23.410000,22.667622,300
2019-01-04,24.100000,24.100000,24.100000,24.100000,23.335741,300
2019-01-07,24.209999,24.209999,24.209999,24.209999,23.442251,300
2019-01-08,24.360001,24.360001,24.360001,24.360001,23.587496,300
2019-01-09,24.709999,24.709999,24.709999,24.709999,23.926395,300
2019-01-10,24.809999,24.809999,24.809999,24.809999,24.023224,600
2019-01-11,24.670000,24.670000,24.670000,24.670000,23.887665,300
2019-01-14,24.520000,24.520000,24.520000,24.520000,23.742422,300
2019-01-15,24.690001,24.690001,24.690001,24.690001,23.907032,300
2019-01-16,24.820000,24.820000,24.820000,24.820000,24.032909,300
2019-01-17,24.910000,24.910000,24.910000,24.910000,24.120054,300
2019-01-18,25.120001,25.120001,25.120001,25.120001,24.323395,300
2019-01-22,24.709999,24.709999,24.709999,24.709999,23.926395,300
2019-01-23,24.889999,24.889999,24.889999,24.889999,24.100689,300
2019-01-24,24.980000,24.980000,24.980000,24.980000,24.187834,300
2019-01-25,25.280001,25.280001,25.280001,25.280001,24.478321,300
2019-01-28,25.170000,25.170000,25.170000,25.170000,24.371809,300
2019-01-29,25.190001,25.190001,25.190001,25.190001,24.391176,300
2019-01-30,25.520000,25.520000,25.520000,25.520000,24.710709,300
2019-01-31,25.540001,25.540001,25.540001,25.540001,24.730076,400
2019-02-01,25.719999,25.719999,25.500000,25.500000,24.691343,500
2019-02-04,25.520000,25.580000,25.476999,25.580000,24.768806,4000
2019-02-05,25.709999,25.830000,25.709999,25.830000,25.010880,1000
2019-02-06,25.610001,25.610001,25.610001,25.610001,24.797855,300
2019-02-07,25.330000,25.330000,25.330000,25.330000,24.526735,300
2019-02-08,25.250000,25.250000,25.250000,25.250000,24.449270,500
2019-02-11,25.200001,25.200001,25.200001,25.200001,24.400858,300
2019-02-12,25.430000,25.430000,25.430000,25.430000,24.623564,300
2019-02-13,25.410000,25.410000,25.410000,25.410000,24.604198,300
2019-02-14,25.379999,25.379999,25.379999,25.379999,24.575148,300
2019-02-15,25.620001,25.620001,25.620001,25.620001,24.807539,300
2019-02-19,25.584000,25.760000,25.584000,25.760000,24.943100,1700
2019-02-20,25.830000,25.830000,25.830000,25.830000,25.010880,300
2019-02-21,25.799999,25.799999,25.799999,25.799999,24.981831,300
2019-02-22,25.980000,25.980000,25.980000,25.980000,25.156122,300
2019-02-25,26.090000,26.090000,26.080000,26.080000,25.252951,2700
2019-02-26,26.129999,26.200001,26.129999,26.200001,25.369146,700
2019-02-27,26.090000,26.090000,26.090000,26.090000,25.262632,400
2019-02-28,25.900000,25.900000,25.900000,25.900000,25.078659,300
2019-03-01,26.000000,26.000000,26.000000,26.000000,25.175488,300
2019-03-04,26.000000,26.000000,26.000000,26.000000,25.175488,300
