Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,7.500000,7.425000,7.425000,4.379938,400
1980-03-18,7.425000,7.425000,7.425000,7.425000,4.379938,0
1980-03-19,0.000000,7.425000,7.350000,7.425000,4.379938,600
1980-03-20,0.000000,7.350000,7.200000,7.350000,4.335693,3700
1980-03-21,0.000000,7.350000,7.200000,7.200000,4.247211,1400
1980-03-24,7.200000,7.200000,7.200000,7.200000,4.247211,0
1980-03-25,7.200000,7.200000,7.200000,7.200000,4.247211,0
1980-03-26,0.000000,7.050000,7.050000,7.050000,4.158729,800
1980-03-27,0.000000,6.975000,6.975000,6.975000,4.114486,600
1980-03-28,0.000000,6.975000,6.825000,6.825000,4.026002,600
1980-03-31,0.000000,6.900000,6.675000,6.675000,3.937520,200
1980-04-01,0.000000,6.600000,6.600000,6.600000,3.893278,100
1980-04-02,0.000000,6.750000,6.600000,6.750000,3.981762,1000
1980-04-03,0.000000,6.750000,6.600000,6.750000,3.981762,26800
1980-04-07,0.000000,6.600000,6.600000,6.600000,3.893278,400
1980-04-08,0.000000,6.450000,6.450000,6.450000,3.804795,100
1980-04-09,0.000000,6.525000,6.525000,6.525000,3.849035,100
1980-04-10,0.000000,6.600000,6.525000,6.600000,3.893278,1400
1980-04-11,6.600000,6.600000,6.600000,6.600000,3.893278,0
1980-04-14,0.000000,6.450000,6.450000,6.450000,3.804795,400
1980-04-15,6.450000,6.450000,6.450000,6.450000,3.804795,0
1980-04-16,0.000000,6.600000,6.600000,6.600000,3.893278,400
1980-04-17,0.000000,6.450000,6.300000,6.300000,3.716311,2100
1980-04-18,6.300000,6.300000,6.300000,6.300000,3.716311,0
1980-04-21,0.000000,6.450000,6.450000,6.450000,3.804795,400
1980-04-22,0.000000,6.900000,6.600000,6.825000,4.026002,1400
1980-04-23,0.000000,7.200000,6.900000,7.125000,4.202970,1600
1980-04-24,0.000000,7.350000,7.125000,7.275000,4.291453,1000
1980-04-25,0.000000,7.500000,7.350000,7.500000,4.424181,600
1980-04-28,0.000000,7.650000,7.350000,7.650000,4.512664,2100
1980-04-29,0.000000,7.725000,7.725000,7.725000,4.556904,100
1980-04-30,0.000000,7.725000,7.575000,7.725000,4.556904,1000
1980-05-01,0.000000,7.800000,7.725000,7.800000,4.601149,5700
