Date,Open,High,Low,Close,Adj Close,Volume
2015-05-21,25.000000,25.000000,25.000000,25.000000,15.715918,0
2015-05-22,24.950001,24.980000,24.860001,24.980000,15.703344,1279800
2015-05-26,24.980000,25.000000,24.900000,25.000000,15.715918,68600
2015-05-27,25.000000,25.000000,24.930000,24.950001,15.684484,58800
2015-05-28,24.950001,24.969999,24.900000,24.969999,15.697058,34500
2015-05-29,24.950001,24.959999,24.910000,24.950001,15.684484,13800
2015-06-01,24.950001,24.990000,24.950001,24.980000,15.703344,13600
2015-06-02,24.989000,24.989000,24.943001,24.950001,15.684484,17400
2015-06-03,24.950001,24.950001,24.900000,24.900000,15.653053,13900
2015-06-04,24.900000,24.940001,24.900000,24.900000,15.653053,84200
2015-06-05,24.900000,24.920000,24.900000,24.900000,15.653053,63400
2015-06-08,24.990000,24.990000,24.910000,24.910000,15.659336,9100
2015-06-09,24.900000,24.940001,24.900000,24.900000,15.653053,22600
2015-06-10,24.940001,24.950001,24.910000,24.940001,15.678200,18800
2015-06-11,24.950001,24.950001,24.900000,24.900000,15.653053,9800
2015-06-12,24.900000,24.940001,24.900000,24.920000,15.665626,6900
2015-06-15,24.910000,24.943001,24.910000,24.910000,15.659336,7200
2015-06-16,24.920000,24.990000,24.910000,24.910000,15.659336,30600
2015-06-17,24.950001,24.950001,24.910000,24.910000,15.659336,13100
2015-06-18,24.910000,24.930000,24.900000,24.910000,15.659336,17100
2015-06-19,24.950001,24.950001,24.910000,24.930000,15.671910,1800
2015-06-22,24.930000,25.490000,24.900000,24.920000,15.665626,115600
2015-06-23,24.910000,26.000000,24.910000,24.950001,15.684484,202600
2015-06-24,24.959999,25.150000,24.900000,24.900000,15.653053,75800
2015-06-25,24.920000,24.990000,24.900000,24.900000,15.653053,52500
2015-06-26,24.900000,25.070000,24.900000,24.900000,15.653053,52200
2015-06-29,24.900000,24.959999,24.170000,24.200001,15.213006,391600
2015-06-30,24.219999,24.862000,23.809999,24.020000,15.099849,133200
2015-07-01,24.000000,24.020000,23.549999,24.020000,15.099849,39900
2015-07-02,24.020000,24.170000,23.540001,23.959999,15.062135,40700
2015-07-06,23.680000,23.820000,23.379999,23.700001,14.898687,23900
2015-07-07,23.580000,23.580000,23.030001,23.320000,14.659810,37500
2015-07-08,23.049999,23.049999,22.889999,22.900000,14.395777,4800
2015-07-09,22.870001,23.500000,22.340000,23.150000,14.552941,53600
2015-07-10,23.200001,23.249001,22.950001,23.160000,14.559229,23100
2015-07-13,22.980000,23.240000,22.910000,22.940001,14.420928,18000
2015-07-14,22.809999,22.809999,22.450001,22.450001,14.112893,44900
2015-07-15,22.450001,22.750000,22.170000,22.230000,13.974595,29200
2015-07-16,22.059999,22.059999,21.860001,21.920000,13.884015,26700
2015-07-17,21.770000,21.770000,21.400000,21.410000,13.560984,17800
2015-07-20,21.309999,21.430000,20.650000,20.930000,13.256958,69800
2015-07-21,20.730000,20.889999,20.420000,20.530001,13.003601,67700
2015-07-22,20.500000,20.900000,20.500000,20.870001,13.218950,68700
2015-07-23,20.900000,20.930000,20.580000,20.760000,13.149280,52600
2015-07-24,21.000000,21.413000,20.695999,21.270000,13.472309,114200
2015-07-27,21.160000,21.590000,20.830000,20.990000,13.294961,59200
2015-07-28,20.799999,21.879999,20.799999,21.180000,13.415304,45800
2015-07-29,21.430000,21.430000,21.129999,21.219999,13.440642,44000
2015-07-30,21.639999,21.639999,21.020000,21.020000,13.313964,60300
2015-07-31,20.969999,21.000000,20.860001,20.940001,13.263292,51700
2015-08-03,21.000000,21.000000,20.520000,20.549999,13.016268,39600
2015-08-04,20.559999,21.360001,20.520000,21.049999,13.332964,88500
2015-08-05,21.010000,21.350000,21.000000,21.020000,13.313964,35300
2015-08-06,21.340000,21.340000,20.650000,20.910000,13.244289,25800
2015-08-07,20.660000,20.940001,20.660000,20.858999,13.211987,29800
2015-08-10,21.000000,21.000000,20.799999,20.969999,13.282294,36300
2015-08-11,20.629999,20.770000,20.330000,20.350000,12.993064,27300
2015-08-12,20.330000,20.330000,19.580000,19.990000,12.763209,44300
2015-08-13,20.160000,20.160000,19.600000,20.000000,12.769591,53900
2015-08-14,20.200001,20.260000,19.930000,20.000000,12.769591,38700
2015-08-17,20.010000,20.010000,19.660000,19.990000,12.763209,52700
2015-08-18,20.030001,20.629999,20.020000,20.270000,12.941981,68400
2015-08-19,20.049999,20.355000,19.650000,20.010000,12.775981,67600
2015-08-20,20.010000,20.254000,19.320000,19.600000,12.514204,103800
2015-08-21,19.490000,19.540001,18.840000,18.996000,12.128559,103100
2015-08-24,17.680000,18.549999,16.680000,17.900000,11.428781,117100
2015-08-25,18.190001,18.299000,17.410000,17.709999,11.307477,78600
2015-08-26,17.500000,18.340000,17.309999,18.190001,11.613945,111600
2015-08-27,18.709999,18.740000,18.030001,18.650000,11.907642,109500
2015-08-28,18.170000,19.209999,18.170000,19.150000,12.226886,49000
2015-08-31,19.280001,19.280001,18.740000,18.760000,11.977878,60200
2015-09-01,18.900000,18.920000,18.070000,18.340000,11.709718,65600
2015-09-02,18.600000,18.959999,18.160000,18.917999,12.078759,53100
2015-09-03,19.049999,19.049999,18.590000,18.660000,11.914028,41100
2015-09-04,18.200001,18.570000,18.200001,18.480000,11.799102,31500
2015-09-08,18.840000,18.920000,18.330000,18.690001,11.933185,67500
2015-09-09,18.500000,18.760000,18.350000,18.350000,11.821733,51300
2015-09-10,18.450001,18.570000,18.030001,18.370001,11.834616,52500
2015-09-11,18.240000,18.469999,18.219999,18.299999,11.789518,88300
2015-09-14,18.350000,18.450001,18.020000,18.120001,11.673559,153400
2015-09-15,18.250000,18.450001,18.120001,18.450001,11.886155,78700
2015-09-16,18.360001,18.950001,18.260000,18.760000,12.085870,161300
2015-09-17,18.730000,19.035999,18.650000,18.820000,12.124519,107600
2015-09-18,18.900000,19.400000,18.420000,18.969999,12.221160,50900
2015-09-21,18.980000,19.200001,18.580000,18.719999,12.060094,76100
2015-09-22,18.780001,18.879999,17.980000,18.469999,11.899039,150100
2015-09-23,18.629999,18.709999,18.110001,18.110001,11.667114,103000
2015-09-24,18.110001,18.340000,17.700001,18.340000,11.815289,117300
2015-09-25,18.510000,18.860001,18.040001,18.240000,11.750867,74600
2015-09-28,18.280001,18.370001,17.250000,17.280001,11.132398,136600
2015-09-29,17.790001,17.940001,17.100000,17.160000,11.055091,68200
2015-09-30,17.459999,17.500000,17.230000,17.430000,11.229036,66400
2015-10-01,17.870001,18.040001,17.230000,17.490000,11.267690,92800
2015-10-02,17.600000,17.910000,17.327999,17.910000,11.538267,63000
2015-10-05,18.200001,18.572001,18.073000,18.270000,11.770194,53300
2015-10-06,18.351999,18.530001,18.090000,18.420000,11.866832,31700
2015-10-07,18.420000,18.840000,18.070000,18.360001,11.828173,47700
2015-10-08,18.260000,18.490000,18.103001,18.489000,12.020620,22000
2015-10-09,18.500000,18.730000,18.490000,18.639999,12.118792,31900
2015-10-12,18.580000,18.600000,18.312000,18.430000,11.982256,44200
2015-10-13,18.430000,18.590000,18.219999,18.389999,11.956253,38900
2015-10-14,18.500000,18.600000,18.230000,18.320000,11.910747,72600
2015-10-15,18.565001,18.590000,18.389999,18.500000,12.027771,36200
2015-10-16,18.459999,18.709999,18.280001,18.570000,12.073281,52800
2015-10-19,18.639999,18.639999,18.330000,18.500000,12.027771,34300
2015-10-20,18.600000,18.620001,18.410000,18.437000,11.986810,34200
2015-10-21,18.600000,18.600000,18.370001,18.400000,11.962754,35000
2015-10-22,18.600000,18.790001,18.554001,18.650000,12.125292,70400
2015-10-23,18.700001,18.959999,18.700001,18.850000,12.255325,36500
2015-10-26,18.809999,18.900000,18.639999,18.809999,12.229314,59000
2015-10-27,18.650000,18.780001,18.500000,18.610001,12.099287,66900
2015-10-28,18.690001,18.850000,18.530001,18.740000,12.183809,37000
2015-10-29,18.740000,18.860001,18.631001,18.709999,12.164300,45900
2015-10-30,18.700001,18.990000,18.700001,18.900000,12.287827,60400
2015-11-02,19.070000,19.090000,18.809999,18.920000,12.300832,56100
2015-11-03,18.860001,19.110001,18.850000,18.892000,12.282631,61700
2015-11-04,18.990000,19.021000,18.870001,18.940001,12.313835,60400
2015-11-05,19.100000,19.100000,18.850000,19.040001,12.378853,76400
2015-11-06,18.920000,19.034000,18.690001,18.830000,12.242316,52600
2015-11-09,18.594999,18.639999,18.340000,18.370001,12.050119,45500
2015-11-10,18.170000,18.344999,17.990000,18.250000,11.971404,65000
2015-11-11,18.530001,18.530001,18.010000,18.129999,11.892691,67900
2015-11-12,18.139999,18.180000,17.770000,17.959999,11.781173,52500
2015-11-13,17.879999,17.940001,17.600000,17.848000,11.707707,46000
2015-11-16,17.950001,17.950001,17.559999,17.830000,11.695901,86500
2015-11-17,17.830000,17.910000,17.629999,17.719999,11.623743,81000
2015-11-18,17.700001,17.850000,17.680000,17.850000,11.709021,157300
2015-11-19,17.830000,17.850000,17.650000,17.740000,11.636861,76700
2015-11-20,17.840000,17.950001,17.610001,17.709999,11.617186,73900
2015-11-23,17.790001,17.990000,17.639999,17.735001,11.633582,123500
2015-11-24,17.750000,18.010000,17.690001,17.809999,11.682779,69800
2015-11-25,17.889999,18.129999,17.860001,17.959999,11.781173,98000
2015-11-27,18.030001,18.040001,17.879999,18.010000,11.813975,11100
2015-11-30,18.040001,18.240000,18.030001,18.070000,11.853333,74800
2015-12-01,18.219999,18.360001,18.110001,18.270000,11.984521,95100
2015-12-02,18.299999,18.500000,18.270000,18.350000,12.037000,77400
2015-12-03,18.459999,18.459999,17.980000,18.000000,11.807413,85600
2015-12-04,17.959999,18.290001,17.910000,18.090000,11.866449,59500
2015-12-07,17.930000,18.030001,17.850000,17.961000,11.781831,57500
2015-12-08,17.530001,18.000000,17.530001,17.809999,11.682779,68600
2015-12-09,17.670000,18.129999,17.520000,18.090000,11.978774,120300
2015-12-10,18.049999,18.120001,17.860001,17.920000,11.866201,68400
2015-12-11,17.780001,17.860001,17.222000,17.340000,11.482140,90100
2015-12-14,17.120001,17.270000,16.865000,17.020000,11.270245,66200
2015-12-15,17.139999,17.330000,17.040001,17.250000,11.422545,102200
2015-12-16,17.400000,17.934999,17.280001,17.809999,11.793362,115300
2015-12-17,17.510000,17.990000,17.510000,17.830000,11.806608,147000
2015-12-18,17.850000,17.910000,17.680000,17.850000,11.819851,45900
2015-12-21,17.990000,18.030001,17.870001,17.930000,11.872826,74000
2015-12-22,18.020000,18.020000,17.620001,17.850000,11.819851,123700
2015-12-23,17.740000,18.059999,17.740000,17.969999,11.899310,132600
2015-12-24,18.049999,18.059999,17.920000,18.049999,11.952285,42100
2015-12-28,18.030001,18.110001,17.830000,18.030001,11.939046,121100
2015-12-29,18.230000,18.252001,17.959999,17.990000,11.912554,156900
2015-12-30,18.129999,18.240000,17.990000,18.110001,11.992017,110200
2015-12-31,18.090000,18.299999,18.000000,18.160000,12.025131,142000
2016-01-04,17.990000,18.200001,17.799999,17.950001,11.886067,62300
2016-01-05,17.900000,18.250000,17.900000,18.120001,11.998641,77100
2016-01-06,17.889999,18.070000,17.860001,17.959999,11.892692,46400
2016-01-07,17.549999,17.799999,17.280001,17.370001,11.502004,169500
2016-01-08,17.420000,17.580000,17.090000,17.110001,11.329841,76400
2016-01-11,17.090000,17.150000,16.820000,16.950001,11.223894,32800
2016-01-12,16.860001,16.980000,16.570000,16.770000,11.215196,60800
2016-01-13,16.760000,16.799999,16.219999,16.240000,10.860752,61300
2016-01-14,16.120001,16.280001,15.950000,16.150000,10.800563,92200
2016-01-15,15.830000,15.990000,15.380000,15.570000,10.412679,58700
2016-01-19,15.720000,15.720000,15.340000,15.400000,10.298986,61900
2016-01-20,15.370000,15.410000,14.260000,14.850000,9.931170,104100
2016-01-21,14.930000,15.410000,14.600000,15.030000,10.051549,149600
2016-01-22,15.260000,15.840000,15.260000,15.630000,10.452806,69000
2016-01-25,15.710000,15.810000,15.430000,15.500000,10.365865,79000
2016-01-26,15.480000,15.860000,15.480000,15.650000,10.466181,123800
2016-01-27,15.570000,15.787000,15.533000,15.660000,10.472871,104900
2016-01-28,15.880000,16.010000,15.710000,15.960000,10.673496,169600
2016-01-29,16.010000,16.410000,15.960000,16.400000,10.967750,88300
2016-02-01,16.420000,16.870001,16.190001,16.700001,11.168383,252100
2016-02-02,16.540001,16.540001,16.180000,16.379999,10.954379,126800
2016-02-03,16.400000,16.520000,15.970000,16.290001,10.894191,73900
2016-02-04,16.250000,16.340000,16.090000,16.090000,10.760436,68400
