Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,8.750000,8.750000,8.125000,8.125000,8.125000,15100
1998-01-21,8.000000,8.000000,8.000000,8.000000,8.000000,2900
1998-01-22,8.000000,8.000000,8.000000,8.000000,8.000000,900
1998-01-23,8.000000,8.000000,8.000000,8.000000,8.000000,700
1998-01-26,8.000000,8.000000,7.875000,7.875000,7.875000,1800
1998-01-27,7.875000,7.875000,7.750000,7.750000,7.750000,1600
1998-01-28,7.625000,7.750000,7.625000,7.750000,7.750000,2800
1998-01-29,7.687500,7.687500,7.687500,7.687500,7.687500,2400
1998-01-30,7.687500,7.687500,7.687500,7.687500,7.687500,0
1998-02-02,7.687500,7.687500,7.500000,7.500000,7.500000,4400
1998-02-03,7.625000,7.875000,7.625000,7.750000,7.750000,6100
1998-02-04,7.750000,7.750000,7.687500,7.750000,7.750000,5400
1998-02-05,7.750000,7.750000,7.750000,7.750000,7.750000,2500
1998-02-06,7.750000,7.750000,7.750000,7.750000,7.750000,2800
1998-02-09,7.500000,7.500000,7.500000,7.500000,7.500000,9100
1998-02-10,7.500000,7.500000,7.250000,7.250000,7.250000,4400
1998-02-11,7.250000,7.250000,6.875000,7.000000,7.000000,4200
1998-02-12,7.000000,7.000000,7.000000,7.000000,7.000000,1000
1998-02-13,7.000000,7.000000,7.000000,7.000000,7.000000,600
1998-02-17,7.000000,7.000000,7.000000,7.000000,7.000000,300
1998-02-18,7.000000,7.000000,7.000000,7.000000,7.000000,1300
1998-02-19,7.000000,7.000000,7.000000,7.000000,7.000000,4000
1998-02-20,7.000000,7.000000,7.000000,7.000000,7.000000,300
1998-02-23,7.000000,7.000000,7.000000,7.000000,7.000000,300
1998-02-24,7.000000,7.000000,7.000000,7.000000,7.000000,100
1998-02-25,7.000000,7.000000,7.000000,7.000000,7.000000,300
1998-02-26,7.000000,7.000000,7.000000,7.000000,7.000000,0
1998-02-27,7.000000,7.000000,7.000000,7.000000,7.000000,0
1998-03-02,6.875000,6.875000,6.750000,6.750000,6.750000,1800
1998-03-03,6.625000,6.625000,6.500000,6.500000,6.500000,3200
1998-03-04,6.375000,6.375000,6.250000,6.250000,6.250000,2000
1998-03-05,6.250000,6.250000,5.875000,5.875000,5.875000,3600
1998-03-06,5.875000,5.875000,5.875000,5.875000,5.875000,800
1998-03-09,6.000000,6.250000,6.000000,6.187500,6.187500,6000
1998-03-10,6.375000,6.687500,6.375000,6.562500,6.562500,2400
1998-03-11,6.437500,6.625000,6.250000,6.625000,6.625000,4900
1998-03-12,6.562500,6.562500,6.375000,6.375000,6.375000,1700
1998-03-13,6.250000,6.250000,6.000000,6.000000,6.000000,2300
1998-03-16,6.000000,6.000000,6.000000,6.000000,6.000000,800
1998-03-17,6.000000,6.000000,6.000000,6.000000,6.000000,0
1998-03-18,6.000000,6.000000,6.000000,6.000000,6.000000,300
1998-03-19,5.750000,6.125000,5.625000,6.062500,6.062500,5500
1998-03-20,6.062500,6.062500,6.000000,6.000000,6.000000,800
1998-03-23,6.000000,6.000000,5.875000,5.875000,5.875000,200
1998-03-24,6.000000,6.000000,6.000000,6.000000,6.000000,1500
1998-03-25,6.000000,6.000000,6.000000,6.000000,6.000000,6600
1998-03-26,6.000000,6.125000,6.000000,6.000000,6.000000,700
1998-03-27,6.000000,6.000000,6.000000,6.000000,6.000000,300
