Date,Open,High,Low,Close,Adj Close,Volume
2018-07-27,4.000000,4.400000,3.950000,4.050000,4.050000,285400
2018-07-30,4.100000,4.250000,3.960000,4.010000,4.010000,43700
2018-07-31,3.750000,4.160000,3.750000,4.000000,4.000000,16400
2018-08-01,3.750000,4.350000,3.750000,4.250000,4.250000,13900
2018-08-02,4.300000,4.300000,4.000000,4.000000,4.000000,6700
2018-08-03,4.030000,4.180000,3.990000,4.000000,4.000000,48100
2018-08-06,4.140000,4.180000,3.980000,3.980000,3.980000,6800
2018-08-07,4.000000,4.000000,3.910000,3.910000,3.910000,30600
2018-08-08,4.000000,4.000000,3.800000,3.800000,3.800000,23600
2018-08-09,3.750000,3.750000,3.240000,3.300000,3.300000,35000
2018-08-10,3.490000,3.490000,3.330000,3.430000,3.430000,500
2018-08-13,3.420000,3.570000,3.400000,3.420000,3.420000,6600
2018-08-14,3.270000,3.850000,3.000000,3.850000,3.850000,37000
2018-08-15,3.750000,3.750000,3.530000,3.750000,3.750000,2100
2018-08-16,3.750000,3.750000,3.750000,3.750000,3.750000,600
2018-08-17,3.760000,3.840000,3.260000,3.840000,3.840000,20000
2018-08-20,3.800000,3.840000,3.500000,3.520000,3.520000,12300
2018-08-21,3.650000,3.850000,3.600000,3.710000,3.710000,9300
2018-08-22,3.650000,3.650000,3.600000,3.600000,3.600000,4100
2018-08-23,3.510000,3.540000,3.380000,3.540000,3.540000,4000
2018-08-24,3.170000,3.260000,2.940000,3.250000,3.250000,7000
2018-08-27,3.410000,3.410000,2.950000,3.020000,3.020000,15300
2018-08-28,3.100000,3.100000,3.020000,3.100000,3.100000,3000
2018-08-29,3.330000,3.330000,2.990000,3.030000,3.030000,7300
2018-08-30,3.050000,3.200000,3.000000,3.150000,3.150000,10100
2018-08-31,3.000000,3.100000,3.000000,3.080000,3.080000,14300
2018-09-04,3.340000,3.600000,2.740000,3.130000,3.130000,15500
2018-09-05,2.800000,3.460000,2.750000,2.900000,2.900000,22000
2018-09-06,2.990000,3.580000,2.900000,2.900000,2.900000,21500
2018-09-07,3.090000,3.090000,2.740000,2.900000,2.900000,1700
2018-09-10,3.000000,3.000000,2.770000,2.800000,2.800000,5000
2018-09-11,2.760000,3.000000,2.750000,2.850000,2.850000,17200
2018-09-12,3.000000,3.450000,2.760000,2.890000,2.890000,98100
2018-09-13,3.000000,3.000000,2.510000,2.940000,2.940000,24100
2018-09-14,2.900000,2.950000,2.730000,2.750000,2.750000,6300
2018-09-17,2.850000,3.360000,2.760000,2.920000,2.920000,33700
2018-09-18,2.990000,3.890000,2.990000,3.200000,3.200000,294300
2018-09-19,3.180000,3.200000,2.760000,2.900000,2.900000,30900
2018-09-20,2.880000,3.190000,2.850000,2.940000,2.940000,12000
2018-09-21,3.160000,3.210000,2.900000,2.900000,2.900000,18600
2018-09-24,3.040000,3.040000,2.810000,2.910000,2.910000,1100
2018-09-25,2.890000,3.150000,2.830000,2.850000,2.850000,59800
2018-09-26,2.950000,2.950000,2.750000,2.750000,2.750000,21700
2018-09-27,2.750000,2.990000,2.750000,2.870000,2.870000,2300
2018-09-28,2.930000,3.080000,2.730000,2.730000,2.730000,17800
2018-10-01,2.760000,2.860000,2.720000,2.720000,2.720000,12000
2018-10-02,2.760000,2.760000,2.560000,2.640000,2.640000,32400
2018-10-03,2.870000,3.400000,2.610000,2.700000,2.700000,24600
2018-10-04,2.710000,3.100000,2.710000,2.750000,2.750000,5000
2018-10-05,2.720000,3.000000,2.720000,2.750000,2.750000,1800
2018-10-08,2.850000,2.880000,2.720000,2.720000,2.720000,3900
2018-10-09,2.600000,2.960000,2.600000,2.960000,2.960000,2000
2018-10-10,2.880000,2.880000,2.600000,2.600000,2.600000,7200
2018-10-11,2.740000,2.860000,2.560000,2.640000,2.640000,6100
2018-10-12,2.630000,2.630000,2.610000,2.610000,2.610000,3000
2018-10-15,2.590000,2.590000,2.560000,2.560000,2.560000,3400
2018-10-16,2.620000,2.620000,2.560000,2.560000,2.560000,7600
2018-10-17,2.560000,2.570000,2.560000,2.570000,2.570000,1100
2018-10-18,2.570000,2.590000,2.170000,2.190000,2.190000,11200
2018-10-19,2.520000,2.680000,2.520000,2.630000,2.630000,2700
2018-10-22,2.620000,2.620000,2.400000,2.410000,2.410000,2600
2018-10-23,2.600000,2.790000,2.250000,2.600000,2.600000,9300
2018-10-24,2.510000,2.510000,2.050000,2.110000,2.110000,15900
2018-10-25,2.240000,2.240000,1.850000,2.000000,2.000000,10600
2018-10-26,1.990000,2.100000,1.860000,1.950000,1.950000,1400
2018-10-29,2.040000,2.040000,1.880000,1.880000,1.880000,400
2018-10-30,2.010000,2.060000,1.900000,1.900000,1.900000,5600
2018-10-31,1.910000,1.910000,1.850000,1.890000,1.890000,11500
2018-11-01,1.970000,1.970000,1.850000,1.910000,1.910000,19900
2018-11-02,1.880000,2.120000,1.870000,2.000000,2.000000,45600
2018-11-05,1.900000,2.250000,1.860000,1.930000,1.930000,253400
2018-11-06,2.120000,2.120000,1.700000,1.700000,1.700000,47700
2018-11-07,1.680000,1.680000,1.230000,1.400000,1.400000,78700
2018-11-08,1.540000,2.100000,1.260000,1.400000,1.400000,512500
2018-11-09,1.490000,1.650000,1.300000,1.570000,1.570000,139800
2018-11-12,1.620000,1.640000,1.400000,1.410000,1.410000,38200
2018-11-13,1.500000,1.500000,1.270000,1.270000,1.270000,65200
2018-11-14,1.270000,1.390000,1.110000,1.210000,1.210000,37700
2018-11-15,1.270000,1.440000,1.110000,1.380000,1.380000,56700
2018-11-16,1.450000,1.450000,1.220000,1.440000,1.440000,6900
2018-11-19,1.440000,1.440000,1.290000,1.380000,1.380000,34200
2018-11-20,1.260000,1.520000,1.260000,1.350000,1.350000,40700
2018-11-21,1.450000,1.570000,1.440000,1.520000,1.520000,34400
2018-11-23,1.540000,1.540000,1.330000,1.330000,1.330000,44000
2018-11-26,1.540000,1.680000,1.430000,1.660000,1.660000,49400
2018-11-27,1.660000,1.660000,1.330000,1.350000,1.350000,12100
2018-11-28,1.470000,1.470000,1.300000,1.320000,1.320000,28200
2018-11-29,1.420000,4.260000,1.420000,2.800000,2.800000,6571900
2018-11-30,3.540000,5.000000,3.540000,3.840000,3.840000,18334000
2018-12-03,3.500000,3.500000,2.770000,2.830000,2.830000,1096000
2018-12-04,2.800000,3.390000,2.670000,2.800000,2.800000,614500
2018-12-06,2.800000,3.140000,2.500000,3.000000,3.000000,461300
2018-12-07,3.000000,3.030000,2.380000,2.380000,2.380000,226100
2018-12-10,2.380000,2.500000,1.980000,2.130000,2.130000,255600
2018-12-11,2.140000,2.240000,1.800000,1.960000,1.960000,147800
2018-12-12,2.020000,2.250000,1.850000,2.030000,2.030000,275000
2018-12-13,2.880000,4.330000,2.550000,4.160000,4.160000,29024000
2018-12-14,3.650000,4.090000,3.330000,3.800000,3.800000,4458700
2018-12-17,3.460000,3.600000,2.800000,2.800000,2.800000,717700
2018-12-18,2.890000,3.180000,2.720000,2.950000,2.950000,441700
2018-12-19,3.520000,4.180000,3.290000,3.640000,3.640000,10434200
2018-12-20,3.570000,3.570000,2.860000,3.070000,3.070000,945200
2018-12-21,3.200000,4.300000,3.000000,4.300000,4.300000,812000
