Date,Open,High,Low,Close,Adj Close,Volume
2013-10-17,7.000000,8.910000,7.000000,8.550000,8.550000,0
2013-10-18,8.540000,8.550000,8.500000,8.530000,8.530000,28400
2013-10-21,8.500000,8.500000,8.050000,8.400000,8.400000,24500
2013-10-22,8.400000,8.500000,8.400000,8.450000,8.450000,5100
2013-10-23,8.450000,8.500000,8.450000,8.490000,8.490000,16900
2013-10-24,8.500000,8.500000,8.250000,8.400000,8.400000,48100
2013-10-25,8.400000,8.500000,8.400000,8.400000,8.400000,26000
2013-10-28,8.490000,8.500000,8.400000,8.500000,8.500000,2500
2013-10-29,8.400000,8.490000,8.400000,8.400000,8.400000,3000
2013-10-30,8.400000,8.400000,8.400000,8.400000,8.400000,4700
2013-10-31,8.400000,8.400000,8.300000,8.300000,8.300000,30100
2013-11-01,8.300000,8.500000,8.300000,8.310000,8.310000,8200
2013-11-04,8.500000,8.500000,8.300000,8.400000,8.400000,4500
2013-11-05,8.500000,8.500000,8.300000,8.300000,8.300000,6500
2013-11-06,8.390000,8.390000,8.250000,8.250000,8.250000,11500
2013-11-07,8.250000,8.250000,8.250000,8.250000,8.250000,4500
2013-11-08,8.200000,8.200000,8.150000,8.150000,8.150000,8100
2013-11-11,8.150000,8.150000,7.900000,8.000000,8.000000,11500
2013-11-12,8.000000,8.000000,7.950000,7.950000,7.950000,7000
2013-11-13,8.500000,8.500000,8.150000,8.400000,8.400000,32500
2013-11-14,8.500000,8.500000,8.400000,8.500000,8.500000,36200
2013-11-15,8.500000,8.500000,8.500000,8.500000,8.500000,88800
2013-11-18,8.500000,8.550000,8.500000,8.550000,8.550000,400
2013-11-19,8.600000,8.600000,8.150000,8.150000,8.150000,3400
2013-11-20,8.110000,8.110000,8.020000,8.020000,8.020000,11800
2013-11-21,8.020000,8.460000,8.020000,8.100000,8.100000,7000
2013-11-22,8.390000,8.390000,8.150000,8.150000,8.150000,6100
2013-11-25,8.050000,8.050000,7.800000,7.960000,7.960000,5200
2013-11-26,7.960000,7.960000,7.600000,7.950000,7.950000,11100
2013-11-27,7.990000,7.990000,7.940000,7.950000,7.950000,2700
2013-11-29,7.900000,8.000000,7.900000,8.000000,8.000000,3000
2013-12-02,7.900000,8.020000,7.900000,7.950000,7.950000,6000
2013-12-03,8.100000,8.100000,7.960000,7.960000,7.960000,2500
2013-12-04,8.000000,8.000000,7.670000,7.670000,7.670000,5100
2013-12-05,7.750000,7.770000,7.400000,7.400000,7.400000,6000
2013-12-06,7.850000,7.850000,7.410000,7.410000,7.410000,7000
2013-12-09,7.420000,7.460000,7.110000,7.150000,7.150000,5200
2013-12-10,7.200000,8.150000,7.200000,8.150000,8.150000,3900
2013-12-11,7.660000,7.740000,7.260000,7.300000,7.300000,4200
2013-12-12,7.550000,7.550000,7.160000,7.200000,7.200000,27100
2013-12-13,7.250000,7.300000,7.210000,7.210000,7.210000,2600
2013-12-16,7.310000,7.750000,7.210000,7.750000,7.750000,2300
2013-12-17,7.550000,7.700000,7.300000,7.300000,7.300000,4700
2013-12-18,7.220000,7.300000,7.200000,7.210000,7.210000,7500
2013-12-19,7.450000,7.450000,7.210000,7.210000,7.210000,2800
2013-12-20,7.400000,7.400000,7.210000,7.210000,7.210000,5400
2013-12-23,7.220000,7.220000,6.800000,6.800000,6.800000,20900
2013-12-24,6.750000,7.000000,6.700000,6.850000,6.850000,61400
2013-12-26,6.800000,6.900000,6.520000,6.870000,6.870000,51000
2013-12-27,6.950000,6.950000,6.800000,6.850000,6.850000,12300
2013-12-30,6.850000,7.250000,6.850000,7.250000,7.250000,7700
2013-12-31,7.250000,7.950000,7.250000,7.800000,7.800000,17800
2014-01-02,7.800000,7.800000,7.500000,7.500000,7.500000,9900
2014-01-03,7.850000,7.850000,7.520000,7.850000,7.850000,3700
2014-01-06,7.850000,7.850000,7.850000,7.850000,7.850000,0
2014-01-07,7.950000,8.010000,7.950000,8.000000,8.000000,1500
2014-01-08,7.560000,7.560000,7.500000,7.500000,7.500000,3200
2014-01-09,7.940000,7.940000,7.500000,7.500000,7.500000,3700
2014-01-10,7.760000,7.990000,7.760000,7.990000,7.990000,200
2014-01-13,7.640000,7.640000,7.550000,7.560000,7.560000,2800
2014-01-14,7.560000,7.560000,7.560000,7.560000,7.560000,0
2014-01-15,7.560000,7.560000,7.560000,7.560000,7.560000,0
2014-01-16,7.800000,7.950000,7.650000,7.950000,7.950000,8400
2014-01-17,7.950000,8.500000,7.950000,8.500000,8.500000,1700
2014-01-21,8.490000,8.850000,8.100000,8.100000,8.100000,2800
2014-01-22,8.300000,8.300000,8.300000,8.300000,8.300000,1000
2014-01-23,8.300000,8.300000,8.300000,8.300000,8.300000,0
2014-01-24,8.300000,8.300000,8.300000,8.300000,8.300000,0
2014-01-27,8.300000,8.850000,8.300000,8.797000,8.797000,34400
2014-01-28,8.770000,8.770000,8.500000,8.600000,8.600000,4000
2014-01-29,8.550000,8.550000,8.550000,8.550000,8.550000,500
2014-01-30,8.370000,8.550000,8.140000,8.550000,8.550000,2900
2014-01-31,8.600000,8.600000,8.600000,8.600000,8.600000,6900
2014-02-03,8.600000,8.600000,8.200000,8.200000,8.200000,16200
2014-02-04,8.400000,8.400000,8.400000,8.400000,8.400000,10800
2014-02-05,8.450000,8.450000,8.400000,8.400000,8.400000,8600
2014-02-06,8.400000,8.400000,8.400000,8.400000,8.400000,3300
2014-02-07,8.400000,9.150000,8.400000,8.700000,8.700000,9800
2014-02-10,8.400000,8.600000,8.400000,8.400000,8.400000,7100
2014-02-11,8.400000,8.420000,8.370000,8.400000,8.400000,4700
2014-02-12,8.270000,8.450000,8.210000,8.400000,8.400000,4300
2014-02-13,8.400000,8.400000,8.400000,8.400000,8.400000,100
2014-02-14,8.400000,8.500000,8.400000,8.500000,8.500000,15700
2014-02-18,8.700000,8.700000,8.400000,8.400000,8.400000,4700
2014-02-19,8.400000,8.550000,8.400000,8.500000,8.500000,4600
2014-02-20,8.600000,8.600000,8.600000,8.600000,8.600000,700
2014-02-21,8.500000,8.500000,8.400000,8.500000,8.500000,2500
2014-02-24,9.410000,10.160000,8.400000,8.500000,8.500000,3300
2014-02-25,8.300000,8.500000,8.300000,8.500000,8.500000,1100
2014-02-26,8.500000,8.500000,8.300000,8.500000,8.500000,2800
2014-02-27,8.500000,8.500000,8.400000,8.500000,8.500000,2600
2014-02-28,8.450000,8.510000,8.450000,8.510000,8.510000,2400
2014-03-03,8.960000,9.990000,8.960000,9.000000,9.000000,2400
2014-03-04,8.800000,8.900000,8.510000,8.510000,8.510000,2000
2014-03-05,8.650000,8.650000,8.650000,8.650000,8.650000,300
2014-03-06,9.450000,9.450000,8.850000,8.850000,8.850000,5000
2014-03-07,8.900000,8.900000,8.900000,8.900000,8.900000,400
2014-03-10,8.750000,8.750000,8.310000,8.310000,8.310000,1600
2014-03-11,8.600000,8.950000,8.600000,8.900000,8.900000,9600
2014-03-12,8.750000,8.750000,8.750000,8.750000,8.750000,100
2014-03-13,8.750000,8.900000,8.420000,8.420000,8.420000,6900
2014-03-14,8.950000,8.950000,8.600000,8.900000,8.900000,7200
2014-03-17,8.900000,8.900000,8.500000,8.500000,8.500000,9600
2014-03-18,8.500000,8.500000,8.500000,8.500000,8.500000,500
2014-03-19,8.500000,8.500000,8.500000,8.500000,8.500000,1200
2014-03-20,8.400000,8.500000,8.400000,8.500000,8.500000,4300
2014-03-21,8.550000,8.550000,8.400000,8.500000,8.500000,1200
2014-03-24,8.350000,8.350000,8.350000,8.350000,8.350000,1800
2014-03-25,7.750000,8.350000,7.580000,8.300000,8.300000,17600
2014-03-26,8.300000,8.300000,8.300000,8.300000,8.300000,1000
2014-03-27,8.000000,8.350000,8.000000,8.350000,8.350000,2600
2014-03-28,8.350000,8.350000,8.350000,8.350000,8.350000,0
2014-03-31,8.400000,8.400000,7.750000,8.350000,8.350000,32300
2014-04-01,7.750000,8.300000,7.750000,8.250000,8.250000,2100
2014-04-02,7.600000,8.300000,7.600000,8.300000,8.300000,1900
2014-04-03,8.000000,8.200000,8.000000,8.200000,8.200000,4800
2014-04-04,8.300000,8.300000,8.200000,8.300000,8.300000,2100
2014-04-07,8.300000,8.300000,8.000000,8.250000,8.250000,10400
2014-04-08,8.200000,8.350000,7.990000,8.350000,8.350000,6000
2014-04-09,8.350000,8.350000,8.350000,8.350000,8.350000,0
2014-04-10,8.100000,8.310000,8.000000,8.200000,8.200000,5900
2014-04-11,7.850000,8.200000,7.500000,8.050000,8.050000,7100
2014-04-14,8.150000,8.150000,7.500000,8.000000,8.000000,2400
2014-04-15,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-04-16,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-04-17,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-04-21,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-04-22,7.750000,8.300000,7.000000,7.750000,7.750000,8100
2014-04-23,7.750000,7.900000,7.100000,7.700000,7.700000,19700
2014-04-24,7.750000,7.750000,7.000000,7.750000,7.750000,1100
2014-04-25,7.750000,7.750000,7.000000,7.700000,7.700000,4400
2014-04-28,7.540000,7.650000,7.050000,7.530000,7.530000,7800
2014-04-29,7.530000,7.530000,6.990000,7.400000,7.400000,7200
2014-04-30,7.750000,7.750000,6.760000,7.750000,7.750000,10200
