Date,Open,High,Low,Close,Adj Close,Volume
2016-06-08,25.190001,25.190001,25.190001,25.190001,25.190001,0
2016-06-09,25.049999,25.190001,25.020000,25.190001,25.190001,99206
2016-06-10,25.180000,25.209999,25.070000,25.080000,25.080000,328923
2016-06-13,25.129999,25.129999,24.983000,24.983000,24.983000,22680
2016-06-14,24.959999,25.020000,24.952299,25.020000,25.020000,9016
2016-06-15,25.049999,25.110001,24.969999,25.000000,25.000000,30010
2016-06-16,24.980000,25.219999,24.950001,25.219999,25.219999,7100
2016-06-17,25.230000,25.230000,25.000000,25.180000,25.180000,1576
2016-06-20,25.370001,25.370001,25.280001,25.320000,25.320000,681
2016-06-21,25.309999,25.430000,25.280001,25.430000,25.430000,1273
2016-06-22,25.430000,25.430000,25.360001,25.370001,25.370001,47367
2016-06-23,25.459999,25.510000,25.420000,25.507000,25.507000,11150
2016-06-24,25.309999,25.480000,25.150000,25.260000,25.260000,5348
2016-06-27,25.190001,25.240000,25.090000,25.240000,25.240000,598
2016-06-28,25.360001,25.410000,25.360001,25.410000,25.410000,433
2016-06-29,25.700001,25.709999,25.600000,25.709900,25.709900,13840
2016-06-30,25.750000,26.120001,25.750000,26.119900,26.119900,2161
2016-07-01,26.260000,26.260000,26.090000,26.209999,26.209999,34115
2016-07-05,26.340000,26.350000,26.340000,26.350000,26.350000,405
2016-07-06,26.254999,26.348000,26.254999,26.348000,26.348000,598
2016-07-07,26.209999,26.209999,26.088400,26.088400,26.088400,31124
2016-07-08,26.090000,26.350000,26.080099,26.350000,26.350000,21783
2016-07-11,26.860001,26.860001,26.339899,26.375200,26.375200,3141
2016-07-12,26.670000,26.670000,26.188499,26.190001,26.190001,27423
2016-07-13,26.245001,26.303600,26.245001,26.299900,26.299900,4100
2016-07-14,26.250799,26.250799,26.205000,26.205000,26.205000,354
2016-07-15,26.270100,26.270100,26.112000,26.196699,26.196699,2250
2016-07-18,26.198000,26.219999,26.198000,26.219999,26.219999,1827
2016-07-19,26.219999,26.219999,26.219999,26.219999,26.219999,70
2016-07-20,26.100000,26.100000,26.055000,26.055000,26.055000,16442
2016-07-21,25.969999,25.969999,25.956800,25.961100,25.961100,2700
2016-07-22,26.119900,26.217600,26.119900,26.209999,26.209999,1593
2016-07-25,26.100000,26.132200,26.100000,26.132200,26.132200,1585
2016-07-26,26.100000,26.100000,25.940100,25.969801,25.969801,3606
2016-07-27,25.809999,25.809999,25.809999,25.809999,25.809999,1255
2016-07-28,25.809401,25.940001,25.809401,25.939899,25.939899,3398
2016-07-29,26.004999,26.049999,26.004999,26.049900,26.049900,3070
2016-08-01,26.024700,26.024700,26.024700,26.024700,26.024700,154
2016-08-02,25.840000,25.860001,25.813999,25.858000,25.858000,2140
2016-08-03,25.680000,25.681499,25.680000,25.681499,25.681499,7291
2016-08-04,25.719999,25.719999,25.709000,25.709000,25.709000,429
2016-08-05,25.656601,25.690001,25.639999,25.650000,25.650000,19933
2016-08-08,25.650000,25.650000,25.650000,25.650000,25.650000,0
2016-08-09,25.700001,25.700001,25.678699,25.678699,25.678699,7200
2016-08-10,25.639999,25.639999,25.610001,25.610001,25.610001,500
2016-08-11,25.670000,25.700001,25.667500,25.699900,25.699900,13876
2016-08-12,26.049999,26.049999,25.809999,25.850000,25.850000,3563
2016-08-15,25.850000,25.850000,25.850000,25.850000,25.850000,6190
2016-08-16,25.500000,25.504101,25.474100,25.494600,25.494600,2431
2016-08-17,25.299999,25.529699,25.260000,25.529699,25.529699,957
2016-08-18,25.600000,25.690001,25.600000,25.690001,25.690001,200
2016-08-19,25.580000,25.580000,25.580000,25.580000,25.580000,104
2016-08-22,25.700001,25.840000,25.700001,25.840000,25.840000,2221
2016-08-23,25.867599,25.867599,25.788000,25.788000,25.788000,1609
2016-08-24,25.700001,25.700001,25.549601,25.549601,25.549601,12106
2016-08-25,25.620001,25.620001,25.530001,25.530001,25.530001,292
2016-08-26,25.568899,25.568899,25.280001,25.347000,25.347000,9700
2016-08-29,25.450001,25.490000,25.450001,25.490000,25.490000,652
2016-08-30,25.250000,25.288000,25.250000,25.288000,25.288000,460
2016-08-31,25.200001,25.290001,25.180000,25.290001,25.290001,16352
2016-09-01,25.290001,25.407000,25.290001,25.407000,25.407000,26827
2016-09-02,25.559999,25.667999,25.559999,25.572399,25.572399,4260
2016-09-06,25.608000,25.729900,25.608000,25.729900,25.729900,1416
2016-09-07,25.610001,25.684700,25.610001,25.684700,25.684700,402
2016-09-08,25.650000,25.650000,25.594999,25.594999,25.594999,300
2016-09-09,25.350000,25.350000,24.754999,24.754999,24.754999,64964
2016-09-12,24.834999,25.139999,24.834999,25.135000,25.135000,1699
2016-09-13,24.705601,24.705601,24.680000,24.680000,24.680000,600
2016-09-14,24.639999,24.639999,24.570000,24.605101,24.605101,1049
2016-09-15,24.850000,24.921400,24.850000,24.854700,24.854700,812
2016-09-16,24.850000,24.875099,24.850000,24.875099,24.875099,223
2016-09-19,25.020000,25.146500,25.020000,25.039900,25.039900,22205
2016-09-20,25.117001,25.129999,24.959999,24.980000,24.980000,18904
2016-09-21,25.080000,25.407000,25.080000,25.407000,25.407000,880
2016-09-22,25.510000,25.510000,25.506001,25.506001,25.506001,4330
2016-09-23,25.440001,25.440001,25.356800,25.356800,25.356800,600
2016-09-26,25.320000,25.320000,25.230000,25.230000,25.230000,2804
2016-09-27,25.250000,25.381701,25.250000,25.337999,25.337999,1450
2016-09-28,25.280001,25.500000,25.280001,25.500000,25.500000,18500
2016-09-29,25.450001,25.459900,25.309999,25.350000,25.350000,7325
2016-09-30,25.790001,25.790001,25.450001,25.559999,25.559999,50961
2016-10-03,25.379999,25.410000,25.370001,25.370001,25.370001,7438
2016-10-04,25.320000,25.320000,24.930000,24.950199,24.950199,13585
2016-10-05,25.099899,25.099899,24.940001,24.940001,24.940001,2980
2016-10-06,24.919001,25.010000,24.919001,25.000200,25.000200,4417
2016-10-07,24.900000,24.900000,24.670000,24.819901,24.819901,8029
2016-10-10,24.750000,25.029900,24.750000,24.959900,24.959900,6816
2016-10-11,24.789900,24.789900,24.559999,24.559999,24.559999,2996
2016-10-12,24.809900,24.809900,24.719999,24.719999,24.719999,2200
2016-10-13,24.749201,24.749201,24.749201,24.749201,24.749201,100
2016-10-14,25.000000,25.010000,24.790001,24.790001,24.790001,3124
2016-10-17,24.867001,24.867001,24.770000,24.770000,24.770000,1043
2016-10-18,24.930099,24.930099,24.930099,24.930099,24.930099,173
2016-10-19,24.980000,25.030001,24.950001,25.010000,25.010000,22708
2016-10-20,24.990000,24.990000,24.990000,24.990000,24.990000,100
2016-10-21,24.860001,24.860001,24.860001,24.860001,24.860001,500
2016-10-24,25.030001,25.030001,25.015200,25.015200,25.015200,398
2016-10-25,25.020000,25.020000,24.940001,24.940001,24.940001,5479
2016-10-26,24.789700,24.816999,24.789700,24.816999,24.816999,645
2016-10-27,24.860001,24.860001,24.620001,24.620001,24.620001,3568
2016-10-28,24.600000,24.600000,24.459999,24.459999,24.459999,257
2016-10-31,24.700001,24.700001,24.699900,24.699900,24.699900,400
2016-11-01,24.660000,24.660000,24.240000,24.420000,24.420000,5264
2016-11-02,24.430000,24.430000,24.430000,24.430000,24.430000,1430
2016-11-03,24.070000,24.070000,24.070000,24.070000,24.070000,100
2016-11-04,24.000000,24.000000,23.905001,23.905001,23.905001,869
2016-11-07,24.250000,24.250000,24.230000,24.230000,24.230000,500
2016-11-08,24.620001,24.620001,24.549999,24.549999,24.549999,478
2016-11-09,24.709900,24.709999,24.649900,24.654400,24.654400,3875
2016-11-10,24.549999,24.549999,24.369400,24.369400,24.369400,1279
2016-11-11,24.549999,24.830000,24.549999,24.820000,24.820000,1294
2016-11-14,24.769800,24.910000,24.769800,24.910000,24.910000,544
2016-11-15,25.100000,25.280001,25.100000,25.280001,25.280001,200
2016-11-16,25.250000,25.350000,25.250000,25.339899,25.339899,7477
2016-11-17,25.549999,25.570000,25.535000,25.535000,25.535000,4290
2016-11-18,25.570000,25.570000,25.510300,25.510300,25.510300,1997
2016-11-21,25.549999,25.580000,25.440001,25.580000,25.580000,1325
2016-11-22,25.687000,25.749901,25.676001,25.749901,25.749901,24904
2016-11-23,25.726000,25.799999,25.688000,25.769800,25.769800,21120
2016-11-25,25.790001,25.790001,25.763000,25.770000,25.770000,3450
2016-11-28,25.639900,25.700001,25.570400,25.570400,25.570400,9495
2016-11-29,25.719900,25.760000,25.629999,25.629999,25.629999,13780
2016-11-30,25.850000,25.859900,25.770000,25.770000,25.770000,2549
2016-12-01,26.240000,26.240000,25.379999,25.379999,25.379999,9235
2016-12-02,25.490000,25.549999,25.469999,25.520000,25.520000,9691
2016-12-05,25.790001,25.799999,25.663401,25.700001,25.700001,13906
2016-12-06,25.799999,25.875000,25.750000,25.875000,25.875000,3540
2016-12-07,25.902000,26.306999,25.902000,26.306999,26.306999,29400
2016-12-08,26.309999,26.490000,26.299999,26.430000,26.430000,2426
2016-12-09,26.414000,26.414000,26.309999,26.330000,26.330000,1701
2016-12-12,26.159901,26.159901,26.029699,26.100000,26.100000,3754
2016-12-13,26.309999,26.309999,26.309999,26.309999,26.309999,3012
2016-12-14,26.350000,26.469999,26.199900,26.260000,26.260000,6553
2016-12-15,26.400000,26.629999,26.400000,26.527000,26.527000,13197
2016-12-16,26.448999,26.448999,26.290001,26.290001,26.290001,8772
2016-12-19,26.447001,26.450001,26.379400,26.398701,26.398701,4146
2016-12-20,26.600000,26.670000,26.577101,26.619900,26.619900,14064
