Date,Open,High,Low,Close,Adj Close,Volume
2009-10-28,9.400000,9.500000,8.370000,8.490000,8.490000,2471500
2009-10-29,8.760000,9.000000,8.500000,9.000000,9.000000,224200
2009-10-30,9.000000,9.150000,8.400000,9.150000,9.150000,125700
2009-11-02,8.780000,9.150000,8.500000,8.640000,8.640000,51700
2009-11-03,8.510000,8.600000,8.180000,8.470000,8.470000,55200
2009-11-04,8.550000,8.630000,8.290000,8.400000,8.400000,41800
2009-11-05,8.500000,8.550000,8.340000,8.400000,8.400000,26500
2009-11-06,8.260000,8.570000,8.070000,8.510000,8.510000,32700
2009-11-09,8.490000,8.490000,8.070000,8.410000,8.410000,34500
2009-11-10,8.110000,8.390000,7.600000,7.990000,7.990000,88200
2009-11-11,7.990000,8.000000,7.660000,7.950000,7.950000,95900
2009-11-12,8.580000,8.590000,8.160000,8.400000,8.400000,195000
2009-11-13,8.130000,8.400000,8.030000,8.030000,8.030000,26900
2009-11-16,8.210000,8.220000,7.960000,8.030000,8.030000,33600
2009-11-17,8.010000,8.040000,7.700000,7.700000,7.700000,59400
2009-11-18,7.700000,7.900000,7.520000,7.850000,7.850000,64800
2009-11-19,7.950000,8.190000,7.730000,8.060000,8.060000,133700
2009-11-20,8.210000,8.250000,7.980000,8.000000,8.000000,49900
2009-11-23,8.030000,8.250000,7.850000,8.150000,8.150000,43200
2009-11-24,8.090000,8.230000,8.000000,8.160000,8.160000,12200
2009-11-25,8.010000,8.250000,8.000000,8.140000,8.140000,15300
2009-11-27,8.010000,8.180000,7.750000,8.030000,8.030000,6600
2009-11-30,8.040000,8.280000,8.000000,8.250000,8.250000,49000
2009-12-01,8.250000,8.460000,8.100000,8.340000,8.340000,32600
2009-12-02,8.000000,8.340000,8.000000,8.060000,8.060000,25100
2009-12-03,8.010000,8.120000,7.850000,8.100000,8.100000,29100
2009-12-04,8.020000,8.430000,7.970000,8.310000,8.310000,86100
2009-12-07,8.470000,8.490000,8.220000,8.220000,8.220000,102800
2009-12-08,8.200000,8.480000,8.190000,8.350000,8.350000,68600
2009-12-09,8.370000,8.430000,8.150000,8.200000,8.200000,36000
2009-12-10,8.460000,8.460000,8.200000,8.300000,8.300000,55200
2009-12-11,8.290000,8.370000,8.220000,8.260000,8.260000,23200
2009-12-14,8.310000,8.490000,8.250000,8.350000,8.350000,34900
2009-12-15,8.350000,8.550000,8.350000,8.550000,8.550000,110300
2009-12-16,8.550000,8.770000,8.430000,8.570000,8.570000,127100
2009-12-17,8.570000,8.610000,8.500000,8.550000,8.550000,50500
2009-12-18,8.550000,8.550000,7.950000,8.000000,8.000000,78400
2009-12-21,8.010000,8.100000,7.610000,8.090000,8.090000,89400
2009-12-22,8.250000,8.500000,8.240000,8.460000,8.460000,25300
2009-12-23,8.500000,8.650000,8.190000,8.610000,8.610000,33200
2009-12-24,8.650000,8.780000,8.540000,8.730000,8.730000,12500
2009-12-28,8.840000,9.200000,8.780000,9.100000,9.100000,55400
2009-12-29,9.150000,9.220000,9.010000,9.010000,9.010000,39300
