Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,10.750000,10.750000,10.000000,10.000000,10.000000,1867800
1995-11-20,10.375000,10.375000,10.000000,10.000000,10.000000,314000
1995-11-21,10.375000,10.375000,9.500000,9.500000,9.500000,296700
1995-11-22,10.000000,10.000000,9.500000,9.500000,9.500000,216200
1995-11-24,9.750000,9.750000,9.500000,9.750000,9.750000,20500
1995-11-27,9.500000,9.750000,8.750000,9.000000,9.000000,73300
1995-11-28,8.750000,9.250000,8.750000,9.250000,9.250000,37300
1995-11-29,9.500000,10.000000,9.000000,9.875000,9.875000,283800
1995-11-30,10.500000,10.875000,10.000000,10.500000,10.500000,657800
1995-12-01,10.500000,11.000000,10.125000,10.500000,10.500000,245700
1995-12-04,11.000000,11.000000,10.500000,10.500000,10.500000,67000
1995-12-05,11.000000,11.000000,10.500000,10.687500,10.687500,82900
1995-12-06,11.000000,11.000000,10.250000,10.375000,10.375000,62700
1995-12-07,10.875000,10.875000,10.250000,10.312500,10.312500,29900
1995-12-08,10.875000,11.000000,10.250000,10.250000,10.250000,84200
1995-12-11,11.000000,11.000000,10.375000,10.625000,10.625000,106600
1995-12-12,10.500000,10.875000,10.000000,10.125000,10.125000,148300
1995-12-13,10.000000,10.500000,9.625000,9.625000,9.625000,162700
1995-12-14,10.000000,10.000000,9.500000,9.500000,9.500000,104300
1995-12-15,9.500000,10.000000,9.500000,9.500000,9.500000,98700
1995-12-18,9.500000,10.000000,8.500000,8.500000,8.500000,129300
1995-12-19,8.500000,9.000000,8.500000,8.750000,8.750000,49500
1995-12-20,9.000000,9.000000,8.625000,8.625000,8.625000,46100
1995-12-21,8.625000,9.000000,8.625000,9.000000,9.000000,20900
1995-12-22,9.000000,9.000000,8.250000,9.000000,9.000000,142600
1995-12-26,8.750000,9.375000,8.750000,9.375000,9.375000,42200
1995-12-27,9.375000,9.375000,9.000000,9.000000,9.000000,24300
1995-12-28,9.250000,9.750000,9.125000,9.375000,9.375000,67300
1995-12-29,9.250000,9.750000,9.000000,9.000000,9.000000,30000
1996-01-02,9.750000,9.750000,9.000000,9.000000,9.000000,10800
1996-01-03,9.000000,9.750000,9.000000,9.750000,9.750000,7500
1996-01-04,9.750000,9.750000,8.750000,9.000000,9.000000,10000
1996-01-05,9.250000,9.250000,8.250000,8.750000,8.750000,71100
1996-01-08,8.750000,8.750000,8.250000,8.250000,8.250000,200
1996-01-09,8.250000,8.750000,8.250000,8.750000,8.750000,11000
1996-01-10,8.750000,8.750000,7.375000,7.375000,7.375000,62500
1996-01-11,8.125000,8.125000,7.375000,8.125000,8.125000,39200
1996-01-12,8.125000,8.125000,6.500000,7.375000,7.375000,768000
1996-01-15,7.375000,7.625000,6.625000,7.125000,7.125000,58400
1996-01-16,7.125000,7.125000,6.625000,6.625000,6.625000,11000
1996-01-17,7.125000,7.125000,6.500000,6.625000,6.625000,5400
1996-01-18,6.875000,6.875000,6.500000,6.875000,6.875000,144400
1996-01-19,6.875000,7.625000,6.625000,7.625000,7.625000,78600
1996-01-22,7.500000,8.125000,7.500000,8.000000,8.000000,78400
1996-01-23,8.250000,8.625000,8.187500,8.625000,8.625000,148400
1996-01-24,8.625000,8.625000,8.000000,8.625000,8.625000,200400
1996-01-25,8.625000,8.625000,8.125000,8.625000,8.625000,21100
1996-01-26,8.625000,8.625000,8.000000,8.000000,8.000000,33800
1996-01-29,8.625000,8.750000,8.125000,8.500000,8.500000,20400
1996-01-30,8.750000,8.750000,8.375000,8.750000,8.750000,22500
1996-01-31,8.750000,8.750000,8.250000,8.750000,8.750000,50300
1996-02-01,8.750000,8.750000,8.375000,8.750000,8.750000,28600
