Date,Open,High,Low,Close,Adj Close,Volume
1994-04-14,0.827160,0.913580,0.827160,0.888889,0.570651,48771000
1994-04-15,0.913580,0.925926,0.851852,0.876543,0.562725,8448300
1994-04-18,0.851852,0.876543,0.827160,0.839506,0.538948,7566300
1994-04-19,0.827160,0.851852,0.802469,0.802469,0.515171,6156000
1994-04-20,0.802469,0.827160,0.802469,0.802469,0.515171,1977300
1994-04-21,0.802469,0.827160,0.790123,0.827160,0.531022,2014200
1994-04-22,0.802469,0.827160,0.790123,0.790123,0.507245,846000
1994-04-25,0.790123,0.827160,0.790123,0.814815,0.523096,2336400
1994-04-26,0.827160,0.827160,0.814815,0.820988,0.527059,2062800
1994-04-28,0.814815,0.827160,0.802469,0.802469,0.515171,1009800
1994-04-29,0.790123,0.802469,0.765432,0.771605,0.495357,1426500
1994-05-02,0.765432,0.790123,0.765432,0.790123,0.507245,2276100
1994-05-03,0.790123,0.790123,0.765432,0.765432,0.491393,859500
1994-05-04,0.765432,0.790123,0.716049,0.716049,0.459691,1325700
1994-05-05,0.740741,0.740741,0.716049,0.716049,0.459691,7036200
1994-05-06,0.722222,0.753086,0.722222,0.753086,0.483468,1431000
1994-05-09,0.740741,0.765432,0.740741,0.746914,0.479505,684000
1994-05-10,0.753086,0.777778,0.740741,0.753086,0.483468,1356300
1994-05-11,0.728395,0.753086,0.728395,0.740741,0.475542,1612800
1994-05-12,0.740741,0.740741,0.654321,0.654321,0.420062,1953000
1994-05-13,0.666667,0.691358,0.654321,0.666667,0.427988,2925000
1994-05-16,0.679012,0.679012,0.654321,0.654321,0.420062,538200
1994-05-17,0.654321,0.672840,0.617284,0.629630,0.404211,1490400
1994-05-18,0.641975,0.666667,0.617284,0.666667,0.427988,1461600
1994-05-19,0.666667,0.666667,0.641975,0.641975,0.412136,3597300
1994-05-20,0.666667,0.691358,0.654321,0.691358,0.443839,3411000
1994-05-23,0.666667,0.691358,0.666667,0.679012,0.435914,1008000
1994-05-24,0.691358,0.716049,0.666667,0.716049,0.459691,692100
1994-05-25,0.691358,0.728395,0.691358,0.709877,0.455728,297000
1994-05-26,0.691358,0.728395,0.691358,0.722222,0.463653,713700
1994-05-27,0.740741,0.740741,0.716049,0.740741,0.475542,56700
1994-05-31,0.740741,0.765432,0.716049,0.765432,0.491393,1109700
1994-06-01,0.777778,0.777778,0.753086,0.771605,0.495357,1426500
1994-06-02,0.765432,0.765432,0.716049,0.716049,0.459691,1623600
1994-06-03,0.740741,0.753086,0.728395,0.740741,0.475542,2670300
1994-06-06,0.753086,0.753086,0.703704,0.716049,0.459691,2041200
1994-06-07,0.703704,0.740741,0.703704,0.740741,0.475542,459000
1994-06-08,0.740741,0.740741,0.716049,0.716049,0.459691,226800
1994-06-09,0.716049,0.716049,0.716049,0.716049,0.459691,40500
1994-06-10,0.716049,0.728395,0.716049,0.716049,0.459691,878400
1994-06-13,0.716049,0.728395,0.675926,0.679012,0.435914,486900
1994-06-14,0.703704,0.703704,0.679012,0.703704,0.451765,272700
1994-06-15,0.679012,0.728395,0.679012,0.722222,0.463653,880200
1994-06-16,0.716049,0.740741,0.716049,0.740741,0.475542,72900
1994-06-17,0.740741,0.753086,0.728395,0.753086,0.483468,1449900
1994-06-20,0.765432,0.765432,0.740741,0.746914,0.479505,1305000
1994-06-21,0.753086,0.753086,0.728395,0.734568,0.471579,1604700
1994-06-22,0.740741,0.740741,0.716049,0.740741,0.475542,810000
1994-06-23,0.740741,0.753086,0.716049,0.753086,0.483468,1082700
1994-06-24,0.728395,0.753086,0.728395,0.728395,0.467616,243900
1994-06-27,0.740741,0.740741,0.728395,0.734568,0.471579,1814400
1994-06-28,0.753086,0.753086,0.679012,0.679012,0.435914,3326400
1994-06-29,0.703704,0.703704,0.679012,0.703704,0.451765,373500
1994-06-30,0.679012,0.759259,0.679012,0.753086,0.483468,3132000
1994-07-01,0.740741,0.753086,0.728395,0.753086,0.483468,900000
1994-07-05,0.740741,0.753086,0.728395,0.728395,0.467616,3199500
1994-07-06,0.753086,0.753086,0.728395,0.740741,0.475542,76500
1994-07-07,0.753086,0.753086,0.728395,0.740741,0.475542,248400
1994-07-08,0.728395,0.753086,0.728395,0.740741,0.475542,564300
1994-07-11,0.753086,0.753086,0.728395,0.728395,0.467616,632700
1994-07-12,0.734568,0.734568,0.728395,0.728395,0.467616,64800
1994-07-13,0.728395,0.753086,0.728395,0.740741,0.475542,1499400
1994-07-14,0.740741,0.765432,0.740741,0.746914,0.479505,550800
1994-07-15,0.765432,0.765432,0.740741,0.765432,0.491393,313200
1994-07-18,0.765432,0.765432,0.740741,0.740741,0.475542,70200
1994-07-19,0.765432,0.777778,0.740741,0.771605,0.495357,746100
1994-07-20,0.790123,0.790123,0.753086,0.765432,0.491393,386100
1994-07-21,0.790123,0.802469,0.765432,0.802469,0.515171,453600
1994-07-22,0.802469,0.802469,0.777778,0.802469,0.515171,754200
1994-07-25,0.802469,0.827160,0.790123,0.814815,0.523096,765000
1994-07-26,0.814815,0.851852,0.814815,0.851852,0.546874,1344600
1994-07-27,0.839506,0.876543,0.839506,0.851852,0.546874,639900
1994-07-28,0.851852,0.876543,0.851852,0.876543,0.562725,527400
