Date,Open,High,Low,Close,Adj Close,Volume
2019-12-17,10.030000,10.030000,10.030000,10.030000,9.998075,100
2019-12-18,10.010000,10.010000,9.995000,9.995000,9.963187,113500
2019-12-19,10.010000,10.028000,10.010000,10.026000,9.994088,4600
2019-12-20,10.110000,10.110000,10.088000,10.089000,10.056888,16200
2019-12-23,10.125000,10.125000,10.125000,10.125000,10.092773,0
2019-12-24,10.125000,10.125000,10.125000,10.125000,10.092773,100
2019-12-26,10.140000,10.480000,10.140000,10.368000,10.335000,4000
2019-12-27,10.125000,10.125000,10.125000,10.125000,10.125000,400
2019-12-30,10.960000,10.960000,10.081000,10.158000,10.158000,2100
2019-12-31,10.045000,10.074000,10.045000,10.074000,10.074000,2000
2020-01-02,10.100000,10.138000,10.100000,10.138000,10.138000,1800
2020-01-03,10.110000,10.122000,10.090000,10.122000,10.122000,2700
2020-01-06,10.100000,10.100000,10.100000,10.100000,10.100000,0
2020-01-07,10.100000,10.470000,10.085000,10.085000,10.085000,2200
2020-01-08,10.160000,10.160000,10.137000,10.137000,10.137000,3400
2020-01-09,10.230000,10.230000,10.215000,10.215000,10.215000,1400
2020-01-10,10.270000,10.270000,10.155000,10.155000,10.155000,800
2020-01-13,10.235000,10.260000,10.235000,10.255000,10.255000,6500
2020-01-14,10.265000,10.265000,10.265000,10.265000,10.265000,200
2020-01-15,10.260000,10.260000,10.250000,10.250000,10.250000,2000
2020-01-16,10.290000,10.325000,10.290000,10.325000,10.325000,10400
2020-01-17,10.370000,10.380000,10.355000,10.375000,10.375000,1100
2020-01-21,10.390000,10.390000,10.355000,10.355000,10.355000,2600
2020-01-22,10.380000,10.380000,10.380000,10.380000,10.380000,99100
2020-01-23,10.450000,10.450000,10.330000,10.390000,10.390000,7100
2020-01-24,10.390000,10.390000,10.390000,10.390000,10.390000,0
2020-01-27,10.180000,10.190000,10.150000,10.180000,10.180000,34200
2020-01-28,10.150000,10.240000,10.150000,10.228000,10.228000,53200
2020-01-29,10.280000,10.320000,10.280000,10.300000,10.300000,15500
2020-01-30,10.160000,10.259000,10.160000,10.259000,10.259000,310900
2020-01-31,10.140000,10.150000,10.078000,10.096000,10.096000,120300
2020-02-03,10.190000,10.190000,10.143000,10.150000,10.150000,1600
2020-02-04,10.330000,10.350000,10.325000,10.325000,10.325000,800
2020-02-05,10.385000,10.405000,10.385000,10.405000,10.405000,400
2020-02-06,10.360000,10.434000,10.360000,10.434000,10.434000,800
2020-02-07,10.419000,10.419000,10.419000,10.419000,10.419000,100
