Date,Open,High,Low,Close,Adj Close,Volume
2015-11-20,24.920000,25.049999,24.900000,25.000000,21.024616,188600
2015-11-23,24.969999,25.010000,24.950001,24.959999,20.990976,99000
2015-11-24,24.980000,25.010000,24.959999,24.990000,21.016207,116900
2015-11-25,24.990000,25.100000,24.959999,24.990000,21.016207,115300
2015-11-27,25.070000,25.070000,24.969999,24.980000,21.007799,28500
2015-11-30,25.020000,25.049999,24.830000,24.920000,20.957342,165000
2015-12-01,24.940001,25.070000,24.920000,25.055000,21.070869,166000
2015-12-02,25.080000,25.200001,25.049999,25.090000,21.100307,156600
2015-12-03,25.070000,25.090000,24.860001,24.920000,20.957342,197800
2015-12-04,24.850000,25.000000,24.850000,24.950001,20.982571,67700
2015-12-07,24.959999,24.959999,24.840000,24.879999,20.923702,94200
2015-12-08,24.860001,24.940001,24.809999,24.930000,20.965748,64300
2015-12-09,24.910000,24.990000,24.900000,24.980000,21.007799,66800
2015-12-10,24.980000,25.049999,24.961000,24.980000,21.007799,72500
2015-12-11,24.979000,24.980000,24.870001,24.930000,20.965748,43100
2015-12-14,24.889999,24.900000,24.350000,24.590000,20.679817,68500
2015-12-15,24.596001,24.910000,24.551001,24.570000,20.662994,31700
2015-12-16,24.730000,24.948999,24.600000,24.926001,20.962387,47700
2015-12-17,25.020000,25.080000,24.990000,25.080000,21.091896,120800
2015-12-18,25.080000,25.080000,24.950001,25.020000,21.041439,98400
2015-12-21,25.110001,25.139999,25.010000,25.110001,21.117126,106000
2015-12-22,25.160000,25.174000,25.040001,25.129999,21.133949,55500
2015-12-23,25.120001,25.150000,25.070000,25.120001,21.125536,36500
2015-12-24,25.120001,25.190001,25.120001,25.190001,21.184408,14500
2015-12-28,25.190001,25.719999,25.190001,25.280001,21.260096,65100
2015-12-29,24.980000,25.268999,24.980000,25.180000,21.175995,38600
2015-12-30,25.180000,25.440001,24.980000,25.440001,21.394651,47000
2015-12-31,25.440001,25.809999,25.440001,25.670000,21.588081,29900
2016-01-04,25.580000,25.580000,25.139999,25.370001,21.335783,60100
2016-01-05,25.400000,25.410000,25.180000,25.270000,21.251686,61400
2016-01-06,25.240000,25.540001,25.100000,25.290001,21.268503,44400
2016-01-07,25.120001,25.350000,25.120001,25.209999,21.201221,38000
2016-01-08,25.379999,25.500000,25.290001,25.320000,21.293734,104400
