Date,Open,High,Low,Close,Adj Close,Volume
2013-02-12,5.850000,5.980000,5.850000,5.950000,5.950000,171100
2013-02-13,5.860000,5.990000,5.850000,5.850000,5.850000,16200
2013-02-14,5.850000,5.990000,5.850000,5.900000,5.900000,7400
2013-02-15,5.890000,5.920000,5.850000,5.850000,5.850000,48100
2013-02-19,5.950000,5.950000,5.850000,5.900000,5.900000,33900
2013-02-20,5.940000,5.950000,5.850000,5.900000,5.900000,13400
2013-02-21,5.900000,5.940000,5.860000,5.940000,5.940000,3200
2013-02-22,5.950000,5.950000,5.940000,5.950000,5.950000,6600
2013-02-25,5.900000,5.940000,5.850000,5.850000,5.850000,4700
2013-02-26,5.850000,5.850000,5.850000,5.850000,5.850000,0
2013-02-27,5.950000,5.950000,5.950000,5.950000,5.950000,100
2013-02-28,5.950000,5.950000,5.950000,5.950000,5.950000,0
2013-03-01,5.950000,6.070000,5.950000,5.950000,5.950000,14500
2013-03-04,5.970000,5.970000,5.970000,5.970000,5.970000,200
2013-03-05,5.950000,6.000000,5.800000,6.000000,6.000000,4900
2013-03-06,6.000000,6.000000,6.000000,6.000000,6.000000,0
2013-03-07,6.000000,6.000000,6.000000,6.000000,6.000000,1800
2013-03-08,6.000000,6.000000,5.900000,5.900000,5.900000,16600
2013-03-11,5.950000,6.010000,5.950000,5.950000,5.950000,7300
2013-03-12,6.000000,6.040000,5.990000,6.040000,6.040000,4600
2013-03-13,6.990000,6.990000,5.920000,5.930000,5.930000,5000
2013-03-14,6.100000,6.100000,6.100000,6.100000,6.100000,1000
2013-03-15,6.040000,6.050000,6.040000,6.050000,6.050000,1200
2013-03-18,8.000000,8.000000,6.400000,6.450000,6.450000,2400
2013-03-19,6.940000,6.940000,6.370000,6.500000,6.500000,11100
2013-03-20,6.490000,6.500000,6.370000,6.390000,6.390000,3300
2013-03-21,6.250000,6.370000,6.250000,6.370000,6.370000,23500
2013-03-22,6.500000,6.500000,5.950000,6.090000,6.090000,4300
2013-03-25,6.400000,6.400000,6.400000,6.400000,6.400000,400
2013-03-26,6.390000,6.390000,6.300000,6.300000,6.300000,700
2013-03-27,6.300000,6.300000,6.300000,6.300000,6.300000,0
2013-03-28,6.290000,6.290000,6.060000,6.110000,6.110000,400
2013-04-01,6.040000,6.040000,6.040000,6.040000,6.040000,1000
2013-04-02,6.040000,6.040000,6.040000,6.040000,6.040000,0
2013-04-03,6.300000,6.300000,6.150000,6.220000,6.220000,2500
2013-04-04,6.300000,6.400000,6.100000,6.100000,6.100000,14100
2013-04-05,6.100000,6.250000,6.100000,6.100000,6.100000,11200
2013-04-08,6.300000,6.300000,6.250000,6.250000,6.250000,28600
2013-04-09,6.300000,6.300000,6.200000,6.200000,6.200000,7900
2013-04-10,6.300000,6.830000,6.290000,6.320000,6.320000,32400
2013-04-11,6.870000,6.870000,6.600000,6.680000,6.680000,38700
2013-04-12,6.800000,7.240000,6.790000,6.900000,6.900000,33800
2013-04-15,7.000000,7.430000,6.950000,6.990000,6.990000,47800
2013-04-16,7.000000,7.170000,6.950000,6.980000,6.980000,8700
2013-04-17,7.430000,7.430000,6.900000,7.010000,7.010000,33000
2013-04-18,7.000000,7.150000,6.990000,7.000000,7.000000,29200
2013-04-19,7.140000,7.140000,6.600000,6.840000,6.840000,42900
2013-04-22,7.000000,7.000000,6.610000,6.750000,6.750000,16400
2013-04-23,6.750000,7.010000,6.720000,6.750000,6.750000,103000
2013-04-24,6.780000,7.090000,6.700000,6.990000,6.990000,99900
2013-04-25,6.860000,6.980000,6.800000,6.910000,6.910000,49500
2013-04-26,6.990000,7.300000,6.990000,7.250000,7.250000,125600
2013-04-29,7.270000,7.500000,7.150000,7.280000,7.280000,76800
2013-04-30,7.300000,7.380000,7.300000,7.300000,7.300000,30600
2013-05-01,7.300000,7.500000,7.270000,7.360000,7.360000,55000
2013-05-02,7.280000,7.370000,7.160000,7.200000,7.200000,86900
2013-05-03,7.250000,7.370000,7.250000,7.350000,7.350000,42200
2013-05-06,7.250000,7.340000,7.160000,7.340000,7.340000,91400
2013-05-07,7.350000,7.400000,7.150000,7.320000,7.320000,29900
2013-05-08,7.300000,7.300000,7.250000,7.300000,7.300000,23700
2013-05-09,7.290000,7.490000,7.290000,7.400000,7.400000,9900
2013-05-10,7.490000,7.500000,7.400000,7.440000,7.440000,21200
2013-05-13,7.450000,8.000000,7.250000,7.440000,7.440000,40500
2013-05-14,7.500000,7.610000,7.150000,7.300000,7.300000,35200
2013-05-15,7.440000,7.440000,7.150000,7.250000,7.250000,48800
2013-05-16,7.370000,7.370000,7.240000,7.340000,7.340000,68300
2013-05-17,7.400000,7.400000,7.200000,7.350000,7.350000,42200
