Date,Open,High,Low,Close,Adj Close,Volume
2008-07-14,41.320000,41.400002,41.320000,41.400002,30.506948,4000
2008-07-15,42.150002,43.000000,41.799999,42.110001,31.030127,1400
2008-07-16,41.410000,41.410000,40.400002,40.400002,29.770056,1500
2008-07-17,41.490002,42.270000,41.490002,41.880001,30.860645,6900
2008-07-18,41.500000,41.500000,40.000000,41.000000,30.212187,8100
2008-07-21,41.650002,41.650002,40.950001,41.099998,30.285873,3400
2008-07-22,41.680000,41.680000,40.900002,41.029999,30.234289,5900
2008-07-23,41.360001,41.360001,40.299999,40.299999,29.696371,16800
2008-07-24,40.189999,40.200001,39.310001,39.310001,28.966858,2200
2008-07-25,38.880001,40.000000,38.880001,39.500000,29.106865,2900
2008-07-28,40.740002,40.740002,39.689999,39.689999,29.246878,1600
2008-07-29,40.430000,40.430000,39.650002,39.650002,29.217394,1200
2008-07-30,41.509998,41.509998,40.000000,40.820000,30.079544,5700
2008-07-31,41.830002,41.830002,39.610001,40.639999,29.946907,4700
2008-08-01,40.639999,40.639999,39.959999,40.099998,29.548996,3800
2008-08-04,41.290001,41.290001,39.660000,39.660000,29.224762,1300
2008-08-05,39.660000,39.660000,39.189999,39.369999,29.011068,10500
2008-08-06,38.750000,39.470001,38.750000,39.470001,29.084755,53200
2008-08-07,39.500000,39.500000,38.570000,38.959999,28.708948,2000
2008-08-08,38.529999,38.529999,37.349998,38.360001,28.266817,3200
2008-08-11,39.820000,39.869999,37.980000,37.980000,27.986799,3100
2008-08-12,38.500000,38.770000,37.150002,37.150002,27.375191,2500
2008-08-13,37.279999,37.709999,37.279999,37.689999,27.773100,1500
2008-08-14,37.939999,38.279999,37.790001,37.900002,27.927855,1000
2008-08-15,38.279999,38.279999,37.939999,37.939999,27.957325,500
2008-08-18,37.799999,37.799999,37.080002,37.080002,27.323608,5500
2008-08-19,36.250000,36.340000,35.340000,35.450001,26.122488,1600
2008-08-20,37.000000,37.000000,36.090000,36.340000,26.778315,1100
2008-08-21,36.689999,37.500000,36.689999,37.389999,27.552048,6400
2008-08-22,37.290001,38.040001,37.040001,37.180000,27.397293,3700
2008-08-25,36.939999,37.369999,36.250000,36.250000,26.711998,1100
2008-08-26,37.560001,37.560001,36.270000,36.590000,26.962534,700
2008-08-27,37.520000,37.549999,37.520000,37.549999,27.669945,400
2008-08-28,37.950001,37.950001,37.830002,37.869999,27.905746,8800
2008-08-29,39.480000,39.480000,38.290001,38.500000,28.369980,2000
2008-09-02,38.799999,38.799999,37.150002,37.150002,27.375191,7600
