Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,20.030001,20.049999,19.993000,19.993000,19.878613,7100
2019-12-05,20.040001,20.040001,20.028999,20.028999,19.914406,50200
2019-12-06,20.200001,20.200001,20.172001,20.172001,20.056587,200
2019-12-09,20.131001,20.136999,20.128000,20.128000,20.012840,1300
2019-12-10,20.129999,20.129999,20.082001,20.082001,19.967102,300
2019-12-11,20.110001,20.122999,20.100000,20.122999,20.007868,300
2019-12-12,20.267000,20.267000,20.267000,20.267000,20.151043,0
2019-12-13,20.219999,20.219999,20.190001,20.201000,20.125141,2300
2019-12-16,20.370001,20.370001,20.315001,20.315001,20.238714,100
2019-12-17,20.327999,20.327999,20.327999,20.327999,20.251663,0
2019-12-18,20.330000,20.330000,20.325001,20.325001,20.248676,100
2019-12-19,20.355000,20.355000,20.355000,20.355000,20.278563,100
2019-12-20,20.476000,20.476000,20.476000,20.476000,20.399109,100
2019-12-23,20.445000,20.445000,20.445000,20.445000,20.368225,0
2019-12-24,20.454000,20.454000,20.454000,20.454000,20.377192,0
2019-12-26,20.514999,20.514999,20.514999,20.514999,20.437962,0
2019-12-27,20.523001,20.523001,20.523001,20.523001,20.445932,0
2019-12-30,20.436001,20.436001,20.436001,20.436001,20.359259,0
2019-12-31,20.506001,20.506001,20.506001,20.506001,20.428997,100
2020-01-02,20.563000,20.563000,20.563000,20.563000,20.485781,100
2020-01-03,20.459999,20.459999,20.459999,20.459999,20.383167,100
2020-01-06,20.448000,20.450001,20.448000,20.450001,20.373207,200
2020-01-07,20.420000,20.420000,20.396999,20.396999,20.320404,100
2020-01-08,20.485001,20.485001,20.485001,20.485001,20.408075,100
2020-01-09,20.580000,20.589001,20.580000,20.589001,20.511684,200
2020-01-10,20.590000,20.590000,20.552999,20.552999,20.475819,200
2020-01-13,20.688999,20.688999,20.688999,20.688999,20.611307,0
2020-01-14,20.684999,20.684999,20.684999,20.684999,20.607323,100
2020-01-15,20.684999,20.684999,20.684999,20.684999,20.607323,0
2020-01-16,20.900999,20.900999,20.900999,20.900999,20.822512,100
2020-01-17,20.923000,20.959000,20.923000,20.959000,20.880295,300
2020-01-21,20.940001,20.940001,20.909000,20.909000,20.830482,200
2020-01-22,21.000000,21.000000,20.954000,20.954000,20.875315,300
2020-01-23,20.997999,20.997999,20.997999,20.997999,20.919147,0
2020-01-24,20.768000,20.798000,20.768000,20.798000,20.719900,1000
2020-01-27,20.554001,20.554001,20.554001,20.554001,20.476816,100
2020-01-28,20.790001,20.790001,20.774000,20.774000,20.695990,300
2020-01-29,20.716000,20.716000,20.716000,20.716000,20.638206,0
2020-01-30,20.650000,20.747000,20.600000,20.747000,20.669090,1100
2020-01-31,20.350000,20.350000,20.347000,20.347000,20.270594,900
2020-02-03,20.465000,20.465000,20.465000,20.465000,20.388149,100
2020-02-04,20.763000,20.763000,20.763000,20.763000,20.685032,0
2020-02-05,20.980000,21.003000,20.980000,21.003000,20.924129,100
2020-02-06,21.100000,21.100000,21.086000,21.086000,21.006819,100
2020-02-07,20.945999,20.945999,20.945999,20.945999,20.867342,0
2020-02-10,21.047001,21.047001,21.047001,21.047001,20.967964,0
2020-02-11,21.127001,21.127001,21.122000,21.122000,21.042683,100
2020-02-12,21.190001,21.209000,21.190001,21.209000,21.129354,1000
2020-02-13,21.207001,21.207001,21.207001,21.207001,21.127363,0
2020-02-14,21.226999,21.226999,21.226999,21.226999,21.147287,0
2020-02-18,21.219999,21.219999,21.160999,21.160999,21.081535,200
2020-02-19,21.212999,21.212999,21.212999,21.212999,21.133341,0
2020-02-20,21.176001,21.176001,21.176001,21.176001,21.096479,0
2020-02-21,20.976000,20.976000,20.976000,20.976000,20.897230,100
2020-02-24,20.459999,20.459999,20.378000,20.378000,20.301477,100
2020-02-25,19.746000,19.746000,19.746000,19.746000,19.671850,0
2020-02-26,19.643000,19.643000,19.643000,19.643000,19.569237,0
2020-02-27,18.854000,18.854000,18.854000,18.854000,18.783199,100
2020-02-28,18.235001,18.389999,18.235001,18.389999,18.320942,600
2020-03-02,18.600000,19.344999,18.600000,19.344999,19.272354,100
2020-03-03,18.919001,18.919001,18.919001,18.919001,18.847956,100
2020-03-04,19.688999,19.688999,19.688999,19.688999,19.615063,0
2020-03-05,19.120001,19.129999,19.120001,19.120001,19.048201,1900
2020-03-06,18.796000,18.796000,18.794001,18.794001,18.723425,900
2020-03-09,17.690001,17.850000,17.402000,17.402000,17.336653,50700
2020-03-10,17.719999,18.037001,17.719999,18.037001,17.969269,100
2020-03-11,17.309999,17.320000,17.075001,17.228001,17.163305,10000
2020-03-12,15.860000,15.860000,15.649000,15.649000,15.590235,700
2020-03-13,16.129999,16.641001,15.600000,16.641001,16.578510,55200
2020-03-16,15.280000,15.750000,14.791000,14.791000,14.735457,7400
2020-03-17,15.490000,15.566000,15.210000,15.566000,15.507546,400
2020-03-18,15.060000,15.090000,14.641000,14.641000,14.586020,600
2020-03-19,14.900000,14.910000,14.699000,14.699000,14.643803,2200
2020-03-20,14.930000,14.930000,14.010000,14.010000,13.957390,200
2020-03-23,13.470000,13.620000,13.440000,13.620000,13.568854,200
2020-03-24,14.450000,14.831000,14.450000,14.831000,14.775307,400
2020-03-25,14.980000,15.286000,14.960000,15.179000,15.122000,5100
2020-03-26,15.330000,16.094000,15.330000,16.094000,16.094000,3800
2020-03-27,15.580000,15.608000,15.580000,15.608000,15.608000,200
2020-03-30,15.608000,15.608000,15.608000,15.608000,15.608000,0
2020-03-31,16.129999,16.129999,15.821000,15.821000,15.821000,1000
2020-04-01,15.310000,15.310000,15.119000,15.119000,15.119000,800
2020-04-02,15.119000,15.119000,15.119000,15.119000,15.119000,0
2020-04-03,15.373000,15.373000,15.373000,15.373000,15.373000,0
2020-04-06,15.900000,16.242001,15.885000,16.242001,16.242001,400
2020-04-07,16.242001,16.242001,16.242001,16.242001,16.242001,0
2020-04-08,16.285999,16.285999,16.285999,16.285999,16.285999,0
2020-04-09,17.191000,17.191000,17.103001,17.103001,17.103001,1500
2020-04-13,16.790001,16.848000,16.790001,16.848000,16.848000,100
2020-04-14,17.320000,17.327999,17.299999,17.327999,17.327999,39900
2020-04-15,16.870001,16.889000,16.799999,16.889000,16.889000,200
2020-04-16,16.799999,17.004000,16.799999,17.004000,17.004000,6500
2020-04-17,17.350000,17.465000,17.340000,17.465000,17.465000,5600
2020-04-20,17.297001,17.299999,17.179001,17.179001,17.179001,300
2020-04-21,16.750000,16.750000,16.662001,16.662001,16.662001,200
2020-04-22,16.662001,16.662001,16.662001,16.662001,16.662001,0
2020-04-23,16.997000,16.997000,16.997000,16.997000,16.997000,0
2020-04-24,17.020000,17.236000,17.020000,17.236000,17.236000,300
2020-04-27,17.236000,17.236000,17.236000,17.236000,17.236000,0
2020-04-28,17.740000,17.740000,17.607000,17.607000,17.607000,600
2020-04-29,18.090000,18.090000,18.031000,18.031000,18.031000,300
2020-04-30,17.760000,17.784000,17.760000,17.784000,17.784000,300
2020-05-01,17.290001,17.290001,17.288000,17.288000,17.288000,100
2020-05-04,17.288000,17.288000,17.288000,17.288000,17.288000,0
2020-05-05,17.363001,17.363001,17.363001,17.363001,17.363001,0
2020-05-06,17.530001,17.530001,17.441000,17.441000,17.441000,7300
2020-05-07,17.441000,17.441000,17.441000,17.441000,17.441000,0
