Date,Open,High,Low,Close,Adj Close,Volume
2015-03-12,17.719999,17.719999,17.660000,17.660000,13.164207,17400
2015-03-13,17.600000,17.610001,17.540001,17.580000,13.104574,22000
2015-03-16,18.270000,18.290001,18.219999,18.230000,13.589100,32600
2015-03-17,18.400000,18.420000,18.299999,18.360001,13.686006,79100
2015-03-18,18.860001,18.969999,18.680000,18.920000,14.103442,137900
2015-03-19,18.969999,18.969999,18.750000,18.858999,14.057973,29600
2015-03-20,19.420000,19.420000,19.000000,19.174999,14.293525,57000
2015-03-23,19.410000,19.410000,19.260000,19.270000,14.364342,38800
2015-03-24,19.200001,19.200001,19.000000,19.093000,14.232403,36000
2015-03-25,18.980000,18.980000,18.709999,18.740000,13.969268,39500
2015-03-26,18.910000,18.930000,18.850000,18.879999,14.073627,52100
2015-03-27,19.023001,19.045000,18.980000,19.030001,14.185441,13100
2015-03-30,20.120001,20.120001,19.910000,20.096001,14.980063,207700
2015-03-31,19.610001,19.610001,19.360001,19.420000,14.476156,106900
2015-04-01,19.910000,19.910000,19.820000,19.860001,14.804144,76400
2015-04-02,19.770000,19.770000,19.556000,19.590000,14.602879,10900
2015-04-06,19.980000,20.150000,19.980000,20.080000,14.968136,13600
2015-04-07,20.444000,20.459999,20.350000,20.370001,15.184311,17700
2015-04-08,21.230000,21.230000,20.629999,20.780001,15.489934,95100
2015-04-09,20.740000,20.740000,20.235001,20.459999,15.251398,86400
2015-04-10,20.879999,21.190001,20.879999,21.030001,15.676290,86800
2015-04-13,21.219999,21.440001,21.160000,21.209999,15.810466,25500
2015-04-14,21.309999,21.410000,21.230000,21.309999,15.885010,375100
2015-04-15,21.200001,21.528999,21.200001,21.430000,15.974461,1179600
2015-04-16,22.190001,22.780001,22.190001,22.700001,16.921150,47700
2015-04-17,21.610001,21.639999,21.200001,21.480000,16.011732,107600
2015-04-20,22.020000,22.299999,22.020000,22.250000,16.585709,126800
2015-04-21,22.700001,22.715000,22.600000,22.629999,16.868969,138600
2015-04-22,23.160000,23.340000,23.160000,23.309999,17.375858,79800
2015-04-23,22.670000,22.892000,22.670000,22.870001,17.047874,57200
2015-04-24,22.670000,22.773001,22.670000,22.680000,16.906242,36200
2015-04-27,23.370001,23.370001,23.150000,23.160000,17.264048,312100
2015-04-28,23.430000,23.469999,23.330000,23.370001,17.420586,233200
2015-04-29,23.400000,23.400000,23.030001,23.100000,17.219322,1871400
2015-04-30,23.010000,23.049999,22.820000,22.820000,17.010601,29900
2015-05-01,23.020000,23.260000,23.010000,23.180000,17.278955,76500
2015-05-04,23.290001,23.430000,23.270000,23.360001,17.413132,16200
2015-05-05,22.360001,22.423000,22.205000,22.240000,16.578255,109300
2015-05-06,22.080000,22.150000,21.820000,21.889999,16.317354,26200
2015-05-07,21.610001,21.809999,21.490000,21.809999,16.257721,54500
2015-05-08,21.981001,22.150000,21.930000,22.059999,16.444078,66600
2015-05-11,22.398001,22.419001,22.219999,22.219999,16.563345,50200
2015-05-12,22.190001,22.378000,22.141001,22.370001,16.675161,28300
2015-05-13,22.180000,22.180000,21.910000,21.950001,16.362082,91800
2015-05-14,22.090000,22.100000,22.020000,22.080000,16.458986,16100
2015-05-15,21.590000,21.700001,21.530001,21.700001,16.175726,135100
2015-05-18,21.299999,21.299999,21.110001,21.150000,15.765743,18900
2015-05-19,22.080000,22.209999,21.985001,22.190001,16.540983,90600
2015-05-20,22.080000,22.180000,22.025000,22.120001,16.488806,54200
2015-05-21,22.350000,22.410000,22.334999,22.389999,16.690065,31400
2015-05-22,23.020000,23.370001,23.010000,23.370001,17.420586,66500
2015-05-26,24.400000,24.400000,23.799999,23.834999,17.767206,81300
2015-05-27,23.790001,23.790001,23.469999,23.559999,17.562216,24700
2015-05-28,22.389999,22.389999,22.000000,22.290001,16.615526,111100
2015-05-29,22.040001,22.040001,21.850000,21.870001,16.302448,27500
2015-06-01,22.820000,22.910000,22.750000,22.799999,16.995693,112600
2015-06-02,22.760000,22.809999,22.629999,22.690001,16.913696,42600
2015-06-03,22.690001,22.770000,22.680000,22.690001,16.913696,65100
2015-06-04,23.510000,23.510000,23.070000,23.070000,17.196959,34800
2015-06-05,23.389999,23.389999,23.070000,23.070000,17.196959,51000
2015-06-08,24.219999,24.750000,24.219999,24.629999,18.359821,92600
2015-06-09,23.690001,24.010000,23.690001,23.896999,17.813423,43700
2015-06-10,23.920000,23.920000,23.660000,23.760000,17.711302,84800
2015-06-11,23.510000,23.629999,23.400000,23.520000,17.532398,157700
2015-06-12,23.709999,23.750000,23.639999,23.690001,17.659122,363900
2015-06-15,23.100000,23.100000,22.695000,22.809999,17.003147,65800
2015-06-16,22.440001,22.440001,22.165001,22.340000,16.652798,110000
2015-06-17,22.340000,22.600000,22.340000,22.480000,16.757156,154100
2015-06-18,21.870001,21.889999,21.610001,21.840000,16.280085,42500
2015-06-19,20.740000,20.870001,20.650000,20.750000,15.467572,158300
2015-06-22,21.000000,21.049999,20.870001,20.870001,15.557022,25200
2015-06-23,21.430000,21.520000,21.350000,21.480000,16.011732,22800
2015-06-24,22.200001,22.200001,21.840000,21.889999,16.317354,178300
2015-06-25,21.379999,21.379999,21.030001,21.030001,15.676290,110700
2015-06-26,19.990000,19.990000,19.150000,19.200001,14.312163,61400
2015-06-29,19.209999,19.889999,19.209999,19.469999,14.513426,156600
2015-06-30,21.049999,21.160000,20.660000,20.730000,15.452662,101000
2015-07-01,19.980000,20.049999,19.740000,19.980000,14.893593,125900
2015-07-02,19.639999,19.820000,19.639999,19.770000,14.737055,31100
2015-07-06,20.000000,20.127001,19.895000,20.000000,14.908502,218700
2015-07-07,19.780001,19.809999,18.995001,19.799999,14.759418,373300
2015-07-08,17.879999,18.087000,17.430000,17.510000,13.052395,411300
2015-07-09,18.385000,20.670000,18.385000,20.670000,15.407936,711300
2015-07-10,21.650000,21.650000,20.820000,21.490000,16.019186,853400
2015-07-13,20.600000,20.730000,20.450001,20.680000,15.415391,508800
2015-07-14,20.160000,20.160000,19.930000,20.010000,14.915958,61900
2015-07-15,19.799999,19.910000,19.620001,19.650000,14.647602,136900
2015-07-16,19.980000,20.420000,19.980000,20.410000,15.214127,151600
2015-07-17,20.809999,20.809999,20.459999,20.650000,15.393029,54900
2015-07-20,20.099001,20.280001,20.020000,20.030001,14.930864,33300
2015-07-21,20.000000,20.125000,19.969999,19.969999,14.886138,50200
