Date,Open,High,Low,Close,Adj Close,Volume
2016-04-07,10.000000,10.720000,9.610000,9.770000,9.770000,1428300
2016-04-08,10.000000,12.750000,10.000000,11.990000,11.990000,560400
2016-04-11,11.870000,12.040000,10.300000,10.420000,10.420000,182600
2016-04-12,10.440000,10.740000,9.420000,9.650000,9.650000,193200
2016-04-13,9.940000,10.860000,9.850000,10.070000,10.070000,70900
2016-04-14,10.170000,10.440000,9.750000,9.760000,9.760000,39600
2016-04-15,10.150000,10.240000,9.830000,9.960000,9.960000,34800
2016-04-18,10.070000,10.080000,9.650000,9.710000,9.710000,32300
2016-04-19,10.000000,10.000000,8.360000,8.490000,8.490000,130400
2016-04-20,8.730000,8.878000,8.400000,8.540000,8.540000,19200
2016-04-21,8.800000,8.800000,8.500000,8.590000,8.590000,12300
2016-04-22,8.960000,9.450000,8.510000,9.190000,9.190000,91500
2016-04-25,9.410000,10.250000,9.220000,9.700000,9.700000,122100
2016-04-26,9.800000,10.150000,9.180000,9.890000,9.890000,157700
2016-04-27,9.590000,9.850000,9.310000,9.520000,9.520000,46400
2016-04-28,9.520000,9.775000,8.930000,9.190000,9.190000,35900
2016-04-29,9.200000,9.319000,8.550000,8.760000,8.760000,73700
2016-05-02,8.990000,10.000000,8.878000,9.760000,9.760000,113800
2016-05-03,10.000000,10.050000,9.300000,9.400000,9.400000,52900
2016-05-04,9.650000,9.890000,8.600000,9.100000,9.100000,33300
2016-05-05,9.020000,9.250000,8.570000,8.615000,8.615000,37400
2016-05-06,8.710000,9.250000,8.600000,8.710000,8.710000,29100
2016-05-09,8.720000,9.250000,8.720000,8.810000,8.810000,80400
2016-05-10,8.860000,8.935000,8.611000,8.770000,8.770000,17700
2016-05-11,8.620000,8.900000,8.080000,8.145000,8.145000,83100
2016-05-12,8.100000,8.660000,7.300000,7.460000,7.460000,75200
2016-05-13,7.190000,7.440000,6.680000,7.170000,7.170000,57200
2016-05-16,7.340000,8.500000,7.150000,7.230000,7.230000,538200
2016-05-17,7.020000,7.520000,6.810000,7.280000,7.280000,83300
2016-05-18,7.000000,8.000000,7.000000,7.410000,7.410000,16800
2016-05-19,7.020000,7.750000,7.020000,7.360000,7.360000,31800
2016-05-20,7.400000,7.600000,7.170000,7.460000,7.460000,38000
2016-05-23,7.470000,7.750000,7.070000,7.310000,7.310000,65000
2016-05-24,8.000000,8.240000,7.100000,7.360000,7.360000,105100
2016-05-25,7.220000,7.480000,7.190000,7.380000,7.380000,22000
2016-05-26,7.270000,7.490000,7.110000,7.450000,7.450000,36300
2016-05-27,7.310000,7.400000,6.850000,7.240000,7.240000,71900
2016-05-31,7.250000,7.600000,6.850000,7.500000,7.500000,34500
2016-06-01,7.500000,7.700000,7.300000,7.380000,7.380000,29900
2016-06-02,7.280000,7.680000,7.280000,7.680000,7.680000,57000
2016-06-03,7.680000,7.680000,7.345000,7.600000,7.600000,12200
2016-06-06,7.600000,7.615000,7.273000,7.590000,7.590000,11300
2016-06-07,7.310000,7.490000,7.112000,7.350000,7.350000,17900
2016-06-08,7.190000,7.590000,7.190000,7.260000,7.260000,10300
2016-06-09,7.250000,7.600000,6.870000,7.250000,7.250000,149000
2016-06-10,7.180000,7.180000,5.850000,6.280000,6.280000,95500
2016-06-13,6.210000,6.510000,6.040000,6.170000,6.170000,44000
2016-06-14,6.160000,6.540000,5.310000,5.890000,5.890000,43600
2016-06-15,5.890000,6.270000,5.010000,5.360000,5.360000,227300
2016-06-16,5.360000,5.850000,5.050000,5.200000,5.200000,122400
2016-06-17,5.400000,5.490000,4.390000,4.460000,4.460000,214300
2016-06-20,4.610000,4.860000,4.290000,4.470000,4.470000,102500
2016-06-21,4.560000,4.676000,4.305000,4.360000,4.360000,59400
2016-06-22,4.410000,4.703000,4.100000,4.455000,4.455000,35000
2016-06-23,4.580000,5.130000,4.490000,4.800000,4.800000,111900
2016-06-24,4.990000,5.420000,4.735000,5.360000,5.360000,65900
2016-06-27,5.360000,5.970000,5.360000,5.450000,5.450000,97500
2016-06-28,5.350000,5.980000,5.210000,5.450000,5.450000,69800
2016-06-29,5.830000,5.830000,5.020000,5.230000,5.230000,37000
2016-06-30,5.000000,5.150000,4.720000,4.860000,4.860000,30300
2016-07-01,5.805000,5.805000,4.650000,4.850000,4.850000,31500
2016-07-05,4.930000,4.930000,4.430000,4.580000,4.580000,26400
2016-07-06,4.590000,4.690000,4.250000,4.560000,4.560000,8700
2016-07-07,4.490000,4.490000,3.890000,3.960000,3.960000,89700
2016-07-08,3.960000,4.328000,3.960000,4.210000,4.210000,34500
2016-07-11,4.298000,4.300000,4.050000,4.120000,4.120000,54400
2016-07-12,4.130000,4.380000,4.068000,4.200000,4.200000,38900
2016-07-13,4.190000,4.760000,4.190000,4.750000,4.750000,45600
2016-07-14,4.700000,4.880000,4.650000,4.650000,4.650000,35500
2016-07-15,4.599000,4.678000,4.370000,4.520000,4.520000,31700
2016-07-18,4.706000,4.706000,4.250000,4.480000,4.480000,36600
2016-07-19,4.400000,4.749000,4.400000,4.640000,4.640000,23700
2016-07-20,4.730000,4.730000,4.550000,4.570000,4.570000,18300
