Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,24.750000,24.889999,24.750000,24.799999,22.891621,69200
2019-03-07,24.809999,24.900000,24.770000,24.830999,22.920237,327400
2019-03-08,24.830000,24.850000,24.799999,24.849001,22.936853,174200
2019-03-11,24.950001,24.950001,24.830000,24.860001,22.947004,170200
2019-03-12,24.860001,24.920000,24.830000,24.860001,22.947004,242900
2019-03-13,24.930000,24.930000,24.870001,24.920000,23.002388,104300
2019-03-14,24.950001,24.990000,24.860001,24.900000,22.983925,104800
2019-03-15,24.900000,25.040001,24.879999,24.930000,23.011620,313800
2019-03-18,24.980000,25.180000,24.950001,25.049999,23.122385,299500
2019-03-19,25.059999,25.070000,24.950001,24.950001,23.030081,159500
2019-03-20,25.000000,25.049999,24.900000,25.020000,23.094692,215900
2019-03-21,25.020000,25.080000,25.000000,25.040001,23.113155,272200
2019-03-22,25.100000,25.110001,24.959999,24.980000,23.057770,99800
2019-03-25,25.030001,25.049999,24.980000,25.020000,23.094692,86400
2019-03-26,25.049999,25.070000,25.010000,25.030001,23.103924,145800
2019-03-27,25.040001,25.080000,25.010000,25.040001,23.113155,291700
2019-03-28,25.070000,25.136999,25.040001,25.129999,23.196228,213300
2019-03-29,25.020000,25.080000,24.840000,24.840000,23.099516,408000
2019-04-01,24.910000,24.950001,24.850000,24.940001,23.192513,121500
2019-04-02,24.950001,25.000000,24.900000,24.990000,23.239006,130100
2019-04-03,25.000000,25.040001,24.959999,25.000000,23.248306,143100
2019-04-04,25.048000,25.100000,25.000000,25.070000,23.313400,106400
2019-04-05,25.098000,25.180000,25.049999,25.160000,23.397095,63200
2019-04-08,25.180000,25.240000,25.122999,25.150000,23.387794,85000
2019-04-09,25.160000,25.200001,25.100000,25.139999,23.378494,128900
2019-04-10,25.087999,25.150000,25.087999,25.139999,23.378494,25200
2019-04-11,25.160000,25.209999,25.120001,25.120001,23.359896,42500
2019-04-12,25.100000,25.160000,25.100000,25.120001,23.359896,30300
2019-04-15,25.170000,25.186001,25.110001,25.170000,23.406393,24600
2019-04-16,25.170000,25.235001,25.110001,25.170000,23.406393,63100
2019-04-17,25.160000,25.160000,25.049999,25.090000,23.331999,34600
2019-04-18,25.059999,25.170000,25.000000,25.020000,23.266903,104200
2019-04-22,25.049999,25.077000,25.021000,25.049999,23.294800,92400
2019-04-23,25.049999,25.200001,25.040001,25.100000,23.341299,170600
2019-04-24,25.120001,25.165001,25.070000,25.139999,23.378494,70400
2019-04-25,25.180000,25.180000,25.100000,25.150000,23.387794,850300
2019-04-26,25.158001,25.209999,25.100000,25.100000,23.341299,145500
2019-04-29,25.110001,25.249001,25.110001,25.209999,23.443588,36000
2019-04-30,25.230000,25.250000,25.129999,25.170000,23.406393,107800
2019-05-01,25.139999,25.150000,25.080000,25.150000,23.387794,81400
2019-05-02,25.180000,25.191000,25.090000,25.090000,23.331999,81200
2019-05-03,25.145000,25.198000,25.049999,25.139999,23.378494,61400
2019-05-06,25.100000,25.190001,25.049999,25.120001,23.359896,129700
2019-05-07,25.200001,25.200001,25.040001,25.059999,23.304100,49500
2019-05-08,25.059999,25.170000,25.040001,25.070000,23.313400,37600
2019-05-09,25.080000,25.100000,25.013000,25.049999,23.294800,86100
2019-05-10,25.087999,25.090000,25.049999,25.059999,23.304100,18900
2019-05-13,25.100000,25.180000,25.059999,25.180000,23.415691,159500
2019-05-14,25.139999,25.170000,25.101000,25.160000,23.397095,16200
2019-05-15,25.100000,25.200001,25.091000,25.167000,23.403603,26500
2019-05-16,25.200001,25.230000,25.129999,25.150000,23.387794,52100
2019-05-17,25.150000,25.162001,25.030001,25.030001,23.276203,54700
2019-05-20,25.070999,25.100000,24.980000,25.030001,23.276203,101000
