Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,5.500000,6.060000,5.050000,5.540000,5.540000,3359800
2014-05-27,5.510000,5.610000,5.420000,5.550000,5.550000,290000
2014-05-28,5.530000,5.930000,5.520000,5.800000,5.800000,238300
2014-05-29,5.900000,6.030000,5.750000,5.940000,5.940000,211900
2014-05-30,5.950000,6.000000,5.610000,5.850000,5.850000,172500
2014-06-02,5.900000,6.040000,5.600000,5.970000,5.970000,98000
2014-06-03,6.050000,6.440000,5.970000,6.400000,6.400000,236300
2014-06-04,6.330000,6.500000,6.110000,6.250000,6.250000,84800
2014-06-05,6.300000,6.300000,5.700000,5.810000,5.810000,76500
2014-06-06,5.750000,5.900000,5.563000,5.890000,5.890000,69400
2014-06-09,6.190000,6.190000,5.610000,6.010000,6.010000,51900
2014-06-10,6.000000,6.350000,5.770000,6.300000,6.300000,79600
2014-06-11,6.300000,6.620000,6.300000,6.480000,6.480000,154000
2014-06-12,6.420000,6.920000,6.300000,6.900000,6.900000,155300
2014-06-13,6.920000,6.920000,6.630000,6.920000,6.920000,53700
2014-06-16,6.860000,6.860000,6.610000,6.780000,6.780000,29200
2014-06-17,7.260000,7.840000,6.900000,7.390000,7.390000,544000
2014-06-18,7.400000,7.930000,7.380000,7.810000,7.810000,153400
2014-06-19,8.170000,8.170000,7.860000,7.890000,7.890000,78300
2014-06-20,7.860000,8.030000,7.360000,7.650000,7.650000,60800
2014-06-23,8.200000,12.550000,7.900000,10.330000,10.330000,1829000
2014-06-24,10.770000,11.200000,10.350000,10.650000,10.650000,1097000
2014-06-25,10.810000,11.000000,10.220000,10.400000,10.400000,265900
2014-06-26,10.250000,10.300000,9.070000,9.620000,9.620000,259600
2014-06-27,9.540000,9.670000,8.800000,9.250000,9.250000,221200
2014-06-30,8.940000,9.000000,8.260000,8.720000,8.720000,204500
2014-07-01,8.500000,8.900000,8.369000,8.890000,8.890000,94400
2014-07-02,8.860000,9.500000,8.620000,8.790000,8.790000,114400
2014-07-03,9.200000,9.200000,8.700000,8.930000,8.930000,52400
2014-07-07,9.230000,9.230000,8.500000,8.540000,8.540000,69300
2014-07-08,8.770000,8.770000,8.400000,8.560000,8.560000,38600
2014-07-09,8.520000,8.760000,8.000000,8.210000,8.210000,29400
2014-07-10,8.030000,8.100000,7.520000,8.010000,8.010000,43000
2014-07-11,7.920000,8.120000,7.868000,8.010000,8.010000,14500
2014-07-14,8.020000,8.020000,7.500000,7.620000,7.620000,77800
2014-07-15,7.450000,7.600000,6.990000,7.010000,7.010000,121400
2014-07-16,7.010000,7.090000,6.990000,7.000000,7.000000,27300
2014-07-17,7.000000,7.218000,6.970000,6.995000,6.995000,26100
2014-07-18,7.020000,7.500000,7.020000,7.240000,7.240000,36700
2014-07-21,7.050000,7.220000,7.020000,7.150000,7.150000,37800
2014-07-22,7.160000,7.160000,6.980000,7.110000,7.110000,22000
2014-07-23,7.150000,7.250000,6.980000,7.030000,7.030000,17300
2014-07-24,7.000000,7.000000,6.550000,6.710000,6.710000,43800
2014-07-25,6.930000,6.940000,6.700000,6.760000,6.760000,22800
2014-07-28,6.760000,6.988000,6.510000,6.580000,6.580000,27700
2014-07-29,6.600000,6.600000,6.100000,6.110000,6.110000,71800
2014-07-30,6.100000,6.200000,6.060000,6.080000,6.080000,18600
2014-07-31,6.060000,6.340000,5.960000,6.250000,6.250000,62100
2014-08-01,6.310000,6.350000,5.970000,6.000000,6.000000,47800
2014-08-04,5.980000,6.000000,5.900000,5.910000,5.910000,29100
2014-08-05,5.930000,6.030000,5.800000,6.010000,6.010000,24700
2014-08-06,5.910000,6.150000,5.820000,6.070000,6.070000,32300
2014-08-07,6.050000,7.000000,5.970000,6.760000,6.760000,63500
2014-08-08,6.320000,6.765000,6.190000,6.450000,6.450000,26700
2014-08-11,6.530000,6.620000,6.520000,6.570000,6.570000,15700
2014-08-12,6.570000,6.615000,6.330000,6.340000,6.340000,16600
2014-08-13,6.330000,6.450000,6.100000,6.290000,6.290000,17100
2014-08-14,6.180000,6.470000,6.000000,6.220000,6.220000,63000
2014-08-15,7.950000,8.000000,6.420000,7.360000,7.360000,119800
2014-08-18,7.260000,7.300000,6.850000,7.240000,7.240000,70800
2014-08-19,7.230000,7.668000,7.230000,7.420000,7.420000,65600
2014-08-20,7.460000,7.810000,7.453000,7.770000,7.770000,23100
2014-08-21,7.750000,7.760000,7.500000,7.590000,7.590000,13700
2014-08-22,7.630000,7.670000,7.501000,7.640000,7.640000,7900
2014-08-25,7.700000,7.810000,7.520000,7.700000,7.700000,27800
2014-08-26,7.420000,7.620000,7.325000,7.480000,7.480000,8200
2014-08-27,7.450000,7.670000,7.060000,7.511000,7.511000,26300
2014-08-28,7.570000,7.900000,7.451000,7.700000,7.700000,18200
2014-08-29,7.690000,8.490000,7.690000,8.440000,8.440000,78800
2014-09-02,8.790000,9.425000,8.610000,9.380000,9.380000,155700
2014-09-03,9.390000,9.990000,9.300000,9.950000,9.950000,98900
2014-09-04,10.000000,10.125000,9.490000,9.490000,9.490000,131300
2014-09-05,9.430000,9.590000,8.770000,9.390000,9.390000,33700
2014-09-08,9.310000,10.500000,9.250000,9.970000,9.970000,62900
2014-09-09,10.010000,10.180000,9.800000,10.000000,10.000000,36700
2014-09-10,9.970000,10.100000,9.920000,9.980000,9.980000,25700
2014-09-11,9.940000,10.010000,9.050000,9.940000,9.940000,84500
2014-09-12,9.950000,9.970000,9.480000,9.540000,9.540000,16500
2014-09-15,9.570000,9.570000,8.590000,8.700000,8.700000,51600
2014-09-16,8.700000,9.240000,7.840000,8.540000,8.540000,89800
2014-09-17,8.408000,8.830000,8.190000,8.200000,8.200000,35800
2014-09-18,8.300000,9.090000,8.250000,8.750000,8.750000,31800
2014-09-19,8.820000,9.850000,8.370000,8.400000,8.400000,174700
2014-09-22,8.420000,8.920000,7.510000,7.750000,7.750000,49300
2014-09-23,7.660000,7.960000,7.540000,7.670000,7.670000,10400
2014-09-24,7.670000,8.178000,7.550000,7.710000,7.710000,28000
2014-09-25,7.740000,8.120000,7.740000,7.980000,7.980000,11700
2014-09-26,8.010000,8.400000,8.000000,8.050000,8.050000,20800
2014-09-29,7.700000,7.700000,7.265000,7.640000,7.640000,40300
2014-09-30,7.520000,7.530000,6.510000,7.300000,7.300000,194500
2014-10-01,7.240000,7.240000,6.050000,6.380000,6.380000,59800
2014-10-02,6.330000,6.510000,6.230000,6.340000,6.340000,17900
2014-10-03,6.340000,6.570000,6.290000,6.330000,6.330000,30900
2014-10-06,6.340000,6.500000,6.210000,6.400000,6.400000,24100
2014-10-07,6.220000,6.639000,6.050000,6.150000,6.150000,61600
2014-10-08,6.070000,6.140000,6.000000,6.000000,6.000000,31500
2014-10-09,6.000000,6.100000,5.980000,5.980000,5.980000,33900
2014-10-10,5.950000,6.100000,5.950000,6.020000,6.020000,23500
2014-10-13,6.150000,6.810000,6.150000,6.180000,6.180000,34800
2014-10-14,6.220000,6.560000,6.150000,6.330000,6.330000,19500
2014-10-15,6.460000,6.690000,6.290000,6.310000,6.310000,6600
2014-10-16,6.640000,6.640000,6.420000,6.570000,6.570000,20600
2014-10-17,6.700000,6.700000,6.470000,6.700000,6.700000,14300
2014-10-20,6.660000,6.660000,6.420000,6.600000,6.600000,11400
2014-10-21,6.550000,6.700000,6.518000,6.700000,6.700000,12900
2014-10-22,6.700000,7.020000,6.510000,6.510000,6.510000,12600
2014-10-23,6.930000,6.980000,6.550000,6.600000,6.600000,9100
2014-10-24,6.770000,6.940000,6.650000,6.790000,6.790000,9600
2014-10-27,6.960000,7.150000,6.550000,7.120000,7.120000,21300
2014-10-28,7.050000,7.520000,6.950000,7.420000,7.420000,28700
2014-10-29,7.360000,7.360000,6.900000,7.000000,7.000000,23600
2014-10-30,7.050000,7.310000,6.900000,7.180000,7.180000,18000
2014-10-31,7.190000,7.430000,6.950000,7.100000,7.100000,30200
2014-11-03,7.260000,7.260000,6.500000,6.760000,6.760000,25800
2014-11-04,6.760000,6.890000,6.750000,6.860000,6.860000,3700
