Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,2.000000,1.901235,1.901235,1.412912,97200
1980-03-18,0.000000,2.000000,1.901235,1.901235,1.412912,32400
1980-03-19,0.000000,1.975309,1.876543,1.876543,1.394562,6700
1980-03-20,0.000000,1.950617,1.851852,1.851852,1.376213,31000
1980-03-21,0.000000,1.950617,1.851852,1.851852,1.376213,4000
1980-03-24,0.000000,1.851852,1.753086,1.753086,1.302815,52600
1980-03-25,0.000000,1.802469,1.703704,1.703704,1.266116,18100
1980-03-26,0.000000,1.802469,1.703704,1.703704,1.266116,2700
1980-03-27,0.000000,1.703704,1.604938,1.604938,1.192718,37000
1980-03-28,0.000000,1.728395,1.629630,1.629630,1.211067,22900
1980-03-31,0.000000,1.753086,1.654321,1.654321,1.229417,37000
1980-04-01,0.000000,1.777778,1.679012,1.679012,1.247767,36400
1980-04-02,0.000000,1.777778,1.679012,1.679012,1.247767,6000
1980-04-03,0.000000,1.802469,1.703704,1.703704,1.266116,55300
1980-04-07,0.000000,1.802469,1.703704,1.703704,1.266116,16800
1980-04-08,0.000000,1.802469,1.703704,1.703704,1.266116,8100
1980-04-09,0.000000,1.827160,1.728395,1.728395,1.284465,24900
1980-04-10,0.000000,1.851852,1.753086,1.753086,1.302815,8700
1980-04-11,0.000000,1.876543,1.777778,1.777778,1.321165,71500
1980-04-14,0.000000,1.876543,1.777778,1.777778,1.321165,6000
1980-04-15,0.000000,1.851852,1.753086,1.753086,1.302815,48600
1980-04-16,0.000000,1.827160,1.728395,1.728395,1.284465,58600
1980-04-17,0.000000,1.827160,1.728395,1.728395,1.284465,14100
1980-04-18,0.000000,1.827160,1.728395,1.728395,1.284465,14100
1980-04-21,0.000000,1.827160,1.728395,1.728395,1.284465,1900
1980-04-22,0.000000,1.827160,1.728395,1.728395,1.284465,27000
1980-04-23,0.000000,1.851852,1.753086,1.753086,1.302815,60700
1980-04-24,0.000000,1.851852,1.753086,1.753086,1.302815,27000
