Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,5.650000,6.150000,5.550000,5.930000,5.930000,112100
2018-03-20,6.250000,6.250000,5.000000,5.160000,5.160000,86600
2018-03-21,5.130000,5.780000,5.090000,5.650000,5.650000,87300
2018-03-22,5.740000,5.990000,5.650000,5.989000,5.989000,84100
2018-03-23,5.950000,6.000000,5.450000,5.980000,5.980000,90000
2018-03-26,6.000000,6.000000,5.490000,5.680000,5.680000,67900
2018-03-27,5.600000,6.080000,5.600000,5.800000,5.800000,109400
2018-03-28,5.800000,6.000000,5.630000,5.890000,5.890000,88200
2018-03-29,5.850000,6.000000,5.830000,5.950000,5.950000,99700
2018-04-02,5.860000,5.980000,5.550000,5.830000,5.830000,92700
2018-04-03,5.870000,6.000000,5.852000,6.000000,6.000000,102300
2018-04-04,5.700000,5.970000,5.700000,5.950000,5.950000,96200
2018-04-05,5.880000,5.990000,5.860000,5.980000,5.980000,86400
2018-04-06,5.660000,5.970000,5.660000,5.880000,5.880000,84500
2018-04-09,5.940000,6.000000,5.750000,5.950000,5.950000,81300
2018-04-10,6.000000,6.000000,5.700000,6.000000,6.000000,85700
2018-04-11,5.770000,6.600000,5.770000,6.500000,6.500000,105000
2018-04-12,6.360000,6.600000,6.301000,6.550000,6.550000,78700
2018-04-13,6.450000,6.890000,6.351000,6.550000,6.550000,89800
2018-04-16,6.620000,6.890000,6.460000,6.500000,6.500000,84100
2018-04-17,6.170000,7.200000,6.170000,6.910000,6.910000,82600
2018-04-18,6.790000,7.800000,6.500000,7.620000,7.620000,88800
2018-04-19,7.862000,8.340000,7.414000,7.800000,7.800000,64000
2018-04-20,7.870000,8.910000,7.510000,7.650000,7.650000,78500
2018-04-23,7.600000,7.600000,6.930000,7.250000,7.250000,83800
2018-04-24,6.886000,7.820000,6.886000,7.440000,7.440000,87900
2018-04-25,7.400000,7.630000,7.050000,7.380000,7.380000,84100
2018-04-26,7.410000,7.960000,7.000000,7.360000,7.360000,94900
2018-04-27,7.190000,7.840000,7.190000,7.650000,7.650000,84400
2018-04-30,7.580000,8.440000,7.050000,7.760000,7.760000,73800
2018-05-01,7.470000,8.030000,7.401000,7.890000,7.890000,78300
2018-05-02,7.400000,7.950000,7.400000,7.810000,7.810000,58400
2018-05-03,7.600000,8.060000,7.500000,7.850000,7.850000,76800
2018-05-04,7.750000,8.000000,7.680000,7.960000,7.960000,78200
2018-05-07,8.500000,8.500000,7.570000,7.720000,7.720000,80200
2018-05-08,7.710000,8.000000,7.700000,7.830000,7.830000,78800
2018-05-09,7.830000,8.060000,7.750000,8.060000,8.060000,68600
2018-05-10,8.000000,8.000000,7.750000,7.750000,7.750000,75200
2018-05-11,7.850000,7.850000,7.640000,7.710000,7.710000,79400
2018-05-14,7.750000,7.830000,7.420000,7.615000,7.615000,94100
2018-05-15,7.570000,7.760000,7.400000,7.410000,7.410000,94800
2018-05-16,7.400000,7.680000,7.350000,7.390000,7.390000,50900
2018-05-17,7.500000,7.540000,7.180000,7.220000,7.220000,74100
2018-05-18,7.350000,7.350000,7.070000,7.200000,7.200000,72600
2018-05-21,7.152000,7.300000,7.000000,7.280000,7.280000,74300
2018-05-22,7.290000,7.290000,6.900000,6.900000,6.900000,68500
2018-05-23,6.950000,7.220000,6.621000,6.650000,6.650000,66100
