Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,12.350000,12.560000,7.190000,10.030000,10.030000,775900
2019-10-28,9.310000,9.800000,8.180000,9.350000,9.350000,98600
2019-10-29,9.740000,9.800000,8.921000,9.210000,9.210000,43400
2019-10-30,8.300000,9.270000,8.270000,8.800000,8.800000,44200
2019-10-31,8.800000,8.800000,8.800000,8.800000,8.800000,0
2019-11-01,8.725000,8.725000,8.270000,8.370000,8.370000,91700
2019-11-04,8.360000,8.440000,8.100000,8.340000,8.340000,70200
2019-11-05,8.380000,8.590000,8.300000,8.330000,8.330000,66300
2019-11-06,8.300000,8.400000,8.080000,8.220000,8.220000,77800
2019-11-07,8.440000,8.550000,8.260000,8.310000,8.310000,72300
2019-11-08,8.594000,8.594000,8.290000,8.380000,8.380000,71600
2019-11-11,8.350000,8.466000,8.186000,8.390000,8.390000,75300
2019-11-12,8.310000,8.450000,8.160000,8.160000,8.160000,63500
2019-11-13,8.170000,8.300000,8.025000,8.210000,8.210000,43200
2019-11-14,8.020000,8.132000,7.200000,7.600000,7.600000,35300
2019-11-15,7.380000,7.380000,6.890000,6.950000,6.950000,81000
2019-11-18,7.150000,7.160000,7.000000,7.100000,7.100000,82600
2019-11-19,7.240000,7.400000,7.100000,7.140000,7.140000,105100
2019-11-20,7.160000,7.480000,6.160000,6.390000,6.390000,115400
2019-11-21,6.450000,6.470000,6.120000,6.400000,6.400000,80800
2019-11-22,6.250000,6.420000,6.250000,6.410000,6.410000,54400
2019-11-25,6.500000,6.800000,6.500000,6.630000,6.630000,45500
2019-11-26,6.710000,6.960000,6.694000,6.800000,6.800000,45200
2019-11-27,6.790000,7.100000,6.770000,6.870000,6.870000,78400
2019-11-29,6.920000,7.100000,6.760000,6.870000,6.870000,48400
2019-12-02,6.710000,6.840000,6.580000,6.580000,6.580000,75600
2019-12-03,6.604000,6.669000,6.490000,6.590000,6.590000,42400
2019-12-04,6.500000,6.820000,6.490000,6.754000,6.754000,40700
2019-12-05,6.730000,6.780000,6.340000,6.680000,6.680000,70100
2019-12-06,6.640000,6.865000,6.380000,6.816000,6.816000,100800
2019-12-09,6.920000,6.966000,6.500000,6.740000,6.740000,100400
2019-12-10,6.600000,6.900000,6.320000,6.660000,6.660000,127500
2019-12-11,6.630000,6.780000,6.590000,6.665000,6.665000,115400
2019-12-12,6.630000,6.895000,6.255000,6.480000,6.480000,75100
2019-12-13,6.720000,6.760000,6.355000,6.430000,6.430000,52700
2019-12-16,6.440000,6.610000,6.260000,6.340000,6.340000,51800
2019-12-17,6.501000,6.600000,6.100000,6.270000,6.270000,48200
2019-12-18,6.221000,6.820000,6.151000,6.770000,6.770000,72200
2019-12-19,6.750000,6.750000,6.160000,6.530000,6.530000,120100
2019-12-20,6.540000,6.880000,6.500000,6.570000,6.570000,69600
2019-12-23,6.690000,6.845000,6.350000,6.391000,6.391000,63200
2019-12-24,6.460000,6.500000,6.090000,6.190000,6.190000,65900
2019-12-26,6.240000,6.450000,6.170000,6.250000,6.250000,22000
2019-12-27,6.300000,6.470000,6.161000,6.400000,6.400000,61300
2019-12-30,6.300000,6.750000,6.032000,6.280000,6.280000,106700
2019-12-31,6.201000,6.685000,6.110000,6.420000,6.420000,62300
2020-01-02,6.400000,6.550000,6.230000,6.490000,6.490000,81000
2020-01-03,6.470000,7.221000,6.330000,6.828000,6.828000,121800
2020-01-06,6.980000,6.980000,6.480000,6.570000,6.570000,72700
2020-01-07,6.500000,7.000000,6.500000,6.610000,6.610000,117300
2020-01-08,6.740000,6.850000,6.330000,6.460000,6.460000,72800
2020-01-09,6.460000,6.600000,6.310000,6.430000,6.430000,37400
2020-01-10,6.430000,6.580000,6.350000,6.450000,6.450000,43700
2020-01-13,6.550000,6.850000,6.310000,6.570000,6.570000,130500
2020-01-14,6.580000,7.133000,6.530000,7.060000,7.060000,114600
2020-01-15,7.000000,7.940000,7.000000,7.520000,7.520000,101000
2020-01-16,7.740000,8.650000,7.630000,8.080000,8.080000,167400
2020-01-17,8.220000,8.460000,8.000000,8.130000,8.130000,98900
2020-01-21,8.100000,8.100000,7.520000,7.730000,7.730000,88100
2020-01-22,7.770000,8.180000,7.620000,7.720000,7.720000,106500
2020-01-23,7.730000,7.930000,7.447000,7.630000,7.630000,98000
2020-01-24,7.655000,8.050000,7.330000,7.650000,7.650000,116400
2020-01-27,7.510000,7.510000,7.160000,7.200000,7.200000,79700
2020-01-28,7.300000,7.550000,7.280000,7.430000,7.430000,63000
2020-01-29,7.490000,7.870000,7.470000,7.550000,7.550000,69400
2020-01-30,7.550000,7.770000,7.540000,7.620000,7.620000,42500
2020-01-31,7.610000,7.650000,7.100000,7.300000,7.300000,62300
2020-02-03,7.220000,7.500000,7.100000,7.150000,7.150000,48800
2020-02-04,7.260000,7.450000,7.200000,7.380000,7.380000,37800
2020-02-05,7.500000,7.760000,7.400000,7.610000,7.610000,77500
2020-02-06,7.710000,7.910000,7.550000,7.770000,7.770000,99500
2020-02-07,7.870000,8.260000,7.750000,7.830000,7.830000,66300
2020-02-10,7.780000,8.150000,7.780000,7.990000,7.990000,63700
2020-02-11,8.010000,8.200000,8.000000,8.000000,8.000000,75400
2020-02-12,8.040000,8.050000,7.890000,7.960000,7.960000,46700
2020-02-13,8.000000,8.300000,7.910000,8.070000,8.070000,101400
2020-02-14,8.140000,8.175000,7.290000,7.715000,7.715000,131100
2020-02-18,7.750000,7.870000,7.480000,7.590000,7.590000,62300
2020-02-19,7.590000,7.830000,7.515000,7.700000,7.700000,75900
2020-02-20,7.640000,7.900000,7.530000,7.820000,7.820000,106700
2020-02-21,7.860000,7.910000,7.640000,7.670000,7.670000,79300
2020-02-24,7.490000,7.740000,7.440000,7.530000,7.530000,93600
2020-02-25,7.600000,7.620000,7.240000,7.340000,7.340000,84000
2020-02-26,7.470000,7.570000,7.360000,7.450000,7.450000,74800
2020-02-27,7.400000,7.590000,7.130000,7.500000,7.500000,87300
2020-02-28,7.420000,7.682000,7.120000,7.570000,7.570000,105900
2020-03-02,7.650000,8.289000,7.580000,8.120000,8.120000,178500
2020-03-03,8.170000,8.721000,8.010000,8.270000,8.270000,214900
2020-03-04,8.493000,9.560000,8.417000,9.480000,9.480000,180100
2020-03-05,9.360000,10.453000,9.360000,10.280000,10.280000,227200
2020-03-06,10.200000,10.658000,9.610000,10.010000,10.010000,177300
2020-03-09,9.570000,10.200000,9.200000,9.510000,9.510000,158000
2020-03-10,9.610000,9.890000,9.465000,9.750000,9.750000,156000
