Date,Open,High,Low,Close,Adj Close,Volume
2014-11-17,65.010002,73.260002,64.110001,70.760002,70.760002,58500
2014-11-18,72.680000,99.000000,72.449997,95.699997,95.699997,143200
2014-11-19,94.010002,111.870003,92.570000,98.000000,98.000000,182000
2014-11-20,97.820000,98.540001,88.000000,96.050003,96.050003,126300
2014-11-21,93.550003,106.690002,92.848999,104.519997,104.519997,44100
2014-11-24,108.290001,131.009995,108.290001,127.000000,127.000000,127300
2014-11-25,125.050003,127.999001,116.000000,117.099998,117.099998,80400
2014-11-26,121.879997,126.000000,115.480003,119.000000,119.000000,22000
2014-11-28,124.500000,124.500000,118.750000,118.750000,118.750000,2100
2014-12-01,112.250000,116.000000,112.000000,113.059998,113.059998,22800
2014-12-02,112.300003,114.000000,108.010002,111.660004,111.660004,32500
2014-12-03,109.559998,110.000000,104.000000,104.000000,104.000000,22700
2014-12-04,107.379997,107.379997,95.459999,97.970001,97.970001,35900
2014-12-05,95.349998,95.949997,86.010002,92.750000,92.750000,28400
2014-12-08,93.599998,93.599998,87.480003,88.220001,88.220001,11100
2014-12-09,88.949997,90.580002,87.739998,89.930000,89.930000,17100
2014-12-10,88.949997,89.879997,87.260002,87.349998,87.349998,19200
2014-12-11,90.000000,90.000000,85.970001,85.970001,85.970001,9000
2014-12-12,85.459999,91.000000,85.000000,87.500000,87.500000,15000
2014-12-15,86.650002,89.250000,83.919998,83.919998,83.919998,16100
2014-12-16,84.029999,89.739998,84.029999,87.099998,87.099998,4300
2014-12-17,84.790001,89.989998,84.769997,89.199997,89.199997,9900
2014-12-18,88.089996,89.190002,86.730003,87.000000,87.000000,5200
2014-12-19,89.500000,92.849998,89.500000,90.290001,90.290001,41800
2014-12-22,92.949997,94.269997,90.750000,90.750000,90.750000,17800
2014-12-23,92.980003,92.980003,86.769997,87.000000,87.000000,8300
2014-12-24,90.000000,90.500000,89.500000,89.500000,89.500000,8800
2014-12-26,89.540001,91.370003,89.150002,91.370003,91.370003,2300
2014-12-29,90.099998,91.989998,90.000000,90.769997,90.769997,3900
2014-12-30,90.779999,93.980003,90.250000,90.250000,90.250000,8100
2014-12-31,89.449997,95.470001,89.449997,94.000000,94.000000,9300
2015-01-02,94.000000,95.750000,93.940002,95.750000,95.750000,2000
2015-01-05,94.000000,97.000000,94.000000,94.500000,94.500000,8200
2015-01-06,94.360001,96.330002,94.000000,94.000000,94.000000,9900
2015-01-07,94.000000,97.000000,93.000000,96.699997,96.699997,8300
2015-01-08,97.000000,102.000000,97.000000,98.000000,98.000000,7800
2015-01-09,99.790001,102.000000,99.010002,102.000000,102.000000,2900
2015-01-12,102.190002,104.029999,102.190002,103.199997,103.199997,6000
2015-01-13,105.000000,105.750000,102.250000,105.459999,105.459999,10400
2015-01-14,105.120003,105.500000,101.290001,104.900002,104.900002,5600
2015-01-15,103.050003,105.500000,103.000000,103.000000,103.000000,6500
2015-01-16,103.050003,104.500000,102.610001,104.500000,104.500000,4100
2015-01-20,102.550003,105.250000,102.550003,105.250000,105.250000,5300
2015-01-21,104.029999,106.989998,104.000000,106.250000,106.250000,4100
2015-01-22,106.859001,109.300003,106.000000,108.000000,108.000000,7500
2015-01-23,108.000000,114.000000,108.000000,112.750000,112.750000,6900
2015-01-26,112.440002,116.970001,110.000000,114.000000,114.000000,2900
2015-01-27,112.500000,113.125000,110.000000,110.000000,110.000000,3100
2015-01-28,112.000000,114.000000,110.099998,110.150002,110.150002,4900
2015-01-29,110.029999,120.000000,110.029999,118.980003,118.980003,4000
2015-01-30,125.000000,147.350006,125.000000,145.000000,145.000000,7700
2015-02-02,144.699997,155.000000,139.289993,155.000000,155.000000,11400
2015-02-03,157.580002,157.580002,147.000000,150.000000,150.000000,8800
2015-02-04,149.000000,149.699997,147.500000,149.699997,149.699997,3200
2015-02-05,147.500000,156.250000,147.500000,156.250000,156.250000,5700
2015-02-06,150.000000,153.000000,147.500000,147.500000,147.500000,3800
2015-02-09,146.830002,150.250000,145.059998,148.449997,148.449997,1700
2015-02-10,146.130005,149.100006,145.009995,148.949997,148.949997,3300
2015-02-11,147.929993,148.149994,140.080002,140.080002,140.080002,4500
2015-02-12,139.050003,143.250000,139.000000,143.250000,143.250000,3400
2015-02-13,142.050003,143.000000,140.000000,140.000000,140.000000,1500
2015-02-17,140.050003,140.500000,135.720001,138.750000,138.750000,4500
2015-02-18,138.050003,142.000000,134.550003,141.990005,141.990005,3100
2015-02-19,140.000000,144.210007,139.789993,144.199997,144.199997,4800
2015-02-20,140.000000,147.190002,140.000000,145.070007,145.070007,6300
2015-02-23,143.039993,145.000000,142.000000,142.000000,142.000000,2200
2015-02-24,140.000000,141.509995,136.279999,141.509995,141.509995,4600
2015-02-25,141.000000,142.529999,140.949997,142.500000,142.500000,1500
2015-02-26,141.490005,145.000000,141.490005,145.000000,145.000000,2900
2015-02-27,145.000000,145.000000,138.009995,138.009995,138.009995,8200
2015-03-02,137.949997,138.009995,132.199997,132.199997,132.199997,4100
2015-03-03,130.000000,132.000000,130.000000,130.350006,130.350006,3300
2015-03-04,128.000000,129.000000,125.279999,125.279999,125.279999,6100
2015-03-05,124.070000,124.930000,121.000000,121.800003,121.800003,8200
2015-03-06,117.400002,119.000000,109.949997,110.000000,110.000000,10400
2015-03-09,112.000000,116.019997,110.000000,114.050003,114.050003,4800
2015-03-10,113.089996,113.330002,110.500000,110.699997,110.699997,4200
2015-03-11,114.510002,117.800003,112.129997,113.000000,113.000000,1500
2015-03-12,111.620003,117.239998,111.620003,117.199997,117.199997,1100
2015-03-13,120.000000,120.000000,116.000000,116.000000,116.000000,1300
2015-03-16,117.870003,120.000000,117.000000,120.000000,120.000000,4400
2015-03-17,119.643997,122.690002,119.550003,122.500000,122.500000,5300
2015-03-18,122.839996,125.000000,121.730003,121.730003,121.730003,2000
2015-03-19,120.070000,123.989998,120.070000,123.989998,123.989998,1500
2015-03-20,123.989998,128.080002,118.000000,128.000000,128.000000,3800
2015-03-23,122.500000,122.800003,120.120003,120.750000,120.750000,2200
2015-03-24,120.750000,120.750000,120.750000,120.750000,120.750000,0
2015-03-25,120.000000,120.000000,118.000000,118.000000,118.000000,700
2015-03-26,120.000000,122.430000,118.000000,122.430000,122.430000,1200
2015-03-27,122.510002,122.510002,122.510002,122.510002,122.510002,900
2015-03-30,123.000000,123.000000,123.000000,123.000000,123.000000,1400
2015-03-31,123.099998,123.099998,118.510002,118.760002,118.760002,3000
2015-04-01,113.199997,116.250000,113.190002,115.910004,115.910004,3900
2015-04-02,116.000000,116.419998,110.120003,112.000000,112.000000,6100
2015-04-06,109.980003,115.750000,104.900002,115.750000,115.750000,2700
2015-04-07,114.000000,114.000000,111.019997,111.099998,111.099998,2900
2015-04-08,107.610001,107.610001,107.000000,107.010002,107.010002,2500
2015-04-09,107.010002,107.010002,105.000000,106.010002,106.010002,2800
2015-04-10,106.000000,106.000000,104.000000,104.769997,104.769997,4300
2015-04-13,106.197998,106.197998,106.197998,106.197998,106.197998,500
2015-04-14,104.239998,104.239998,100.300003,100.300003,100.300003,4500
2015-04-15,101.019997,101.220001,99.000000,100.000000,100.000000,5200
2015-04-16,100.000000,101.410004,98.000000,98.449997,98.449997,3000
2015-04-17,97.000000,97.800003,97.000000,97.800003,97.800003,1000
2015-04-20,100.000000,103.800003,100.000000,103.800003,103.800003,2300
2015-04-21,103.980003,107.250000,103.980003,107.199997,107.199997,1500
2015-04-22,104.250000,104.250000,101.000000,101.059998,101.059998,15500
2015-04-23,101.550003,103.199997,97.760002,102.220001,102.220001,4200
2015-04-24,102.220001,102.220001,102.220001,102.220001,102.220001,0
2015-04-27,100.050003,100.050003,98.500000,100.000000,100.000000,3600
2015-04-28,96.000000,99.480003,96.000000,98.099998,98.099998,2200
2015-04-29,100.000000,100.599998,99.500000,100.500000,100.500000,3400
2015-04-30,100.519997,100.519997,95.000000,99.750000,99.750000,7800
2015-05-01,99.309998,101.989998,98.000000,98.000000,98.000000,5700
2015-05-04,99.570000,99.570000,97.919998,99.000000,99.000000,6400
2015-05-05,99.000000,99.000000,93.730003,96.000000,96.000000,7200
2015-05-06,95.379997,95.379997,93.000000,93.000000,93.000000,1700
2015-05-07,94.959999,95.599998,94.959999,95.599998,95.599998,1100
2015-05-08,95.989998,99.970001,95.989998,99.970001,99.970001,5000
2015-05-11,97.279999,97.279999,97.279999,97.279999,97.279999,2000
2015-05-12,96.050003,96.050003,94.949997,96.000000,96.000000,1500
2015-05-13,94.000000,94.000000,91.080002,93.919998,93.919998,1600
2015-05-14,93.190002,93.190002,93.139999,93.139999,93.139999,1700
2015-05-15,94.000000,94.190002,90.000000,90.000000,90.000000,4400
2015-05-18,91.000000,91.000000,90.169998,90.169998,90.169998,1400
2015-05-19,90.220001,95.000000,90.220001,91.650002,91.650002,6400
2015-05-20,93.000000,98.000000,91.250000,95.500000,95.500000,6300
2015-05-21,94.589996,97.500000,94.589996,97.000000,97.000000,2000
2015-05-22,95.839996,102.000000,95.839996,99.830002,99.830002,2500
2015-05-26,95.099998,97.000000,95.080002,95.550003,95.550003,2700
2015-05-27,96.222000,98.500000,96.222000,97.680000,97.680000,3900
2015-05-28,97.849998,98.790001,95.370003,98.790001,98.790001,2400
2015-05-29,99.190002,99.489998,96.500000,96.500000,96.500000,2100
2015-06-01,97.010002,99.189003,93.291000,95.750000,95.750000,7700
2015-06-02,95.879997,100.849998,95.879997,98.250000,98.250000,4100
2015-06-03,101.489998,105.330002,101.489998,102.339996,102.339996,4100
2015-06-04,102.120003,106.000000,102.120003,104.800003,104.800003,9700
2015-06-05,102.650002,104.650002,98.769997,98.809998,98.809998,4300
2015-06-08,95.139999,95.510002,92.330002,93.180000,93.180000,3100
2015-06-09,95.059998,97.839996,93.000000,93.000000,93.000000,1500
2015-06-10,92.040001,92.949997,92.000000,92.949997,92.949997,2400
2015-06-11,92.010002,94.989998,92.010002,93.449997,93.449997,1700
2015-06-12,91.459999,92.029999,91.400002,91.910004,91.910004,1400
2015-06-15,93.889999,93.889999,83.870003,87.199997,87.199997,13100
2015-06-16,86.050003,88.440002,84.500000,86.000000,86.000000,5800
2015-06-17,84.750000,89.720001,84.750000,86.449997,86.449997,2900
2015-06-18,87.529999,88.989998,85.150002,88.000000,88.000000,2500
2015-06-19,85.440002,91.900002,85.440002,91.900002,91.900002,7100
2015-06-22,91.480003,91.669998,89.500000,91.669998,91.669998,2600
2015-06-23,90.862000,92.489998,89.519997,92.099998,92.099998,1400
2015-06-24,91.680000,92.010002,91.680000,92.010002,92.010002,1400
2015-06-25,93.750000,93.980003,92.239998,93.980003,93.980003,4100
2015-06-26,90.110001,92.500000,89.279999,89.279999,89.279999,15100
2015-06-29,90.500000,91.769997,88.639999,88.699997,88.699997,7000
2015-06-30,88.139999,88.139999,84.930000,87.269997,87.269997,6800
2015-07-01,87.029999,87.269997,87.029999,87.269997,87.269997,1000
2015-07-02,88.000000,88.000000,87.000000,87.000000,87.000000,1400
2015-07-06,88.820000,88.830002,85.290001,86.010002,86.010002,2900
2015-07-07,85.199997,86.070000,85.199997,85.199997,85.199997,2400
2015-07-08,87.000000,87.000000,86.889999,86.889999,86.889999,700
2015-07-09,87.750000,87.750000,85.589996,85.790001,85.790001,4500
2015-07-10,86.400002,86.400002,86.400002,86.400002,86.400002,700
2015-07-13,85.349998,86.202003,85.329002,86.000000,86.000000,1500
2015-07-14,86.000000,87.000000,86.000000,86.099998,86.099998,3000
2015-07-15,86.050003,86.050003,86.050003,86.050003,86.050003,700
2015-07-16,85.739998,85.739998,85.739998,85.739998,85.739998,700
2015-07-17,83.500000,85.250000,83.230003,83.980003,83.980003,4700
2015-07-20,82.000000,82.000000,82.000000,82.000000,82.000000,700
2015-07-21,82.440002,82.440002,81.000000,81.800003,81.800003,1300
2015-07-22,79.199997,81.989998,79.179001,81.989998,81.989998,1500
2015-07-23,79.279999,79.279999,79.279999,79.279999,79.279999,500
2015-07-24,78.000000,78.150002,68.889999,68.889999,68.889999,9600
2015-07-27,71.800003,71.800003,65.314003,67.809998,67.809998,6300
2015-07-28,65.500000,65.500000,60.021000,62.709999,62.709999,11500
2015-07-29,61.040001,61.717999,59.520000,59.980000,59.980000,20900
2015-07-30,60.000000,61.020000,58.279999,59.990002,59.990002,10800
2015-07-31,60.000000,62.369999,59.507000,59.630001,59.630001,3000
2015-08-03,60.000000,60.000000,58.000000,58.000000,58.000000,9000
2015-08-04,56.459999,58.279999,56.459999,56.509998,56.509998,8900
2015-08-05,59.119999,59.119999,52.000000,53.220001,53.220001,9900
2015-08-06,52.730000,56.320000,50.000000,53.750000,53.750000,18900
2015-08-07,55.000000,67.220001,55.000000,65.000000,65.000000,7800
2015-08-10,65.000000,65.099998,63.380001,65.099998,65.099998,6000
2015-08-11,66.339996,67.019997,64.959999,66.940002,66.940002,17400
2015-08-12,67.250000,72.580002,67.250000,72.580002,72.580002,16900
2015-08-13,73.366997,73.366997,70.800003,70.800003,70.800003,1300
2015-08-14,73.750000,73.750000,73.750000,73.750000,73.750000,300
2015-08-17,73.750000,77.699997,73.250000,76.750000,76.750000,7000
2015-08-18,76.220001,76.300003,76.220001,76.250000,76.250000,800
2015-08-19,77.900002,78.000000,75.000000,75.809998,75.809998,4200
2015-08-20,76.059998,76.059998,74.000000,74.250000,74.250000,9900
2015-08-21,72.349998,73.000000,69.000999,71.120003,71.120003,2900
2015-08-24,69.779999,72.230003,67.300003,67.300003,67.300003,5400
2015-08-25,64.750000,68.650002,64.750000,67.650002,67.650002,3200
2015-08-26,66.110001,70.220001,66.000000,69.000000,69.000000,3300
2015-08-27,70.199997,72.250000,67.608002,72.250000,72.250000,3300
2015-08-28,72.489998,73.970001,71.849998,71.849998,71.849998,5400
2015-08-31,73.139999,73.500000,73.139999,73.250000,73.250000,2200
2015-09-01,72.400002,74.589996,71.750000,73.540001,73.540001,2000
2015-09-02,73.269997,73.269997,73.269997,73.269997,73.269997,1000
2015-09-03,72.000000,73.500000,71.760002,73.489998,73.489998,4400
2015-09-04,73.500000,73.750000,72.500000,73.750000,73.750000,1800
2015-09-08,73.250000,73.500000,73.250000,73.500000,73.500000,2500
2015-09-09,72.040001,74.449997,72.040001,74.430000,74.430000,1500
2015-09-10,73.500000,73.500000,69.669998,71.760002,71.760002,1700
2015-09-11,71.500000,73.349998,70.650002,70.650002,70.650002,1700
2015-09-14,68.599998,69.199997,68.300003,68.500000,68.500000,1400
2015-09-15,67.360001,67.360001,67.360001,67.360001,67.360001,400
2015-09-16,64.330002,66.250000,64.320000,66.250000,66.250000,2600
2015-09-17,65.000000,65.000000,64.000000,64.949997,64.949997,3600
2015-09-18,68.500000,77.360001,68.500000,72.000000,72.000000,16100
2015-09-21,71.000000,72.000000,68.809998,68.809998,68.809998,1600
2015-09-22,70.250000,70.250000,65.000000,65.000000,65.000000,2500
2015-09-23,62.000000,63.369999,60.110001,62.750000,62.750000,8900
2015-09-24,62.490002,63.750000,59.990002,63.740002,63.740002,4200
2015-09-25,65.000000,65.000000,62.400002,63.000000,63.000000,3100
2015-09-28,62.759998,62.770000,62.500000,62.509998,62.509998,6600
2015-09-29,59.580002,62.919998,59.029999,62.880001,62.880001,1800
2015-09-30,62.400002,63.500000,62.400002,63.450001,63.450001,20200
2015-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,300
2015-10-02,62.480000,62.480000,62.480000,62.480000,62.480000,300
2015-10-05,61.500000,65.000000,61.500000,64.989998,64.989998,3100
2015-10-06,64.500000,64.750000,63.259998,63.750000,63.750000,5400
2015-10-07,65.500000,66.000000,65.300003,65.849998,65.849998,5100
2015-10-08,67.870003,68.620003,65.970001,65.970001,65.970001,3800
2015-10-09,66.099998,66.970001,66.099998,66.970001,66.970001,1300
2015-10-12,66.250000,67.449997,66.250000,67.449997,67.449997,600
2015-10-13,66.050003,66.050003,66.050003,66.050003,66.050003,600
2015-10-14,64.849998,65.250000,62.910000,64.019997,64.019997,5800
2015-10-15,63.500000,66.250000,63.500000,66.250000,66.250000,1000
2015-10-16,66.750000,66.750000,66.750000,66.750000,66.750000,300
2015-10-19,66.860001,67.000000,66.860001,67.000000,67.000000,1200
2015-10-20,64.019997,69.000000,64.019997,67.029999,67.029999,6000
2015-10-21,66.879997,66.879997,65.001999,65.260002,65.260002,1500
2015-10-22,63.000000,64.389999,63.000000,64.389999,64.389999,900
2015-10-23,65.000000,66.639999,65.000000,66.639999,66.639999,1600
2015-10-26,68.720001,68.720001,66.716003,66.716003,66.716003,900
2015-10-27,66.050003,66.050003,65.000000,65.000000,65.000000,19000
2015-10-28,66.000000,67.000000,64.989998,66.709999,66.709999,4300
2015-10-29,64.610001,65.370003,64.610001,65.370003,65.370003,600
2015-10-30,65.250000,65.250000,63.020000,64.250000,64.250000,3300
2015-11-02,63.150002,64.239998,63.150002,63.990002,63.990002,5800
2015-11-03,64.400002,64.989998,63.020000,63.020000,63.020000,2000
2015-11-04,64.000000,64.439003,63.009998,64.000000,64.000000,4000
2015-11-05,64.500000,64.500000,64.500000,64.500000,64.500000,1000
2015-11-06,64.010002,65.500000,64.000000,65.500000,65.500000,1500
2015-11-09,65.500000,65.500000,64.540001,64.599998,64.599998,3000
2015-11-10,65.510002,65.510002,65.510002,65.510002,65.510002,200
2015-11-11,65.519997,65.519997,65.519997,65.519997,65.519997,200
2015-11-12,64.510002,65.489998,64.500000,65.250000,65.250000,1200
2015-11-13,65.209999,65.209999,64.500000,64.750000,64.750000,1500
2015-11-16,67.080002,70.050003,67.080002,68.349998,68.349998,8900
2015-11-17,68.000000,69.000000,68.000000,69.000000,69.000000,800
2015-11-18,66.010002,66.010002,65.000000,66.000000,66.000000,1000
2015-11-19,65.650002,65.650002,65.650002,65.650002,65.650002,400
2015-11-20,66.500000,67.250000,65.540001,67.250000,67.250000,400
2015-11-23,67.000000,67.000000,65.000000,65.000000,65.000000,600
2015-11-24,63.090000,63.110001,62.549999,62.950001,62.950001,1700
2015-11-25,62.000000,63.270000,60.000000,63.270000,63.270000,4000
2015-11-27,63.270000,63.270000,63.270000,63.270000,63.270000,0
2015-11-30,65.500000,65.500000,61.500000,61.830002,61.830002,5200
2015-12-01,62.000000,62.240002,62.000000,62.150002,62.150002,800
2015-12-02,61.785999,61.785999,61.000000,61.650002,61.650002,1500
2015-12-03,61.009998,61.009998,61.009998,61.009998,61.009998,400
2015-12-04,61.009998,61.009998,60.500000,60.980000,60.980000,4500
2015-12-07,60.040001,60.500000,57.290001,58.060001,58.060001,3200
2015-12-08,57.970001,57.970001,57.709999,57.709999,57.709999,600
2015-12-09,57.626999,58.639999,56.630001,57.709999,57.709999,900
2015-12-10,57.000000,57.250000,56.209999,56.360001,56.360001,7100
