Date,Open,High,Low,Close,Adj Close,Volume
1984-04-24,2.916667,4.166667,2.916667,2.916667,1.682763,1500
1984-04-25,2.916667,4.166667,2.916667,2.916667,1.682763,1500
1984-04-26,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-04-27,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-04-30,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-01,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-02,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-03,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-04,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-07,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-08,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-09,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-10,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-11,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-14,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-15,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-16,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-17,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-18,2.916667,4.166667,2.916667,2.916667,1.682763,300
1984-05-21,2.916667,4.166667,2.916667,2.916667,1.682763,600
1984-05-22,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-23,2.916667,3.750000,2.916667,2.916667,1.682763,1500
1984-05-24,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-25,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-29,2.916667,2.916667,2.916667,2.916667,1.682763,0
1984-05-30,2.916667,3.750000,2.500000,2.500000,1.442369,700
1984-05-31,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-06-01,2.500000,3.750000,2.500000,2.500000,1.442369,700
1984-06-04,2.500000,3.333333,2.500000,2.500000,1.442369,300
1984-06-05,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-06-06,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-06-07,2.500000,3.333333,2.500000,2.500000,1.442369,600
1984-06-08,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-06-11,2.500000,3.333333,2.083333,2.083333,1.201974,0
1984-06-12,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-13,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-14,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-15,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-18,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-19,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-20,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-21,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-22,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-25,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-26,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-27,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-28,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-06-29,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-07-02,2.083333,3.333333,1.666667,1.666667,0.961579,700
1984-07-03,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-05,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-06,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-09,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-10,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-11,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-12,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-13,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-16,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-17,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-18,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-19,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-07-20,2.500000,3.333333,2.500000,2.500000,1.442369,600
1984-07-23,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-24,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-25,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-26,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-27,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-30,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-07-31,2.500000,2.500000,2.500000,2.500000,1.442369,0
1984-08-01,2.500000,2.916667,1.666667,1.666667,0.961579,100
1984-08-02,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-03,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-06,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-07,1.666667,2.916667,1.666667,1.666667,0.961579,0
1984-08-08,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-09,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-10,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-13,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-14,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-15,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-16,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-17,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-20,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-21,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-22,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-23,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-24,1.666667,2.916667,1.666667,1.666667,0.961579,0
1984-08-27,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-28,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-29,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-30,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-08-31,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-04,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-05,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-06,2.083333,3.333333,2.083333,2.083333,1.201974,100
1984-09-07,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-10,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-11,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-12,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-13,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-14,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-17,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-18,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-19,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-20,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-09-21,2.083333,2.916667,1.666667,1.666667,0.961579,700
1984-09-24,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-25,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-26,1.666667,1.666667,1.666667,1.666667,0.961579,0
1984-09-27,2.083333,2.916667,2.083333,2.083333,1.201974,1000
1984-09-28,2.083333,2.083333,2.083333,2.083333,1.201974,0
1984-10-01,2.083333,3.333333,1.666667,1.666667,0.961579,1200
1984-10-02,1.666667,1.666667,1.666667,1.666667,0.961579,0
