Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.280000,4.340000,4.280000,4.340000,4.340000,1000
2008-01-03,4.340000,4.400000,4.300000,4.330000,4.330000,56900
2008-01-04,4.250000,4.270000,4.250000,4.260000,4.260000,2300
2008-01-07,4.150000,4.200000,4.000000,4.050000,4.050000,8500
2008-01-08,4.150000,4.180000,3.960000,4.040000,4.040000,16900
2008-01-09,3.950000,4.990000,3.850000,4.100000,4.100000,70900
2008-01-10,4.100000,4.190000,4.050000,4.050000,4.050000,68700
2008-01-11,4.140000,4.140000,4.010000,4.030000,4.030000,18300
2008-01-14,4.010000,4.160000,4.010000,4.160000,4.160000,62000
2008-01-15,4.180000,4.180000,4.000000,4.000000,4.000000,31700
2008-01-16,3.990000,4.000000,3.850000,3.970000,3.970000,24700
2008-01-17,4.060000,4.060000,3.900000,3.960000,3.960000,10000
2008-01-18,3.870000,3.950000,3.750000,3.870000,3.870000,36300
2008-01-22,3.400000,3.620000,3.330000,3.500000,3.500000,29900
2008-01-23,3.440000,3.450000,3.200000,3.350000,3.350000,24300
2008-01-24,3.390000,3.780000,3.390000,3.750000,3.750000,56300
2008-01-25,3.840000,3.840000,3.700000,3.700000,3.700000,20400
2008-01-28,3.700000,3.700000,3.650000,3.650000,3.650000,7900
2008-01-29,3.700000,3.740000,3.700000,3.740000,3.740000,700
2008-01-30,3.700000,3.710000,3.550000,3.700000,3.700000,20000
2008-01-31,3.610000,3.750000,3.600000,3.700000,3.700000,37400
2008-02-01,3.750000,3.780000,3.660000,3.660000,3.660000,14400
2008-02-04,3.660000,3.750000,3.660000,3.700000,3.700000,20200
2008-02-05,3.850000,3.990000,3.700000,3.890000,3.890000,119900
2008-02-06,4.080000,4.170000,3.990000,4.050000,4.050000,143000
2008-02-07,4.000000,4.100000,3.900000,3.900000,3.900000,27800
2008-02-08,3.940000,4.200000,3.940000,4.050000,4.050000,48900
2008-02-11,4.100000,4.190000,4.050000,4.140000,4.140000,26000
2008-02-12,4.190000,4.230000,3.950000,3.960000,3.960000,37400
2008-02-13,3.950000,4.050000,3.920000,4.030000,4.030000,27400
2008-02-14,4.100000,4.100000,3.850000,4.050000,4.050000,53300
2008-02-15,4.130000,4.130000,3.960000,4.000000,4.000000,56700
2008-02-19,4.110000,4.150000,4.020000,4.150000,4.150000,76800
2008-02-20,4.110000,4.440000,4.030000,4.440000,4.440000,116100
2008-02-21,4.540000,4.700000,4.150000,4.330000,4.330000,151000
2008-02-22,4.300000,4.400000,4.190000,4.400000,4.400000,86900
2008-02-25,4.490000,5.100000,4.350000,4.910000,4.910000,370100
2008-02-26,4.990000,5.000000,4.800000,4.820000,4.820000,117100
2008-02-27,4.850000,5.300000,4.850000,5.270000,5.270000,164900
2008-02-28,5.330000,5.420000,5.150000,5.350000,5.350000,130100
2008-02-29,5.390000,5.520000,5.100000,5.190000,5.190000,116700
2008-03-03,5.330000,5.510000,5.190000,5.490000,5.490000,101900
2008-03-04,5.680000,5.680000,5.100000,5.290000,5.290000,121300
2008-03-05,5.010000,5.320000,5.010000,5.290000,5.290000,81300
2008-03-06,5.440000,5.440000,5.250000,5.250000,5.250000,21800
2008-03-07,5.380000,5.380000,5.100000,5.140000,5.140000,64200
2008-03-10,5.090000,5.200000,4.840000,4.860000,4.860000,83300
2008-03-11,5.050000,5.110000,4.880000,5.020000,5.020000,35200
2008-03-12,4.930000,5.170000,4.930000,5.150000,5.150000,24600
2008-03-13,5.200000,5.400000,5.110000,5.330000,5.330000,95600
2008-03-14,5.240000,5.330000,5.120000,5.190000,5.190000,34500
2008-03-17,5.270000,5.380000,5.100000,5.250000,5.250000,128600
2008-03-18,5.250000,5.330000,5.010000,5.180000,5.180000,70300
2008-03-19,5.100000,5.170000,4.860000,4.970000,4.970000,59500
2008-03-20,4.880000,4.880000,4.520000,4.680000,4.680000,73800
2008-03-24,4.580000,4.900000,4.580000,4.860000,4.860000,32600
2008-03-25,4.940000,5.180000,4.940000,5.010000,5.010000,54100
2008-03-26,5.310000,5.310000,4.900000,4.900000,4.900000,79700
2008-03-27,4.800000,5.290000,4.800000,4.940000,4.940000,44900
2008-03-28,4.940000,5.000000,4.800000,4.820000,4.820000,25400
2008-03-31,4.820000,4.940000,4.650000,4.800000,4.800000,25900
2008-04-01,4.690000,4.780000,4.500000,4.750000,4.750000,42700
2008-04-02,4.700000,5.500000,4.700000,5.400000,5.400000,42500
2008-04-03,5.460000,5.760000,5.370000,5.510000,5.510000,82800
2008-04-04,5.610000,5.700000,5.400000,5.680000,5.680000,19100
2008-04-07,5.520000,5.650000,5.350000,5.350000,5.350000,33500
2008-04-08,5.300000,5.300000,5.030000,5.120000,5.120000,38900
2008-04-09,5.150000,5.200000,4.920000,5.170000,5.170000,54300
2008-04-10,5.150000,5.230000,5.050000,5.110000,5.110000,14600
2008-04-11,5.110000,5.110000,4.900000,4.910000,4.910000,37600
2008-04-14,5.040000,5.040000,4.800000,4.900000,4.900000,57700
2008-04-15,4.930000,4.950000,4.810000,4.950000,4.950000,28400
2008-04-16,5.040000,5.120000,4.980000,5.040000,5.040000,58500
2008-04-17,5.050000,5.100000,4.940000,5.040000,5.040000,24100
2008-04-18,5.060000,5.060000,4.900000,5.030000,5.030000,52000
2008-04-21,5.030000,5.090000,4.900000,4.960000,4.960000,38400
2008-04-22,4.850000,4.950000,4.850000,4.910000,4.910000,26400
2008-04-23,4.880000,4.880000,4.280000,4.340000,4.340000,124700
2008-04-24,4.170000,4.250000,4.060000,4.120000,4.120000,69900
2008-04-25,4.190000,4.190000,4.010000,4.150000,4.150000,50800
2008-04-28,4.100000,4.250000,3.370000,3.710000,3.710000,413600
2008-04-29,3.650000,3.650000,3.300000,3.420000,3.420000,161900
2008-04-30,3.500000,3.770000,3.460000,3.680000,3.680000,104500
2008-05-01,3.640000,3.880000,3.520000,3.820000,3.820000,76100
2008-05-02,3.800000,4.320000,3.800000,4.240000,4.240000,118500
2008-05-05,4.250000,4.420000,4.230000,4.340000,4.340000,38300
2008-05-06,4.300000,4.320000,4.150000,4.280000,4.280000,32500
2008-05-07,4.210000,4.240000,3.950000,3.990000,3.990000,99500
2008-05-08,3.950000,3.980000,3.720000,3.950000,3.950000,128800
2008-05-09,3.960000,4.060000,3.860000,3.930000,3.930000,128300
2008-05-12,3.950000,3.950000,3.550000,3.680000,3.680000,108100
2008-05-13,3.700000,3.800000,3.550000,3.800000,3.800000,54000
2008-05-14,3.800000,3.990000,3.790000,3.830000,3.830000,104600
2008-05-15,3.880000,3.910000,3.840000,3.870000,3.870000,42400
2008-05-16,3.820000,3.950000,3.800000,3.880000,3.880000,52900
2008-05-19,3.600000,3.850000,3.360000,3.590000,3.590000,450200
2008-05-20,3.550000,3.650000,3.510000,3.570000,3.570000,249700
