Date,Open,High,Low,Close,Adj Close,Volume
2018-08-13,9.540000,9.550000,9.530000,9.540000,9.540000,1694700
2018-08-14,9.560000,9.580000,9.520000,9.520000,9.520000,427300
2018-08-15,9.540000,9.540000,9.530000,9.530000,9.530000,25100
2018-08-16,9.520000,9.520000,9.520000,9.520000,9.520000,266500
2018-08-17,9.540000,9.540000,9.530000,9.530000,9.530000,2500
2018-08-20,9.520000,9.540000,9.500000,9.520000,9.520000,29700
2018-08-21,9.530000,9.540000,9.530000,9.540000,9.540000,748500
2018-08-22,9.590000,9.590000,9.520000,9.540000,9.540000,649400
2018-08-23,9.540000,9.550000,9.520000,9.550000,9.550000,1104200
2018-08-24,9.570000,9.570000,9.540000,9.560000,9.560000,32100
2018-08-27,9.550000,9.560000,9.520000,9.560000,9.560000,1300
2018-08-28,9.590000,9.590000,9.550000,9.550000,9.550000,13700
2018-08-29,9.550000,9.560000,9.540000,9.560000,9.560000,80800
2018-08-30,9.560000,9.590000,9.530000,9.590000,9.590000,149600
2018-08-31,9.590000,9.590000,9.570000,9.590000,9.590000,2600
2018-09-04,9.500000,9.590000,9.500000,9.570000,9.570000,32700
2018-09-05,9.590000,9.590000,9.550000,9.570000,9.570000,34100
2018-09-06,9.580000,9.600000,9.550000,9.550000,9.550000,11500
2018-09-07,9.580000,9.580000,9.560000,9.580000,9.580000,170300
2018-09-10,9.580000,9.580000,9.580000,9.580000,9.580000,0
2018-09-11,9.580000,9.580000,9.580000,9.580000,9.580000,0
2018-09-12,9.560000,9.560000,9.540000,9.540000,9.540000,21100
2018-09-13,9.500000,9.550000,9.500000,9.550000,9.550000,15600
2018-09-14,9.550000,9.550000,9.520000,9.550000,9.550000,27900
2018-09-17,9.550000,9.560000,9.550000,9.550000,9.550000,18100
2018-09-18,9.550000,9.560000,9.550000,9.560000,9.560000,9000
2018-09-19,9.550000,9.560000,9.020000,9.560000,9.560000,31000
2018-09-20,9.560000,9.560000,9.550000,9.560000,9.560000,155400
2018-09-21,9.550000,9.550000,9.550000,9.550000,9.550000,2000
2018-09-24,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-09-25,9.550000,9.600000,9.550000,9.600000,9.600000,40500
2018-09-26,9.570000,9.570000,9.560000,9.570000,9.570000,33400
2018-09-27,9.570000,9.570000,9.530000,9.530000,9.530000,27300
2018-09-28,9.530000,9.530000,9.530000,9.530000,9.530000,0
2018-10-01,9.530000,9.530000,9.530000,9.530000,9.530000,0
2018-10-02,9.530000,9.530000,9.530000,9.530000,9.530000,0
2018-10-03,9.550000,9.580000,9.550000,9.550000,9.550000,38400
2018-10-04,9.540000,9.540000,9.540000,9.540000,9.540000,500
2018-10-05,9.550000,9.560000,9.550000,9.560000,9.560000,280200
2018-10-08,9.550000,9.560000,9.550000,9.560000,9.560000,19100
2018-10-09,9.560000,9.560000,9.560000,9.560000,9.560000,5800
2018-10-10,9.570000,9.570000,9.570000,9.570000,9.570000,27500
2018-10-11,9.560000,9.570000,9.550000,9.550000,9.550000,278400
2018-10-12,9.570000,9.570000,9.550000,9.550000,9.550000,4400
2018-10-15,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-10-16,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-10-17,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-10-18,9.570000,9.570000,9.570000,9.570000,9.570000,100
2018-10-19,9.570000,9.570000,9.570000,9.570000,9.570000,0
2018-10-22,9.570000,9.570000,9.570000,9.570000,9.570000,0
2018-10-23,9.570000,9.570000,9.570000,9.570000,9.570000,0
2018-10-24,9.560000,9.610000,9.500000,9.550000,9.550000,17000
2018-10-25,9.580000,9.580000,9.530000,9.530000,9.530000,1100
2018-10-26,9.570000,9.600000,9.570000,9.580000,9.580000,147800
2018-10-29,9.590000,9.610000,9.580000,9.600000,9.600000,134900
2018-10-30,9.600000,9.630000,9.600000,9.620000,9.620000,4900
2018-10-31,9.600000,9.600000,9.600000,9.600000,9.600000,400
2018-11-01,9.590000,9.600000,9.590000,9.590000,9.590000,2900
2018-11-02,9.590000,9.600000,9.590000,9.600000,9.600000,9500
2018-11-05,9.610000,9.620000,9.610000,9.620000,9.620000,18000
2018-11-06,9.610000,9.620000,9.610000,9.620000,9.620000,8000
2018-11-07,9.610000,9.610000,9.610000,9.610000,9.610000,500
2018-11-08,9.620000,9.630000,9.600000,9.610000,9.610000,4900
2018-11-09,9.610000,9.620000,9.600000,9.620000,9.620000,6200
2018-11-12,9.610000,9.640000,9.610000,9.640000,9.640000,60800
2018-11-13,9.640000,9.640000,9.640000,9.640000,9.640000,0
2018-11-14,9.610000,9.630000,9.610000,9.620000,9.620000,2200
2018-11-15,9.610000,9.620000,9.600000,9.620000,9.620000,2900
2018-11-16,9.620000,9.660000,9.620000,9.640000,9.640000,7700
2018-11-19,9.640000,9.660000,9.640000,9.660000,9.660000,139900
2018-11-20,9.660000,9.750000,9.650000,9.720000,9.720000,195400
2018-11-21,9.750000,9.750000,9.660000,9.730000,9.730000,15800
2018-11-23,9.750000,9.750000,9.750000,9.750000,9.750000,1100
2018-11-26,9.750000,9.800000,9.740000,9.780000,9.780000,3800
2018-11-27,9.780000,9.780000,9.780000,9.780000,9.780000,100
2018-11-28,9.720000,9.760000,9.710000,9.710000,9.710000,7600
2018-11-29,9.700000,9.730000,9.700000,9.720000,9.720000,404100
2018-11-30,9.690000,9.750000,9.690000,9.730000,9.730000,6500
2018-12-03,9.730000,9.750000,9.730000,9.740000,9.740000,13800
2018-12-04,9.740000,9.770000,9.730000,9.730000,9.730000,8000
2018-12-06,9.740000,9.760000,9.730000,9.730000,9.730000,4500
2018-12-07,9.730000,9.730000,9.730000,9.730000,9.730000,0
2018-12-10,9.730000,9.730000,9.730000,9.730000,9.730000,0
2018-12-11,9.740000,9.780000,9.740000,9.780000,9.780000,102500
2018-12-12,9.770000,9.800000,9.750000,9.750000,9.750000,113400
2018-12-13,9.750000,9.750000,9.750000,9.750000,9.750000,1000
2018-12-14,9.750000,9.750000,9.750000,9.750000,9.750000,400
2018-12-17,9.600000,9.600000,9.600000,9.600000,9.600000,1300
2018-12-18,9.750000,9.760000,9.700000,9.700000,9.700000,9700
2018-12-19,9.730000,9.760000,9.680000,9.680000,9.680000,39100
2018-12-20,9.660000,9.750000,9.650000,9.680000,9.680000,80700
2018-12-21,9.700000,9.790000,9.650000,9.650000,9.650000,26200
2018-12-24,9.680000,9.800000,9.680000,9.740000,9.740000,36800
2018-12-26,9.740000,9.800000,9.740000,9.760000,9.760000,174000
2018-12-27,9.750000,9.800000,9.750000,9.770000,9.770000,5000
2018-12-28,9.770000,9.770000,9.770000,9.770000,9.770000,0
2018-12-31,9.760000,9.760000,9.750000,9.750000,9.750000,4100
2019-01-02,9.820000,9.850000,9.750000,9.760000,9.760000,8400
2019-01-03,9.830000,9.840000,9.820000,9.820000,9.820000,1100
2019-01-04,9.800000,9.810000,9.760000,9.790000,9.790000,18400
2019-01-07,9.760000,9.800000,9.750000,9.800000,9.800000,1827800
2019-01-08,9.780000,9.820000,9.780000,9.820000,9.820000,473800
2019-01-09,9.800000,9.820000,9.790000,9.820000,9.820000,307200
2019-01-10,9.820000,9.820000,9.820000,9.820000,9.820000,0
2019-01-11,9.820000,9.890000,9.770000,9.850000,9.850000,314100
2019-01-14,9.850000,9.850000,9.850000,9.850000,9.850000,0
