Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,0.300000,0.305000,0.275000,0.277000,0.277000,518600
2019-11-05,0.280000,0.300000,0.280000,0.292000,0.292000,290400
2019-11-06,0.293000,0.300000,0.282000,0.290000,0.290000,322500
2019-11-07,0.300000,0.301000,0.271000,0.275000,0.275000,185200
2019-11-08,3.900000,4.050000,3.420000,3.600000,3.600000,62900
2019-11-11,3.600000,3.600000,3.000000,3.300000,3.300000,122500
2019-11-12,3.150000,3.600000,2.955000,3.450000,3.450000,118400
2019-11-13,4.125000,4.575000,3.450000,3.900000,3.900000,289200
2019-11-14,4.185000,4.575000,4.050000,4.575000,4.575000,96900
2019-11-15,4.580000,5.200000,4.470000,4.750000,4.750000,97000
2019-11-18,4.580000,5.612000,4.580000,5.110000,5.110000,155300
2019-11-19,4.889000,5.290000,4.884000,5.140000,5.140000,77800
2019-11-20,5.310000,5.432000,5.010000,5.100000,5.100000,126900
2019-11-21,5.290000,5.290000,4.580000,4.760000,4.760000,105600
2019-11-22,4.700000,4.970000,4.600000,4.660000,4.660000,37300
2019-11-25,4.650000,4.950000,4.610000,4.870000,4.870000,34100
2019-11-26,4.860000,5.100000,4.655000,4.980000,4.980000,43200
2019-11-27,5.090000,5.960000,5.070000,5.580000,5.580000,114900
2019-11-29,5.310000,5.850000,5.310000,5.660000,5.660000,29600
2019-12-02,5.740000,6.890000,5.712000,6.830000,6.830000,163300
2019-12-03,6.520000,7.850000,6.520000,6.750000,6.750000,98900
2019-12-04,6.990000,7.470000,6.810000,7.170000,7.170000,50300
2019-12-05,7.170000,7.180000,6.754000,6.770000,6.770000,32200
2019-12-06,6.770000,7.680000,6.770000,7.520000,7.520000,83100
2019-12-09,7.530000,9.850000,7.530000,9.100000,9.100000,186600
2019-12-10,9.120000,9.980000,9.120000,9.350000,9.350000,75400
2019-12-11,9.660000,9.900000,9.380000,9.440000,9.440000,125600
2019-12-12,9.420000,9.420000,8.160000,8.410000,8.410000,70300
2019-12-13,8.310000,8.400000,8.100000,8.240000,8.240000,26800
2019-12-16,8.240000,8.240000,7.070000,7.400000,7.400000,104000
2019-12-17,7.200000,8.149000,6.860000,7.510000,7.510000,44900
2019-12-18,7.320000,7.570000,7.220000,7.300000,7.300000,45700
2019-12-19,7.270000,7.530000,7.240000,7.240000,7.240000,24100
2019-12-20,7.380000,7.590000,7.250000,7.290000,7.290000,44100
2019-12-23,7.260000,7.312000,6.830000,7.050000,7.050000,41700
2019-12-24,7.070000,7.118000,7.011000,7.030000,7.030000,10200
2019-12-26,7.000000,7.310000,6.800000,6.800000,6.800000,38400
2019-12-27,6.820000,6.988000,6.750000,6.750000,6.750000,16700
2019-12-30,6.710000,7.432000,6.700000,7.200000,7.200000,30900
2019-12-31,7.180000,7.650000,6.990000,7.580000,7.580000,70200
2020-01-02,7.660000,8.440000,7.520000,8.160000,8.160000,81500
2020-01-03,7.870000,8.190000,7.405000,7.590000,7.590000,63400
2020-01-06,7.600000,7.940000,7.600000,7.760000,7.760000,23700
2020-01-07,7.750000,8.708000,6.520000,6.677000,6.677000,156000
2020-01-08,6.850000,7.300000,6.600000,6.610000,6.610000,50300
2020-01-09,6.600000,6.730000,5.967000,6.560000,6.560000,88600
2020-01-10,6.520000,7.164000,6.400000,6.750000,6.750000,77000
2020-01-13,6.940000,7.149000,6.460000,6.690000,6.690000,75900
2020-01-14,6.690000,6.890000,6.460000,6.690000,6.690000,46400
2020-01-15,6.750000,7.080000,6.580000,7.080000,7.080000,65800
2020-01-16,7.170000,7.240000,6.730000,6.950000,6.950000,72000
2020-01-17,6.990000,7.480000,6.820000,7.050000,7.050000,103300
2020-01-21,7.040000,7.180000,6.303000,7.060000,7.060000,64000
2020-01-22,7.110000,7.360000,6.890000,7.360000,7.360000,36200
2020-01-23,7.260000,8.040000,7.010000,7.400000,7.400000,45600
2020-01-24,7.680000,7.680000,7.220000,7.540000,7.540000,20800
2020-01-27,7.250000,7.250000,6.600000,6.850000,6.850000,36200
2020-01-28,6.930000,8.000000,6.780000,7.130000,7.130000,13800
2020-01-29,7.250000,7.250000,6.820000,6.960000,6.960000,8000
2020-01-30,7.316000,7.316000,6.400000,6.805000,6.805000,33700
2020-01-31,6.573000,6.798000,6.300000,6.590000,6.590000,25900
2020-02-03,6.680000,6.740000,6.250000,6.650000,6.650000,24500
2020-02-04,6.690000,6.700000,6.260000,6.510000,6.510000,12700
2020-02-05,6.700000,6.950000,6.530000,6.950000,6.950000,7300
2020-02-06,6.940000,6.955000,6.610000,6.930000,6.930000,15700
2020-02-07,6.890000,6.930000,6.650000,6.930000,6.930000,2100
2020-02-10,6.780000,6.800000,6.400000,6.400000,6.400000,7600
2020-02-11,6.600000,6.750000,6.467000,6.630000,6.630000,6600
2020-02-12,6.500000,6.700000,6.500000,6.510000,6.510000,4500
2020-02-13,6.500000,6.550000,6.500000,6.550000,6.550000,1600
