Date,Open,High,Low,Close,Adj Close,Volume
1996-04-03,5.000000,5.625000,4.500000,5.000000,5.000000,1015200
1996-04-04,5.125000,5.125000,4.375000,4.625000,4.625000,185600
1996-04-08,4.500000,4.750000,4.250000,4.500000,4.500000,147100
1996-04-09,4.500000,4.750000,4.500000,4.500000,4.500000,131200
1996-04-10,4.703125,4.703125,4.125000,4.375000,4.375000,55300
1996-04-11,4.500000,4.500000,4.125000,4.125000,4.125000,95600
1996-04-12,4.125000,4.125000,3.875000,3.875000,3.875000,46600
1996-04-15,3.875000,4.125000,3.750000,3.750000,3.750000,26000
1996-04-16,3.750000,4.125000,3.250000,4.000000,4.000000,203700
1996-04-17,4.000000,4.250000,4.000000,4.125000,4.125000,159700
1996-04-18,4.125000,4.375000,4.000000,4.000000,4.000000,24700
1996-04-19,4.375000,4.375000,3.875000,3.937500,3.937500,27600
1996-04-22,4.250000,4.250000,3.875000,4.125000,4.125000,148800
1996-04-23,3.875000,4.000000,3.875000,3.875000,3.875000,49000
1996-04-24,3.875000,4.062500,3.875000,3.937500,3.937500,4600
1996-04-25,3.875000,3.875000,3.875000,3.875000,3.875000,32100
1996-04-26,3.875000,4.125000,3.875000,4.125000,4.125000,33700
1996-04-29,4.125000,4.125000,3.875000,3.875000,3.875000,13800
1996-04-30,3.875000,4.203125,3.875000,4.062500,4.062500,102400
1996-05-01,4.125000,4.250000,4.000000,4.000000,4.000000,85400
1996-05-02,4.000000,4.125000,3.968750,3.968750,3.968750,42600
1996-05-03,4.000000,4.125000,4.000000,4.000000,4.000000,14100
1996-05-06,4.000000,4.203125,4.000000,4.000000,4.000000,29400
1996-05-07,4.203125,4.203125,4.000000,4.125000,4.125000,146000
1996-05-08,4.125000,4.250000,4.125000,4.125000,4.125000,29500
1996-05-09,4.125000,4.375000,4.125000,4.125000,4.125000,12200
1996-05-10,4.125000,4.375000,4.125000,4.125000,4.125000,12500
1996-05-13,4.125000,4.437500,4.125000,4.437500,4.437500,203700
1996-05-14,4.500000,4.500000,4.375000,4.375000,4.375000,176700
1996-05-15,4.375000,4.500000,4.375000,4.375000,4.375000,150100
1996-05-16,4.375000,4.750000,4.375000,4.625000,4.625000,218900
1996-05-17,4.625000,4.750000,4.500000,4.500000,4.500000,93900
1996-05-20,4.500000,4.500000,4.125000,4.500000,4.500000,116500
1996-05-21,4.250000,4.500000,4.125000,4.125000,4.125000,65900
1996-05-22,4.125000,4.375000,4.000000,4.000000,4.000000,78900
1996-05-23,4.000000,4.250000,4.000000,4.203125,4.203125,54900
1996-05-24,4.000000,4.375000,4.000000,4.250000,4.250000,52100
1996-05-28,4.203125,4.453125,4.000000,4.125000,4.125000,70900
1996-05-29,4.125000,5.000000,4.125000,4.312500,4.312500,105000
1996-05-30,4.500000,4.625000,4.250000,4.250000,4.250000,19600
1996-05-31,4.250000,4.500000,4.125000,4.125000,4.125000,56700
1996-06-03,4.125000,4.125000,3.875000,3.875000,3.875000,13800
1996-06-04,3.750000,4.062500,3.750000,4.000000,4.000000,11600
1996-06-05,3.875000,4.125000,3.500000,3.875000,3.875000,86200
1996-06-06,3.875000,4.125000,3.875000,3.875000,3.875000,36600
1996-06-07,3.875000,3.875000,3.625000,3.875000,3.875000,56700
1996-06-10,3.750000,3.875000,3.750000,3.750000,3.750000,43000
1996-06-11,3.875000,4.125000,3.750000,4.000000,4.000000,37700
1996-06-12,4.000000,4.312500,4.000000,4.000000,4.000000,42500
1996-06-13,4.000000,4.250000,4.000000,4.000000,4.000000,15900
1996-06-14,4.000000,4.250000,3.875000,3.875000,3.875000,20800
1996-06-17,4.000000,4.203125,3.875000,4.000000,4.000000,43700
1996-06-18,4.000000,4.250000,4.000000,4.000000,4.000000,93300
1996-06-19,4.125000,4.125000,4.000000,4.000000,4.000000,11500
1996-06-20,4.000000,4.250000,4.000000,4.250000,4.250000,44700
1996-06-21,4.000000,4.203125,4.000000,4.000000,4.000000,69000
1996-06-24,4.000000,4.000000,4.000000,4.000000,4.000000,32900
1996-06-25,4.000000,4.250000,4.000000,4.125000,4.125000,204300
1996-06-26,4.203125,4.250000,4.000000,4.000000,4.000000,40500
1996-06-27,4.203125,4.250000,3.875000,3.875000,3.875000,59300
1996-06-28,3.875000,3.875000,3.875000,3.875000,3.875000,17000
1996-07-01,3.875000,4.125000,3.750000,4.125000,4.125000,38400
1996-07-02,3.750000,3.750000,3.625000,3.625000,3.625000,25000
1996-07-03,3.625000,3.750000,3.625000,3.625000,3.625000,25900
1996-07-05,3.750000,3.875000,3.750000,3.750000,3.750000,18400
1996-07-08,3.875000,3.875000,3.375000,3.375000,3.375000,29600
1996-07-09,3.500000,3.500000,3.375000,3.500000,3.500000,38800
1996-07-10,3.375000,3.375000,3.250000,3.250000,3.250000,9100
1996-07-11,3.250000,3.250000,2.750000,3.250000,3.250000,113800
1996-07-12,3.125000,3.250000,3.125000,3.125000,3.125000,21000
1996-07-15,3.187500,3.250000,2.875000,3.000000,3.000000,105100
1996-07-16,3.000000,3.125000,2.875000,3.125000,3.125000,23700
1996-07-17,3.125000,3.281250,3.000000,3.281250,3.281250,22300
1996-07-18,3.125000,3.125000,3.000000,3.000000,3.000000,30500
1996-07-19,2.875000,2.875000,2.812500,2.875000,2.875000,13200
1996-07-22,2.750000,2.750000,2.750000,2.750000,2.750000,9400
1996-07-23,2.750000,2.875000,2.625000,2.625000,2.625000,20100
1996-07-24,2.625000,2.875000,2.453125,2.453125,2.453125,22000
1996-07-25,2.750000,2.750000,2.375000,2.562500,2.562500,7100
1996-07-26,2.375000,2.375000,2.250000,2.250000,2.250000,13000
1996-07-29,2.250000,2.500000,2.000000,2.312500,2.312500,39200
1996-07-30,2.250000,2.375000,1.843750,1.937500,1.937500,47600
1996-07-31,2.000000,2.125000,2.000000,2.125000,2.125000,13500
1996-08-01,2.125000,2.125000,2.000000,2.125000,2.125000,28200
1996-08-02,2.125000,2.250000,2.125000,2.250000,2.250000,46600
1996-08-05,2.250000,2.250000,2.125000,2.125000,2.125000,33000
1996-08-06,2.250000,2.625000,2.125000,2.500000,2.500000,32000
1996-08-07,2.500000,2.625000,2.500000,2.562500,2.562500,41700
1996-08-08,2.593750,2.750000,2.562500,2.750000,2.750000,54700
1996-08-09,2.750000,2.750000,2.625000,2.750000,2.750000,58800
1996-08-12,2.875000,3.187500,2.875000,3.125000,3.125000,48700
1996-08-13,3.125000,3.250000,3.125000,3.125000,3.125000,21500
1996-08-14,3.000000,3.000000,2.750000,2.750000,2.750000,36000
1996-08-15,2.875000,2.875000,2.750000,2.875000,2.875000,15000
1996-08-16,2.875000,2.875000,2.875000,2.875000,2.875000,2000
1996-08-19,2.750000,2.875000,2.750000,2.875000,2.875000,15000
1996-08-20,2.625000,2.625000,2.625000,2.625000,2.625000,1000
1996-08-21,2.875000,2.875000,2.750000,2.750000,2.750000,19300
1996-08-22,3.000000,3.000000,2.750000,3.000000,3.000000,46100
1996-08-23,2.875000,3.000000,2.875000,3.000000,3.000000,30000
1996-08-26,2.875000,2.875000,2.875000,2.875000,2.875000,10000
1996-08-27,2.875000,2.875000,2.875000,2.875000,2.875000,3500
1996-08-28,2.875000,2.875000,2.750000,2.750000,2.750000,10600
1996-08-29,2.750000,2.750000,2.750000,2.750000,2.750000,0
1996-08-30,2.625000,2.625000,2.625000,2.625000,2.625000,7000
1996-09-03,2.500000,2.625000,2.375000,2.375000,2.375000,47500
1996-09-04,2.250000,2.375000,2.250000,2.375000,2.375000,3400
1996-09-05,2.375000,2.625000,2.375000,2.625000,2.625000,23200
1996-09-06,2.500000,3.000000,2.500000,2.875000,2.875000,54800
1996-09-09,3.000000,3.500000,3.000000,3.250000,3.250000,48800
1996-09-10,3.500000,3.500000,3.250000,3.250000,3.250000,24300
1996-09-11,3.250000,3.500000,3.125000,3.250000,3.250000,44400
1996-09-12,3.125000,3.125000,2.875000,2.875000,2.875000,20800
1996-09-13,3.000000,3.125000,3.000000,3.000000,3.000000,66300
1996-09-16,3.125000,3.125000,3.000000,3.000000,3.000000,16800
1996-09-17,3.000000,3.125000,2.875000,2.937500,2.937500,26900
1996-09-18,2.875000,2.875000,2.875000,2.875000,2.875000,6200
1996-09-19,3.000000,3.125000,2.875000,3.125000,3.125000,67200
