Date,Open,High,Low,Close,Adj Close,Volume
1991-07-16,5.125000,5.625000,5.125000,5.500000,5.500000,1869200
1991-07-17,5.625000,5.625000,5.375000,5.375000,5.375000,104800
1991-07-18,5.375000,5.625000,5.375000,5.500000,5.500000,266200
1991-07-19,5.625000,5.625000,5.250000,5.375000,5.375000,224800
1991-07-22,5.500000,5.500000,5.187500,5.375000,5.375000,395200
1991-07-23,5.250000,5.250000,4.875000,5.000000,5.000000,87800
1991-07-24,4.875000,5.000000,4.875000,5.000000,5.000000,117000
1991-07-25,5.000000,5.125000,5.000000,5.125000,5.125000,11000
1991-07-26,5.125000,5.250000,5.125000,5.187500,5.187500,7000
1991-07-29,5.250000,5.250000,4.937500,4.937500,4.937500,43400
1991-07-30,5.125000,5.125000,4.875000,4.875000,4.875000,13000
1991-07-31,4.875000,5.000000,4.562500,4.625000,4.625000,493000
1991-08-01,4.625000,4.875000,4.562500,4.875000,4.875000,219000
1991-08-02,4.625000,4.625000,4.625000,4.625000,4.625000,30200
1991-08-05,4.875000,4.875000,4.750000,4.750000,4.750000,24000
1991-08-06,4.750000,4.875000,4.625000,4.625000,4.625000,402800
1991-08-07,4.875000,4.875000,4.875000,4.875000,4.875000,1000
1991-08-08,4.875000,4.875000,4.875000,4.875000,4.875000,800
1991-08-09,4.750000,4.750000,4.625000,4.625000,4.625000,29200
1991-08-12,4.625000,4.625000,4.625000,4.625000,4.625000,16000
1991-08-13,4.750000,4.875000,4.750000,4.875000,4.875000,4400
1991-08-14,4.687500,4.687500,4.687500,4.687500,4.687500,2000
1991-08-15,4.875000,4.875000,4.625000,4.812500,4.812500,286000
1991-08-16,4.812500,4.812500,4.812500,4.812500,4.812500,2000
1991-08-19,4.500000,4.625000,4.375000,4.625000,4.625000,41800
1991-08-20,4.500000,4.500000,4.250000,4.250000,4.250000,58200
1991-08-21,4.500000,5.000000,4.375000,5.000000,5.000000,285400
1991-08-22,5.000000,5.750000,5.000000,5.500000,5.500000,323600
1991-08-23,5.750000,6.625000,5.625000,6.625000,6.625000,369800
1991-08-26,6.625000,7.500000,6.250000,7.250000,7.250000,303400
