Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,6.100000,7.050000,6.080000,7.000000,7.000000,198200
2004-06-02,6.500000,9.500000,6.400000,7.210000,7.210000,572200
2004-06-03,7.390000,8.000000,7.300000,7.460000,7.460000,248500
2004-06-04,7.300000,7.900000,7.200000,7.680000,7.680000,186600
2004-06-07,8.170000,8.550000,7.500000,7.770000,7.770000,131800
2004-06-08,8.000000,8.230000,7.900000,8.060000,8.060000,81400
2004-06-09,8.640000,8.750000,8.140000,8.260000,8.260000,133700
2004-06-10,8.500000,8.500000,7.780000,7.900000,7.900000,113800
2004-06-14,8.300000,8.360000,7.700000,7.760000,7.760000,31000
2004-06-15,7.690000,8.000000,7.020000,7.220000,7.220000,172900
2004-06-16,7.010000,7.200000,6.450000,6.620000,6.620000,113900
2004-06-17,6.700000,6.700000,6.030000,6.120000,6.120000,149700
2004-06-18,6.250000,6.450000,6.100000,6.230000,6.230000,30400
2004-06-21,6.400000,6.810000,5.500000,5.900000,5.900000,49800
2004-06-22,5.320000,6.030000,5.260000,5.910000,5.910000,33600
2004-06-23,6.050000,6.050000,5.800000,6.000000,6.000000,28100
2004-06-24,6.000000,6.750000,5.900000,6.550000,6.550000,39000
2004-06-25,6.480000,7.540000,6.340000,7.350000,7.350000,45700
2004-06-28,7.500000,7.500000,6.900000,7.210000,7.210000,14100
2004-06-29,6.900000,7.400000,6.900000,7.100000,7.100000,50600
2004-06-30,7.400000,8.220000,7.370000,7.560000,7.560000,159200
2004-07-01,7.500000,8.000000,7.010000,7.010000,7.010000,50600
2004-07-02,7.090000,7.090000,6.780000,7.000000,7.000000,14300
2004-07-06,7.700000,7.700000,7.000000,7.170000,7.170000,9900
2004-07-07,7.590000,7.590000,7.130000,7.130000,7.130000,9300
2004-07-08,7.250000,7.290000,6.860000,6.930000,6.930000,7400
2004-07-09,7.160000,7.160000,6.930000,6.980000,6.980000,8500
2004-07-12,7.150000,7.400000,7.000000,7.240000,7.240000,12900
2004-07-13,7.350000,7.350000,6.850000,7.000000,7.000000,8800
2004-07-14,7.000000,7.050000,6.510000,6.660000,6.660000,25100
2004-07-15,6.790000,7.000000,6.790000,6.980000,6.980000,13500
2004-07-16,7.300000,7.300000,6.860000,7.000000,7.000000,34600
2004-07-19,6.900000,6.900000,6.500000,6.500000,6.500000,5500
2004-07-20,6.510000,6.510000,6.100000,6.160000,6.160000,22500
2004-07-21,6.200000,6.380000,6.010000,6.050000,6.050000,12200
2004-07-22,6.140000,6.140000,5.700000,5.850000,5.850000,100300
2004-07-23,5.900000,5.900000,5.500000,5.790000,5.790000,41600
2004-07-26,5.750000,5.800000,5.450000,5.700000,5.700000,109200
2004-07-27,5.700000,5.750000,5.090000,5.200000,5.200000,51100
2004-07-28,5.480000,5.600000,5.190000,5.250000,5.250000,18600
2004-07-29,5.650000,5.650000,5.110000,5.300000,5.300000,4400
2004-07-30,5.290000,5.290000,5.060000,5.150000,5.150000,27900
2004-08-02,5.900000,6.500000,5.060000,5.550000,5.550000,15200
2004-08-03,5.100000,5.600000,5.100000,5.350000,5.350000,13400
