Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,9.900000,9.900000,9.900000,9.900000,9.900000,0
2008-06-26,9.800000,10.400000,9.700000,9.800000,9.800000,2000
2008-06-27,10.000000,10.000000,8.400000,10.000000,10.000000,2100
2008-06-30,9.800000,10.000000,9.100000,9.800000,9.800000,4400
2008-07-01,9.800000,9.800000,9.800000,9.800000,9.800000,0
2008-07-02,10.000000,10.000000,9.400000,10.000000,10.000000,1900
2008-07-03,9.800000,9.800000,9.200000,9.800000,9.800000,1000
2008-07-07,9.700000,9.800000,9.300000,9.700000,9.700000,2800
2008-07-08,9.200000,9.700000,9.200000,9.200000,9.200000,3100
2008-07-09,9.600000,9.700000,9.400000,9.600000,9.600000,2500
2008-07-10,8.900000,9.600000,8.400000,8.900000,8.900000,10800
2008-07-11,9.000000,9.000000,8.500000,9.000000,9.000000,5400
2008-07-14,9.000000,9.200000,8.500000,9.000000,9.000000,3000
2008-07-15,8.800000,9.600000,8.500000,8.800000,8.800000,2200
2008-07-16,7.700000,8.600000,7.600000,7.700000,7.700000,3100
2008-07-17,8.000000,8.400000,7.700000,8.000000,8.000000,6600
2008-07-18,9.500000,9.600000,7.800000,9.500000,9.500000,20900
2008-07-21,9.200000,10.000000,8.300000,9.200000,9.200000,5900
2008-07-22,8.000000,9.300000,8.000000,8.000000,8.000000,1700
2008-07-23,8.000000,8.000000,7.800000,8.000000,8.000000,4000
2008-07-24,7.600000,7.900000,7.400000,7.600000,7.600000,4200
2008-07-25,7.300000,7.600000,6.800000,7.300000,7.300000,5500
2008-07-28,7.500000,7.600000,7.400000,7.500000,7.500000,1300
2008-07-29,7.400000,7.500000,7.200000,7.400000,7.400000,1300
2008-07-30,7.200000,7.300000,7.000000,7.200000,7.200000,1800
2008-07-31,8.100000,8.200000,7.300000,8.100000,8.100000,4000
2008-08-01,7.800000,8.000000,7.800000,7.800000,7.800000,700
2008-08-04,7.800000,7.800000,7.800000,7.800000,7.800000,0
2008-08-05,7.400000,7.700000,6.700000,7.400000,7.400000,3400
2008-08-06,7.500000,8.000000,7.400000,7.500000,7.500000,2100
