Date,Open,High,Low,Close,Adj Close,Volume
2015-06-17,66.000000,71.360001,59.000000,59.680000,59.680000,1267800
2015-06-18,61.520000,61.520000,58.959999,59.000000,59.000000,127000
2015-06-19,57.919998,60.360001,56.279999,59.000000,59.000000,58000
2015-06-22,60.000000,60.000000,58.799999,59.520000,59.520000,33700
2015-06-23,59.279999,60.000000,58.680000,59.480000,59.480000,15100
2015-06-24,60.000000,60.000000,58.959999,59.119999,59.119999,14100
2015-06-25,59.320000,59.639999,57.439999,59.279999,59.279999,13100
2015-06-26,59.799999,60.000000,59.119999,59.959999,59.959999,24100
2015-06-29,59.599998,60.000000,58.119999,60.000000,60.000000,4600
2015-06-30,59.759998,61.180000,59.000000,60.599998,60.599998,54000
2015-07-01,61.480000,63.840000,60.759998,63.759998,63.759998,27100
2015-07-02,63.639999,65.040001,61.400002,64.360001,64.360001,46000
2015-07-06,64.239998,64.239998,62.216000,63.919998,63.919998,28200
2015-07-07,63.160000,64.639999,63.040001,63.919998,63.919998,11600
2015-07-08,63.119999,64.720001,62.480000,63.439999,63.439999,56600
2015-07-09,63.160000,64.000000,63.040001,63.959999,63.959999,14000
2015-07-10,63.520000,67.199997,63.520000,66.400002,66.400002,22600
2015-07-13,67.480003,71.959999,64.599998,65.639999,65.639999,63800
2015-07-14,65.360001,67.519997,64.360001,66.400002,66.400002,7500
2015-07-15,66.400002,67.400002,65.040001,65.959999,65.959999,17700
2015-07-16,66.879997,70.599998,65.552002,69.959999,69.959999,32000
2015-07-17,70.199997,76.800003,70.047997,76.040001,76.040001,66400
2015-07-20,77.320000,78.400002,71.000000,72.480003,72.480003,41700
2015-07-21,73.000000,74.919998,70.120003,72.559998,72.559998,59000
2015-07-22,72.519997,73.800003,72.000000,73.440002,73.440002,28900
2015-07-23,73.720001,74.919998,70.160004,71.000000,71.000000,61600
2015-07-24,71.239998,72.760002,66.096001,72.400002,72.400002,58900
2015-07-27,69.080002,72.879997,69.080002,72.800003,72.800003,25500
2015-07-28,72.879997,72.879997,70.559998,71.440002,71.440002,26100
2015-07-29,71.279999,74.080002,70.559998,71.239998,71.239998,34700
2015-07-30,71.239998,72.720001,68.480003,69.599998,69.599998,20600
2015-07-31,69.360001,71.040001,67.199997,67.879997,67.879997,14400
2015-08-03,67.959999,67.959999,66.519997,66.879997,66.879997,14900
2015-08-04,66.800003,71.120003,66.800003,69.199997,69.199997,32300
2015-08-05,70.559998,71.440002,68.639999,70.760002,70.760002,25500
