Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,9.790000,9.800000,9.790000,9.790000,9.790000,163000
2019-08-21,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-08-22,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-08-23,9.770000,9.770000,9.770000,9.770000,9.770000,200
2019-08-26,9.780000,9.780000,9.770000,9.770000,9.770000,50000
2019-08-27,9.780000,9.780000,9.780000,9.780000,9.780000,7000
2019-08-28,9.770000,9.800000,9.770000,9.800000,9.800000,204600
2019-08-29,9.800000,9.800000,9.800000,9.800000,9.800000,80000
2019-08-30,9.810000,9.830000,9.810000,9.830000,9.830000,25000
2019-09-03,9.820000,9.820000,9.820000,9.820000,9.820000,1000
2019-09-04,9.820000,9.820000,9.820000,9.820000,9.820000,0
2019-09-05,9.810000,9.850000,9.810000,9.850000,9.850000,70100
2019-09-06,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-09,9.830000,9.830000,9.830000,9.830000,9.830000,10000
2019-09-10,9.830000,9.980000,9.810000,9.980000,9.980000,223200
2019-09-11,9.850000,9.890000,9.850000,9.890000,9.890000,9800
2019-09-12,9.920000,9.920000,9.920000,9.920000,9.920000,400
2019-09-13,9.870000,9.890000,9.870000,9.880000,9.880000,9700
2019-09-16,9.830000,9.900000,9.830000,9.890000,9.890000,4200
2019-09-17,9.900000,9.940000,9.875000,9.940000,9.940000,3600
2019-09-18,9.830000,9.920000,9.830000,9.900000,9.900000,10300
2019-09-19,9.920000,9.920000,9.920000,9.920000,9.920000,100
2019-09-20,9.920000,9.920000,9.920000,9.920000,9.920000,100
2019-09-23,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-09-24,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-09-25,9.910000,9.920000,9.910000,9.920000,9.920000,214900
2019-09-26,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-09-27,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-09-30,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-01,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-02,9.920000,9.920000,9.920000,9.920000,9.920000,100
2019-10-03,9.930000,9.950000,9.920000,9.920000,9.920000,400
2019-10-04,9.920000,9.920000,9.920000,9.920000,9.920000,10000
2019-10-07,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-08,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-09,9.820000,9.900000,9.820000,9.900000,9.900000,300
2019-10-10,9.860000,9.860000,9.850000,9.850000,9.850000,4800
2019-10-11,9.870000,9.870000,9.870000,9.870000,9.870000,100
2019-10-14,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-10-15,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-10-16,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-10-17,9.820000,9.910000,9.820000,9.910000,9.910000,3100
2019-10-18,9.910000,9.910000,9.910000,9.910000,9.910000,0
2019-10-21,9.820000,9.910000,9.820000,9.860000,9.860000,54100
2019-10-22,9.820000,9.875000,9.820000,9.860000,9.860000,5800
2019-10-23,9.850000,9.860000,9.850000,9.860000,9.860000,25300
2019-10-24,9.910000,9.950000,9.900000,9.900000,9.900000,421800
2019-10-25,9.860000,9.920000,9.860000,9.920000,9.920000,50100
2019-10-28,9.890000,9.890000,9.880000,9.880000,9.880000,2300
2019-10-29,9.880000,9.880000,9.870000,9.870000,9.870000,290900
2019-10-30,9.890000,9.890000,9.880000,9.880000,9.880000,11500
2019-10-31,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-11-01,9.880000,9.880000,9.880000,9.880000,9.880000,50000
2019-11-04,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-11-05,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-11-06,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-11-07,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-11-08,null,null,null,null,null,null
2019-11-11,null,null,null,null,null,null
2019-11-12,null,null,null,null,null,null
2019-11-13,null,null,null,null,null,null
2019-11-14,null,null,null,null,null,null
2019-11-15,null,null,null,null,null,null
2019-11-18,null,null,null,null,null,null
2019-11-19,null,null,null,null,null,null
2019-11-20,null,null,null,null,null,null
2019-11-21,null,null,null,null,null,null
2019-11-22,null,null,null,null,null,null
2019-11-25,null,null,null,null,null,null
2019-11-26,null,null,null,null,null,null
2019-11-27,null,null,null,null,null,null
2019-11-29,null,null,null,null,null,null
2019-12-02,null,null,null,null,null,null
2019-12-03,null,null,null,null,null,null
2019-12-04,null,null,null,null,null,null
2019-12-05,null,null,null,null,null,null
2019-12-06,null,null,null,null,null,null
2019-12-09,null,null,null,null,null,null
2019-12-10,null,null,null,null,null,null
2019-12-11,null,null,null,null,null,null
2019-12-12,null,null,null,null,null,null
2019-12-13,null,null,null,null,null,null
2019-12-16,null,null,null,null,null,null
2019-12-17,null,null,null,null,null,null
2019-12-18,null,null,null,null,null,null
2019-12-19,null,null,null,null,null,null
2019-12-20,null,null,null,null,null,null
2019-12-23,null,null,null,null,null,null
2019-12-24,null,null,null,null,null,null
2019-12-26,null,null,null,null,null,null
2019-12-27,null,null,null,null,null,null
2019-12-30,null,null,null,null,null,null
2019-12-31,null,null,null,null,null,null
2020-01-02,null,null,null,null,null,null
2020-01-03,null,null,null,null,null,null
2020-01-06,null,null,null,null,null,null
2020-01-07,null,null,null,null,null,null
2020-01-08,null,null,null,null,null,null
2020-01-09,null,null,null,null,null,null
2020-01-10,null,null,null,null,null,null
2020-01-13,null,null,null,null,null,null
2020-01-14,null,null,null,null,null,null
2020-01-15,null,null,null,null,null,null
2020-01-16,null,null,null,null,null,null
2020-01-17,null,null,null,null,null,null
2020-01-21,null,null,null,null,null,null
2020-01-22,null,null,null,null,null,null
2020-01-23,null,null,null,null,null,null
2020-01-24,null,null,null,null,null,null
2020-01-27,null,null,null,null,null,null
2020-01-28,null,null,null,null,null,null
2020-01-29,null,null,null,null,null,null
2020-01-30,null,null,null,null,null,null
2020-01-31,null,null,null,null,null,null
2020-02-03,null,null,null,null,null,null
2020-02-04,null,null,null,null,null,null
2020-02-05,null,null,null,null,null,null
2020-02-06,null,null,null,null,null,null
2020-02-07,null,null,null,null,null,null
2020-02-10,null,null,null,null,null,null
2020-02-11,null,null,null,null,null,null
2020-02-12,null,null,null,null,null,null
2020-02-13,null,null,null,null,null,null
2020-02-14,null,null,null,null,null,null
2020-02-18,10.500000,10.800000,10.450000,10.499000,10.499000,216600
2020-02-19,10.590000,10.685000,10.500000,10.600000,10.600000,298700
2020-02-20,10.570000,10.600000,10.430000,10.450000,10.450000,579400
2020-02-21,10.440000,10.473000,10.250000,10.350000,10.350000,270600
2020-02-24,10.260000,10.260000,9.360000,9.510000,9.510000,484500
2020-02-25,9.700000,9.700000,9.160000,9.320000,9.320000,625100
2020-02-26,9.340000,9.460000,9.100000,9.410000,9.410000,198400
2020-02-27,9.280000,9.360000,8.850000,9.240000,9.240000,528400
2020-02-28,9.190000,9.190000,8.760000,8.810000,8.810000,221200
2020-03-02,8.760000,8.790000,8.600000,8.710000,8.710000,277000
2020-03-03,8.700000,8.700000,8.340000,8.450000,8.450000,368300
2020-03-04,8.670000,8.960000,8.600000,8.840000,8.840000,210000
2020-03-05,8.850000,8.850000,8.550000,8.660000,8.660000,91300
2020-03-06,8.450000,8.730000,8.400000,8.730000,8.730000,163900
2020-03-09,8.390000,8.470000,7.830000,8.000000,8.000000,258100
2020-03-10,8.100000,8.416000,8.030000,8.180000,8.180000,125600
2020-03-11,8.020000,8.100000,7.250000,7.350000,7.350000,178500
2020-03-12,7.050000,7.050000,5.850000,5.860000,5.860000,402700
2020-03-13,6.010000,6.330000,5.530000,5.640000,5.640000,219200
2020-03-16,5.190000,5.585000,4.420000,4.510000,4.510000,367900
2020-03-17,4.520000,4.755000,4.170000,4.390000,4.390000,461300
2020-03-18,4.270000,4.400000,3.680000,3.750000,3.750000,516500
2020-03-19,3.710000,4.500000,3.590000,3.750000,3.750000,358300
2020-03-20,3.760000,4.430000,3.760000,3.760000,3.760000,596600
2020-03-23,3.750000,5.000000,3.750000,4.250000,4.250000,294800
2020-03-24,4.400000,5.310000,4.280000,4.430000,4.430000,385900
2020-03-25,4.640000,5.050000,4.499000,4.540000,4.540000,252400
2020-03-26,4.700000,4.700000,4.160000,4.400000,4.400000,124400
2020-03-27,4.400000,4.420000,4.290000,4.320000,4.320000,80500
2020-03-30,4.350000,4.389000,4.050000,4.120000,4.120000,165100
2020-03-31,4.110000,4.345000,4.000000,4.270000,4.270000,184200
2020-04-01,4.010000,4.260000,4.005000,4.080000,4.080000,52600
2020-04-02,4.020000,4.350000,4.020000,4.310000,4.310000,65500
2020-04-03,4.397000,4.620000,4.050000,4.110000,4.110000,60200
2020-04-06,4.170000,4.440000,4.110000,4.150000,4.150000,113900
2020-04-07,4.250000,4.760000,4.100000,4.460000,4.460000,294000
2020-04-08,4.540000,5.020000,4.540000,4.820000,4.820000,48200
2020-04-09,4.850000,5.220000,4.850000,5.000000,5.000000,149500
2020-04-13,5.310000,5.310000,4.750000,4.780000,4.780000,220400
2020-04-14,4.960000,5.200000,4.670000,4.720000,4.720000,135900
2020-04-15,4.620000,4.855000,4.550000,4.710000,4.710000,168800
2020-04-16,4.680000,4.700000,4.520000,4.580000,4.580000,143800
2020-04-17,4.850000,4.925000,4.450000,4.480000,4.480000,151300
2020-04-20,4.490000,4.750000,4.370000,4.600000,4.600000,75100
2020-04-21,4.600000,4.600000,4.370000,4.500000,4.500000,230000
2020-04-22,4.550000,4.773000,4.450000,4.550000,4.550000,27300
2020-04-23,4.650000,4.870000,4.590000,4.590000,4.590000,56200
2020-04-24,4.590000,4.750000,4.500000,4.720000,4.720000,79800
2020-04-27,4.840000,4.840000,4.680000,4.700000,4.700000,47600
2020-04-28,4.810000,5.364000,4.810000,5.070000,5.070000,348600
2020-04-29,5.280000,5.500000,5.240000,5.450000,5.450000,397600
2020-04-30,5.450000,5.450000,5.170000,5.230000,5.230000,71300
2020-05-01,5.070000,5.110000,4.850000,4.910000,4.910000,105500
2020-05-04,4.800000,5.000000,4.750000,4.870000,4.870000,95800
2020-05-05,4.980000,5.340000,4.910000,5.000000,5.000000,57100
2020-05-06,5.010000,5.130000,4.930000,5.000000,5.000000,50200
2020-05-07,5.050000,5.320000,5.000000,5.180000,5.180000,101700
