Date,Open,High,Low,Close,Adj Close,Volume
2015-07-14,15.140000,15.140000,15.100000,15.140000,10.078888,7800
2015-07-15,15.140000,18.160000,15.130000,18.160000,12.089341,6300
2015-07-16,15.220000,15.290000,15.170000,15.290000,10.178746,1700
2015-07-17,15.380000,15.380000,15.130000,15.160000,10.092206,10100
2015-07-20,15.110000,15.110000,15.060000,15.060000,10.025636,6600
2015-07-21,15.020000,15.020000,14.980000,14.980000,9.972376,3700
2015-07-22,14.980000,14.980000,14.980000,14.980000,9.972376,0
2015-07-23,15.090000,15.090000,14.800000,14.800000,9.852546,3900
2015-07-24,14.670000,14.690000,14.600000,14.690000,9.779318,1100
2015-07-27,14.616000,14.616000,14.608000,14.608000,9.724730,1300
2015-07-28,14.630000,14.630000,14.630000,14.630000,9.739379,300
2015-07-29,14.780000,14.870000,14.400000,14.400000,9.586263,25100
2015-07-30,14.400000,14.400000,14.400000,14.400000,9.586263,0
2015-07-31,14.870000,14.882000,14.840000,14.882000,9.907133,1900
2015-08-03,15.060000,15.060000,14.880000,14.880000,9.905804,900
2015-08-04,14.880000,14.880000,14.880000,14.880000,9.905804,0
2015-08-05,14.810000,14.810000,14.810000,14.810000,9.859207,100
2015-08-06,14.790000,14.790000,14.650000,14.770000,9.832577,1500
2015-08-07,14.770000,14.770000,14.710000,14.710000,9.792635,1800
2015-08-10,14.760000,14.890000,14.710000,14.890000,9.912460,3100
2015-08-11,14.860000,14.860000,14.860000,14.860000,9.892492,200
2015-08-12,14.860000,14.860000,14.860000,14.860000,9.892492,0
2015-08-13,14.910000,14.910000,14.905000,14.905000,9.922450,600
2015-08-14,14.910000,14.910000,14.910000,14.910000,9.925778,300
2015-08-17,14.910000,14.910000,14.910000,14.910000,9.925778,0
2015-08-18,14.910000,14.910000,14.910000,14.910000,9.925778,0
2015-08-19,14.910000,14.910000,14.910000,14.910000,9.925778,0
2015-08-20,14.910000,14.910000,14.910000,14.910000,9.925778,0
2015-08-21,14.660000,14.660000,14.560000,14.587000,9.710750,1300
2015-08-24,14.640000,14.640000,13.390000,14.130000,9.406519,6500
2015-08-25,14.170000,14.170000,14.170000,14.170000,9.433149,100
2015-08-26,14.218000,14.218000,14.218000,14.218000,9.465104,200
2015-08-27,14.350000,14.388000,14.350000,14.388000,9.578273,500
2015-08-28,14.437000,14.450000,14.437000,14.440000,9.612892,600
2015-08-31,14.410000,14.450000,14.180000,14.410000,9.592918,4500
2015-09-01,14.310000,14.310000,14.060000,14.060000,9.425329,1300
2015-09-02,14.112000,14.112000,14.040000,14.040000,9.411920,400
2015-09-03,14.040000,14.040000,14.040000,14.040000,9.411920,0
2015-09-04,14.040000,14.040000,14.040000,14.040000,9.411920,0
2015-09-08,14.310000,14.310000,14.290000,14.295000,9.582868,500
2015-09-09,14.350000,14.350000,14.320000,14.320000,9.599621,200
