Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,4.250000,4.250000,4.150000,4.150000,4.150000,41600
2018-06-11,4.170000,4.200000,4.110000,4.199000,4.199000,31500
2018-06-12,4.197000,4.200000,4.121000,4.180000,4.180000,12100
2018-06-13,4.140000,4.146000,3.970000,3.970000,3.970000,29400
2018-06-14,4.010000,4.179000,4.000000,4.100000,4.100000,26900
2018-06-15,4.350000,8.000000,4.251000,7.350000,7.350000,2001000
2018-06-18,6.440000,7.180000,5.500000,5.750000,5.750000,367600
2018-06-19,5.850000,6.247000,5.300000,5.670000,5.670000,92900
2018-06-20,5.840000,6.150000,5.400000,5.900000,5.900000,101900
2018-06-21,5.910000,5.910000,5.150000,5.390000,5.390000,80000
2018-06-22,5.010000,6.490000,5.010000,5.700000,5.700000,164100
2018-06-25,5.770000,6.100000,5.250000,5.250000,5.250000,29100
2018-06-26,5.950000,5.950000,5.200000,5.300000,5.300000,22300
2018-06-27,5.500000,5.511000,4.650000,4.650000,4.650000,66200
2018-06-28,5.000000,5.000000,4.650000,4.900000,4.900000,28500
2018-06-29,5.400000,5.850000,4.800000,5.102000,5.102000,33600
2018-07-02,4.990000,5.050000,4.600000,4.990000,4.990000,46900
2018-07-03,4.980000,5.100000,4.750000,4.860000,4.860000,6800
2018-07-05,4.875000,4.980000,4.800000,4.850000,4.850000,8700
2018-07-06,4.763000,4.960000,4.711000,4.830000,4.830000,8700
2018-07-09,4.740000,5.026000,4.674000,5.026000,5.026000,6300
2018-07-10,4.776000,5.000000,4.700000,5.000000,5.000000,22200
2018-07-11,5.000000,5.000000,4.845000,4.999000,4.999000,5200
2018-07-12,5.050000,6.500000,5.001000,5.790000,5.790000,183700
2018-07-13,5.600000,6.400000,5.600000,6.070000,6.070000,115600
2018-07-16,6.500000,7.500000,6.142000,7.363000,7.363000,167600
2018-07-17,7.250000,7.300000,6.610000,6.940000,6.940000,102900
2018-07-18,7.000000,7.050000,6.700000,6.840000,6.840000,46900
2018-07-19,7.260000,7.260000,6.700000,6.900000,6.900000,11500
2018-07-20,6.756000,7.700000,6.731000,7.310000,7.310000,94100
2018-07-23,7.330000,7.330000,7.000000,7.140000,7.140000,79800
2018-07-24,7.000000,7.650000,6.838000,7.000000,7.000000,87900
2018-07-25,7.050000,7.360000,7.000000,7.000000,7.000000,14800
2018-07-26,6.820000,7.140000,6.800000,6.880000,6.880000,29200
2018-07-27,6.885000,6.930000,6.700000,6.798000,6.798000,12200
2018-07-30,6.890000,6.893000,6.050000,6.292000,6.292000,26700
2018-07-31,6.260000,6.290000,5.830000,5.930000,5.930000,18600
2018-08-01,5.800000,6.210000,5.620000,5.989000,5.989000,12800
2018-08-02,5.660000,6.045000,5.660000,5.880000,5.880000,12400
2018-08-03,5.650000,6.237000,5.650000,6.196000,6.196000,4900
2018-08-06,5.789000,6.180000,5.789000,6.110000,6.110000,2600
2018-08-07,6.110000,6.164000,5.700000,6.050000,6.050000,8500
2018-08-08,5.650000,6.161000,5.650000,6.060000,6.060000,3900
2018-08-09,6.100000,6.280000,6.000000,6.280000,6.280000,6200
2018-08-10,6.280000,6.440000,6.219000,6.320000,6.320000,9900
2018-08-13,5.650000,6.440000,5.650000,6.440000,6.440000,16200
2018-08-14,6.010000,6.500000,5.910000,6.290000,6.290000,9700
2018-08-15,5.670000,6.090000,5.660000,6.000000,6.000000,21000
2018-08-16,5.987000,5.987000,5.810000,5.910000,5.910000,5200
2018-08-17,6.380000,6.380000,5.700000,5.701000,5.701000,3800
2018-08-20,5.673000,5.681000,5.160000,5.400000,5.400000,23800
2018-08-21,5.010000,5.579000,5.000000,5.350000,5.350000,16000
2018-08-22,5.459000,5.580000,5.197000,5.560000,5.560000,24000
2018-08-23,5.560000,5.590000,5.060000,5.350000,5.350000,34900
2018-08-24,5.600000,5.950000,5.301000,5.950000,5.950000,26900
2018-08-27,6.340000,6.750000,5.962000,6.110000,6.110000,7200
2018-08-28,6.100000,6.280000,5.730000,6.220000,6.220000,4400
2018-08-29,6.220000,6.841000,6.220000,6.705000,6.705000,24800
2018-08-30,6.730000,6.730000,6.520000,6.710000,6.710000,12600
2018-08-31,6.750000,6.957000,6.680000,6.680000,6.680000,10000
2018-09-04,6.000000,6.867000,6.000000,6.130000,6.130000,8600
2018-09-05,6.790000,6.790000,6.200000,6.500000,6.500000,3100
2018-09-06,6.250000,6.730000,6.150000,6.697000,6.697000,18400
2018-09-07,6.680000,6.707000,6.360000,6.510000,6.510000,12500
2018-09-10,6.450000,6.512000,6.040000,6.410000,6.410000,7500
2018-09-11,6.410000,6.500000,6.410000,6.500000,6.500000,2000
2018-09-12,6.230000,6.550000,6.031000,6.510000,6.510000,14900
2018-09-13,6.540000,6.540000,6.190000,6.190000,6.190000,2100
2018-09-14,6.200000,6.600000,6.200000,6.330000,6.330000,15600
2018-09-17,6.226000,6.226000,5.750000,5.890000,5.890000,19200
