Date,Open,High,Low,Close,Adj Close,Volume
1998-05-01,12.375000,13.562500,11.750000,13.312500,13.312500,23597300
1998-05-04,13.437500,14.000000,13.375000,13.750000,13.750000,3529400
1998-05-05,13.750000,13.875000,13.000000,13.250000,13.250000,3056300
1998-05-06,13.250000,13.250000,11.875000,12.625000,12.625000,3109900
1998-05-07,12.625000,12.750000,12.250000,12.312500,12.312500,1304100
1998-05-08,12.312500,12.750000,12.312500,12.562500,12.562500,1326400
1998-05-11,12.500000,12.875000,12.500000,12.687500,12.687500,889600
1998-05-12,12.687500,12.750000,12.312500,12.375000,12.375000,1467700
1998-05-13,12.250000,12.375000,11.500000,11.687500,11.687500,1448900
1998-05-14,11.625000,11.750000,11.375000,11.375000,11.375000,1189000
1998-05-15,11.062500,11.250000,10.750000,10.937500,10.937500,2314800
1998-05-18,10.687500,10.875000,10.437500,10.687500,10.687500,1836500
1998-05-19,10.812500,11.062500,10.750000,10.937500,10.937500,1390700
1998-05-20,10.937500,11.062500,10.437500,10.437500,10.437500,1014500
1998-05-21,10.500000,10.625000,10.000000,10.250000,10.250000,1641100
1998-05-22,10.125000,10.375000,10.000000,10.062500,10.062500,329100
1998-05-26,10.000000,10.250000,9.875000,9.875000,9.875000,833800
1998-05-27,9.750000,9.875000,9.000000,9.875000,9.875000,1574900
1998-05-28,9.812500,10.500000,9.687500,10.187500,10.187500,1727500
1998-05-29,10.187500,10.375000,10.125000,10.375000,10.375000,748000
1998-06-01,10.187500,10.375000,10.125000,10.250000,10.250000,1764200
1998-06-02,10.187500,10.375000,9.750000,9.750000,9.750000,434800
1998-06-03,9.875000,9.875000,7.000000,8.312500,8.312500,2611000
1998-06-04,9.125000,9.375000,8.750000,9.062500,9.062500,3581200
1998-06-05,9.125000,9.125000,8.125000,8.375000,8.375000,1799000
1998-06-08,8.375000,9.375000,8.250000,9.250000,9.250000,663000
1998-06-09,9.375000,9.375000,8.875000,9.375000,9.375000,471800
1998-06-10,9.000000,9.375000,8.875000,9.125000,9.125000,773900
1998-06-11,9.000000,9.125000,9.000000,9.031250,9.031250,386700
1998-06-12,9.000000,9.062500,8.125000,8.812500,8.812500,325300
1998-06-15,8.750000,8.750000,7.875000,8.062500,8.062500,351300
1998-06-16,8.000000,9.000000,7.875000,8.937500,8.937500,1724100
1998-06-17,9.000000,9.000000,8.125000,8.375000,8.375000,301300
1998-06-18,8.062500,8.250000,7.750000,7.875000,7.875000,805500
1998-06-19,8.000000,8.375000,7.875000,8.125000,8.125000,483500
1998-06-22,8.062500,8.500000,8.000000,8.375000,8.375000,106900
1998-06-23,8.500000,8.562500,8.125000,8.250000,8.250000,398900
1998-06-24,8.437500,9.687500,8.375000,9.500000,9.500000,1127700
1998-06-25,9.625000,9.875000,9.375000,9.625000,9.625000,435300
1998-06-26,9.500000,9.625000,9.375000,9.437500,9.437500,62600
1998-06-29,9.500000,9.750000,9.500000,9.593750,9.593750,369900
1998-06-30,9.625000,9.750000,9.187500,9.343750,9.343750,638400
1998-07-01,9.250000,9.375000,7.875000,8.343750,8.343750,1163200
1998-07-02,8.250000,8.312500,7.000000,7.437500,7.437500,5764500
1998-07-06,7.750000,7.875000,7.500000,7.812500,7.812500,225300
1998-07-07,7.812500,8.000000,7.750000,7.875000,7.875000,407800
1998-07-08,7.937500,8.250000,7.812500,8.250000,8.250000,942900
1998-07-09,8.375000,8.500000,8.250000,8.250000,8.250000,445300
1998-07-10,8.250000,8.437500,8.062500,8.125000,8.125000,531400
1998-07-13,8.125000,8.375000,8.062500,8.125000,8.125000,417800
1998-07-14,8.125000,8.437500,8.000000,8.187500,8.187500,498200
1998-07-15,8.437500,8.500000,8.250000,8.375000,8.375000,192700
1998-07-16,8.437500,9.187500,8.375000,9.140625,9.140625,1440000
1998-07-17,9.156250,9.187500,8.875000,9.125000,9.125000,229600
1998-07-20,9.125000,9.250000,9.000000,9.062500,9.062500,257500
1998-07-21,9.250000,9.750000,9.187500,9.625000,9.625000,632600
1998-07-22,9.500000,9.750000,9.187500,9.187500,9.187500,467000
1998-07-23,9.500000,9.750000,8.375000,8.375000,8.375000,1496000
1998-07-24,8.500000,9.000000,7.937500,8.000000,8.000000,653300
1998-07-27,8.000000,8.125000,7.875000,7.875000,7.875000,695100
1998-07-28,7.875000,8.000000,7.437500,7.562500,7.562500,770800
1998-07-29,7.625000,7.750000,7.500000,7.500000,7.500000,481300
1998-07-30,7.562500,7.625000,7.500000,7.500000,7.500000,323100
1998-07-31,7.625000,7.625000,7.375000,7.406250,7.406250,584600
1998-08-03,7.375000,7.500000,7.000000,7.062500,7.062500,346400
1998-08-04,7.000000,7.125000,6.625000,6.875000,6.875000,421500
1998-08-05,6.875000,7.000000,6.750000,6.750000,6.750000,480500
1998-08-06,6.750000,7.125000,6.625000,7.125000,7.125000,1024600
1998-08-07,7.125000,7.687500,7.000000,7.000000,7.000000,632800
1998-08-10,6.750000,7.000000,6.500000,6.875000,6.875000,268300
1998-08-11,6.750000,6.812500,6.437500,6.500000,6.500000,208500
1998-08-12,6.625000,6.750000,6.500000,6.500000,6.500000,449200
1998-08-13,6.687500,6.687500,6.250000,6.625000,6.625000,974900
1998-08-14,6.375000,6.875000,6.375000,6.562500,6.562500,495200
1998-08-17,6.562500,6.750000,6.250000,6.500000,6.500000,143600
1998-08-18,6.500000,7.000000,6.500000,7.000000,7.000000,379800
1998-08-19,7.125000,7.250000,6.875000,7.000000,7.000000,451700
1998-08-20,7.125000,7.125000,6.937500,6.937500,6.937500,140300
1998-08-21,7.000000,7.000000,6.625000,6.812500,6.812500,144500
1998-08-24,6.812500,6.812500,5.500000,5.875000,5.875000,567000
1998-08-25,6.125000,6.125000,5.500000,5.937500,5.937500,2366300
1998-08-26,6.000000,6.000000,5.250000,5.687500,5.687500,412500
1998-08-27,5.625000,5.687500,4.375000,4.437500,4.437500,1165400
1998-08-28,4.625000,4.750000,4.250000,4.312500,4.312500,733000
1998-08-31,4.625000,4.687500,4.187500,4.625000,4.625000,1141600
1998-09-01,4.562500,4.750000,4.500000,4.625000,4.625000,952900
