Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,12.490000,13.690000,12.490000,13.300000,12.527478,34100
2014-03-18,13.300000,14.900000,13.250000,14.250000,13.422298,67800
2014-03-19,14.150000,14.400000,13.850000,14.000000,13.186819,12800
2014-03-20,14.000000,14.000000,13.801000,14.000000,13.186819,4100
2014-03-21,13.900000,13.900000,13.000000,13.240000,12.470963,5300
2014-03-24,13.050000,13.050000,12.050000,12.420000,11.698590,28700
2014-03-25,12.600000,13.440000,12.200000,13.440000,12.659346,4100
2014-03-26,12.600000,13.400000,12.250000,12.470000,11.745688,12600
2014-03-27,12.550000,13.200000,12.550000,13.130000,12.367353,25300
2014-03-28,12.988000,13.000000,12.988000,13.000000,12.244904,2100
2014-03-31,13.390000,13.390000,13.050000,13.120000,12.357934,21600
2014-04-01,13.200000,13.200000,13.055000,13.080000,12.320256,7300
2014-04-02,13.100000,13.100000,12.800000,13.010000,12.254322,4900
2014-04-03,13.090000,13.090000,12.810000,12.880000,12.131873,4700
2014-04-04,12.940000,12.940000,12.500000,12.520000,11.792786,10400
2014-04-07,12.500000,12.510000,12.000000,12.500000,11.773947,11300
2014-04-08,12.490000,12.500000,12.010000,12.150000,11.444275,8500
2014-04-09,12.117000,12.150000,11.890000,12.000000,11.302986,4000
2014-04-10,11.900000,12.030000,11.752000,12.010000,11.312406,35300
2014-04-11,11.908000,11.970000,11.908000,11.970000,11.274732,6800
2014-04-14,11.750000,11.940000,11.650000,11.940000,11.246471,7600
2014-04-15,11.650000,11.850000,11.650000,11.720000,11.039251,9400
2014-04-16,11.800000,11.950000,11.790000,11.900000,11.208796,7700
2014-04-17,11.950000,12.020000,11.940000,12.000000,11.302986,39600
2014-04-21,12.010000,12.010000,11.650000,11.700000,11.020411,4300
2014-04-22,11.740000,11.980000,11.732000,11.770000,11.086348,5400
2014-04-23,11.680000,11.900000,10.490000,11.750000,11.067510,16900
2014-04-24,11.600000,11.600000,11.211000,11.260000,10.605969,4000
2014-04-25,11.340000,11.970000,11.340000,11.760000,11.076929,3600
2014-04-28,11.970000,11.990000,11.790000,11.800000,11.114605,11900
2014-04-29,11.710000,11.990000,11.710000,11.840000,11.152283,6200
2014-04-30,11.650000,11.650000,11.560000,11.580000,10.907382,600
2014-05-01,11.695000,11.695000,11.660000,11.660000,10.982735,700
2014-05-02,11.950000,11.950000,11.720000,11.720000,11.039251,1100
2014-05-05,11.790000,11.950000,11.460000,11.750000,11.067510,11200
2014-05-06,11.730000,11.730000,11.500000,11.500000,10.832028,700
2014-05-07,11.720000,11.800000,11.410000,11.780000,11.095765,3000
2014-05-08,11.800000,11.800000,11.800000,11.800000,11.114605,8400
2014-05-09,11.710000,11.730000,11.530000,11.530000,10.860288,2000
2014-05-12,11.720000,11.820000,11.703000,11.800000,11.114605,5900
2014-05-13,11.510000,11.610000,11.400000,11.600000,10.926223,6100
2014-05-14,11.300000,11.790000,11.300000,11.551000,10.880067,4800
2014-05-15,11.440000,11.500000,11.440000,11.500000,10.832028,1100
2014-05-16,11.370000,11.490000,11.370000,11.490000,10.822610,600
2014-05-19,11.300000,11.350000,11.230000,11.300000,10.643647,14100
2014-05-20,11.200000,11.450000,11.200000,11.450000,10.784933,4200
2014-05-21,11.450000,11.450000,11.390000,11.440000,10.775516,1400
2014-05-22,11.420000,11.440000,11.045000,11.440000,10.775516,2200
2014-05-23,11.440000,11.440000,11.440000,11.440000,10.775516,0
2014-05-27,11.020000,11.110000,11.020000,11.040000,10.398748,3100
2014-05-28,11.010000,11.380000,11.010000,11.380000,10.719000,200
2014-05-29,11.010000,11.400000,11.010000,11.380000,10.719000,6500
2014-05-30,11.060000,11.390000,11.050000,11.200000,10.549455,2100
2014-06-02,11.200000,11.200000,11.000000,11.000000,10.361072,8100
2014-06-03,11.000000,11.110000,11.000000,11.020000,10.379911,16300
2014-06-04,11.000000,11.200000,11.000000,11.080000,10.436425,11800
2014-06-05,11.070000,11.500000,11.060000,11.360000,10.700160,35600
2014-06-06,11.300000,11.400000,11.070000,11.390000,10.728419,4700
2014-06-09,11.430000,11.480000,11.400000,11.440000,10.775516,6100
2014-06-10,11.440000,11.470000,11.230000,11.470000,10.803772,17200
2014-06-11,11.320000,11.370000,11.120000,11.330000,10.671904,12900
2014-06-12,11.380000,11.585000,11.310000,11.500000,10.832028,45800
2014-06-13,11.520000,11.560000,11.180000,11.490000,10.822610,16500
2014-06-16,11.340000,12.000000,11.340000,11.990000,11.293569,44100
2014-06-17,11.990000,11.990000,11.050000,11.590000,10.916803,50600
2014-06-18,11.920000,12.000000,11.460000,11.980000,11.284147,32000
2014-06-19,11.870000,11.990000,11.500000,11.990000,11.293569,36000
2014-06-20,11.400000,11.970000,10.510000,10.870000,10.238623,128300
2014-06-23,11.340000,11.600000,11.000000,11.480000,10.813190,25300
2014-06-24,11.480000,11.500000,11.110000,11.150000,10.502359,23800
2014-06-25,11.360000,11.420000,11.250000,11.250000,10.596551,10500
2014-06-26,11.310000,11.450000,11.010000,11.390000,10.728419,8600
2014-06-27,11.270000,11.430000,11.120000,11.120000,10.474101,17300
2014-06-30,11.420000,11.420000,11.010000,11.160000,10.511777,10500
2014-07-01,11.030000,11.430000,11.030000,11.410000,10.747258,12600
2014-07-02,11.430000,11.930000,11.269000,11.700000,11.020411,62100
2014-07-03,11.800000,11.800000,11.510000,11.680000,11.001575,1600
2014-07-07,11.750000,12.040000,11.750000,12.030000,11.331244,225100
2014-07-08,12.010000,12.010000,11.760000,11.870000,11.180538,17800
2014-07-09,12.040000,12.040000,11.840000,12.000000,11.302986,60300
2014-07-10,12.040000,12.040000,11.895000,11.990000,11.293569,25400
2014-07-11,12.030000,12.030000,11.920000,12.030000,11.331244,4900
2014-07-14,12.040000,12.040000,11.840000,12.030000,11.331244,28000
2014-07-15,12.040000,12.040000,11.910000,11.970000,11.274732,21400
2014-07-16,12.024000,12.040000,11.950000,11.950000,11.255893,18400
2014-07-17,12.010000,12.040000,11.950000,11.950000,11.255893,23600
2014-07-18,12.030000,12.040000,12.000000,12.040000,11.340664,10500
2014-07-21,11.900000,12.030000,11.700000,11.950000,11.255893,4500
2014-07-22,11.860000,12.040000,11.680000,11.760000,11.076929,10300
2014-07-23,11.630000,11.930000,11.630000,11.720000,11.039251,8100
2014-07-24,11.660000,12.000000,11.660000,11.700000,11.020411,7000
2014-07-25,11.550000,11.840000,11.550000,11.750000,11.067510,8700
2014-07-28,11.750000,12.000000,11.750000,11.850000,11.161701,9800
2014-07-29,11.980000,11.980000,11.770000,11.980000,11.284147,1500
2014-07-30,11.700000,11.970000,11.650000,11.820000,11.133441,6300
2014-07-31,11.720000,11.860000,11.700000,11.835000,11.147571,1900
2014-08-01,11.800000,11.800000,11.520000,11.540000,10.869704,4000
2014-08-04,11.540000,11.800000,11.540000,11.780000,11.095765,4300
2014-08-05,11.692000,11.764000,11.680000,11.700000,11.020411,5600
2014-08-06,11.530000,11.770000,11.530000,11.770000,11.086348,9300
2014-08-07,11.600000,11.750000,11.540000,11.740000,11.058089,4800
2014-08-08,11.710000,11.800000,11.622000,11.800000,11.114605,3700
2014-08-11,11.790000,11.840000,11.691000,11.800000,11.114605,3500
2014-08-12,11.800000,11.810000,11.660000,11.740000,11.058089,9600
2014-08-13,11.710000,11.810000,11.600000,11.800000,11.114605,3500
2014-08-14,11.720000,11.750000,11.680000,11.750000,11.067510,1700
2014-08-15,11.730000,11.750000,11.620000,11.750000,11.067510,3900
2014-08-18,11.520000,11.800000,11.511000,11.750000,11.067510,3300
2014-08-19,11.640000,11.800000,11.620000,11.740000,11.058089,4900
2014-08-20,11.730000,11.730000,11.716000,11.730000,11.048670,500
2014-08-21,11.570000,11.770000,11.570000,11.640000,10.963899,5600
2014-08-22,11.790000,11.790000,11.605000,11.730000,11.048670,4400
2014-08-25,11.700000,11.800000,11.700000,11.800000,11.114605,4400
2014-08-26,11.750000,11.750000,11.560000,11.720000,11.039251,3300
2014-08-27,11.570000,11.730000,11.330000,11.530000,10.860288,15000
2014-08-28,11.610000,11.610000,11.610000,11.610000,10.935640,700
2014-08-29,11.670000,11.680000,11.500000,11.680000,11.001575,2500
2014-09-02,11.600000,11.690000,11.370000,11.580000,10.907382,4000
2014-09-03,11.580000,11.580000,11.400000,11.500000,10.832028,10800
2014-09-04,11.350000,11.740000,11.120000,11.200000,10.549455,35900
2014-09-05,11.160000,11.600000,11.160000,11.380000,10.719000,46100
2014-09-08,11.180000,11.440000,11.180000,11.440000,10.775516,8500
2014-09-09,11.290000,11.658000,11.290000,11.490000,10.822610,11500
2014-09-10,11.350000,11.800000,11.340000,11.650000,10.973316,28000
2014-09-11,11.340000,11.590000,11.340000,11.450000,10.784933,16700
2014-09-12,11.270000,11.600000,11.260000,11.400000,10.737838,3900
2014-09-15,11.340000,11.450000,11.290000,11.328000,10.670022,3500
2014-09-16,11.310000,11.398000,11.260000,11.398000,10.735954,4700
2014-09-17,11.420000,11.800000,11.390000,11.430000,10.766096,2900
2014-09-18,11.690000,11.690000,11.460000,11.510000,10.841449,9000
2014-09-19,11.530000,11.700000,11.400000,11.580000,10.907382,9100
2014-09-22,11.520000,11.520000,11.410000,11.510000,10.841449,1200
2014-09-23,11.740000,11.740000,11.720000,11.730000,11.048670,7000
2014-09-24,11.670000,11.730000,11.670000,11.730000,11.048670,4800
2014-09-25,11.614000,11.710000,11.610000,11.710000,11.029831,1300
2014-09-26,11.710000,11.710000,11.620000,11.710000,11.029831,1200
2014-09-29,11.610000,11.610000,11.400000,11.430000,10.766096,25700
2014-09-30,11.540000,11.540000,11.361000,11.370000,10.709582,8600
2014-10-01,11.040000,11.590000,10.200000,10.490000,9.880695,47300
2014-10-02,10.450000,10.800000,10.060000,10.790000,10.163268,52500
2014-10-03,10.700000,11.190000,10.685000,11.000000,10.361072,35300
2014-10-06,10.760000,11.177000,10.340000,11.150000,10.502359,22900
2014-10-07,10.620000,10.850000,10.620000,10.850000,10.219784,10700
2014-10-08,10.770000,11.760000,10.750000,10.870000,10.238623,12300
2014-10-09,10.600000,10.900000,10.600000,10.660000,10.040820,5100
2014-10-10,10.690000,10.740000,10.680000,10.740000,10.116173,1900
2014-10-13,10.750000,10.750000,10.570000,10.570000,9.956048,2300
2014-10-14,10.700000,10.700000,10.500000,10.500000,9.890114,7100
2014-10-15,10.490000,10.600000,10.490000,10.510000,9.899533,11200
2014-10-16,10.480000,11.000000,10.480000,11.000000,10.361072,2000
2014-10-17,10.850000,11.010000,10.800000,11.000000,10.361072,12300
2014-10-20,10.750000,10.750000,10.550000,10.550000,9.937209,4700
2014-10-21,10.900000,11.190000,10.640000,10.890000,10.257461,14300
2014-10-22,10.605000,10.990000,10.510000,10.990000,10.351652,5300
2014-10-23,10.830000,11.000000,10.660000,10.710000,10.087915,2500
2014-10-24,10.420000,11.000000,10.420000,10.800000,10.172688,10300
2014-10-27,10.800000,10.800000,10.800000,10.800000,10.172688,0
2014-10-28,10.320000,10.320000,10.320000,10.320000,9.720570,200
2014-10-29,10.340000,10.500000,10.340000,10.430000,9.824179,7200
2014-10-30,10.450000,10.620000,10.450000,10.590000,9.974885,8100
2014-10-31,10.550000,10.600000,10.550000,10.580000,9.965467,6000
2014-11-03,10.530000,10.530000,10.400000,10.400000,9.795923,6400
2014-11-04,10.150000,10.490000,10.150000,10.458000,9.850554,2300
2014-11-05,10.540000,10.540000,10.310000,10.310000,9.711151,5300
2014-11-06,10.400000,10.400000,10.300000,10.400000,9.795923,7400
2014-11-07,10.390000,10.390000,10.250000,10.300000,9.701732,5000
2014-11-10,10.530000,10.530000,10.480000,10.480000,9.871276,1800
2014-11-11,10.510000,10.510000,10.490000,10.490000,9.880695,500
2014-11-12,10.350000,10.350000,10.150000,10.150000,9.560442,61200
2014-11-13,10.260000,10.290000,10.160000,10.220000,9.626378,12600
2014-11-14,10.220000,10.520000,10.200000,10.520000,9.908953,500
2014-11-17,10.200000,10.200000,10.030000,10.045000,9.461543,50500
2014-11-18,10.010000,10.480000,9.840000,9.890000,9.315544,26200
2014-11-19,9.842000,9.890000,9.600000,9.830000,9.259030,19900
2014-11-20,9.740000,10.000000,9.720000,10.000000,9.419158,38300
2014-11-21,10.000000,10.000000,9.800000,9.880000,9.306126,13100
2014-11-24,9.970000,9.970000,9.400000,9.610000,9.051807,28200
2014-11-25,9.610000,9.890000,9.320000,9.850000,9.277869,48000
2014-11-26,9.660000,9.660000,9.500000,9.560000,9.004714,12800
2014-11-28,9.500000,9.510000,9.500000,9.500000,8.948196,3700
2014-12-01,9.500000,9.990000,9.500000,9.960000,9.381480,16100
2014-12-02,10.000000,10.520000,10.000000,10.090000,9.503929,10800
2014-12-03,10.000000,10.030000,9.990000,10.000000,9.419158,3100
2014-12-04,9.960000,10.000000,9.750000,10.000000,9.419158,4100
2014-12-05,9.860000,9.990000,9.800000,9.850000,9.277869,11400
2014-12-08,9.810000,9.810000,9.500000,9.510000,8.957617,2600
2014-12-09,9.510000,10.000000,9.390000,9.570000,9.014131,16400
2014-12-10,9.550000,9.635000,9.400000,9.440000,8.891683,43500
2014-12-11,9.440000,9.834000,9.400000,9.500000,8.948196,34200
2014-12-12,9.350000,10.000000,9.350000,9.860000,9.287287,21600
2014-12-15,9.960000,10.000000,9.730000,9.810000,9.240192,2200
2014-12-16,9.760000,9.990000,9.410000,9.490000,8.938778,18400
2014-12-17,9.650000,9.960000,9.610000,9.960000,9.381480,14200
2014-12-18,9.880000,9.960000,9.700000,9.760000,9.193098,7700
2014-12-19,9.930000,9.980000,9.635000,9.980000,9.400318,10400
2014-12-22,10.000000,10.000000,9.670000,9.920000,9.343805,2400
2014-12-23,9.980000,9.980000,9.660000,9.720000,9.155420,1300
2014-12-24,9.829000,9.990000,9.670000,9.690000,9.127163,30000
2014-12-26,9.750000,9.980000,9.570000,9.570000,9.014131,30600
2014-12-29,9.650000,9.750000,9.650000,9.700000,9.136580,1000
2014-12-30,9.650000,9.970000,9.650000,9.720000,9.155420,4200
2014-12-31,9.687000,9.970000,9.687000,9.970000,9.390898,8400
2015-01-02,9.810000,10.000000,9.810000,9.970000,9.390898,2100
2015-01-05,9.830000,9.970000,9.660000,9.970000,9.390898,10200
2015-01-06,9.940000,9.940000,9.580000,9.610000,9.051807,6600
2015-01-07,9.610000,9.970000,9.610000,9.950000,9.372061,5700
2015-01-08,9.800000,9.800000,9.740000,9.740000,9.174257,1000
2015-01-09,9.710000,9.740000,9.710000,9.710000,9.145999,700
2015-01-12,9.800000,9.800000,9.800000,9.800000,9.230775,100
2015-01-13,9.830000,9.960000,9.610000,9.840000,9.268453,6800
2015-01-14,9.910000,9.930000,9.850000,9.880000,9.306126,2000
2015-01-15,9.950000,9.980000,9.620000,9.620000,9.061228,16600
2015-01-16,9.620000,9.750000,9.620000,9.690000,9.127163,9400
2015-01-20,9.750000,9.800000,9.710000,9.765000,9.197804,10100
2015-01-21,9.840000,9.940000,9.770000,9.900000,9.324964,34600
2015-01-22,9.900000,9.900000,9.750000,9.830000,9.259030,9800
2015-01-23,9.950000,9.956000,9.820000,9.830000,9.259030,4200
2015-01-26,9.820000,10.240000,9.820000,10.090000,9.503929,63600
2015-01-27,10.000000,10.240000,10.000000,10.200000,9.607541,24900
2015-01-28,10.050000,10.240000,10.050000,10.220000,9.626378,16500
2015-01-29,10.200000,10.300000,10.200000,10.300000,9.701732,7100
2015-01-30,10.230000,10.450000,10.230000,10.450000,9.843019,5300
2015-02-02,10.360000,10.460000,10.350000,10.390000,9.786503,5100
2015-02-03,10.380000,10.400000,10.235000,10.251000,9.655578,5400
2015-02-04,10.200000,10.300000,10.200000,10.228000,9.633913,5100
2015-02-05,10.280000,10.850000,10.280000,10.740000,10.116173,27400
2015-02-06,10.800000,10.800000,10.690000,10.730000,10.106755,9800
2015-02-09,10.900000,10.900000,10.640000,10.720000,10.097335,2800
2015-02-10,10.850000,11.000000,10.270000,10.280000,9.682894,17300
2015-02-11,10.710000,10.710000,10.010000,10.050000,9.466250,32500
2015-02-12,10.100000,10.280000,10.100000,10.150000,9.560442,3900
2015-02-13,10.080000,10.280000,10.080000,10.280000,9.682894,3300
2015-02-17,10.140000,10.330000,10.050000,10.060000,9.475671,24200
2015-02-18,10.020000,10.180000,10.000000,10.017000,9.435169,14100
2015-02-19,9.950000,10.100000,9.950000,9.950000,9.372061,18600
2015-02-20,9.950000,10.140000,9.850000,10.140000,9.551026,5400
2015-02-23,9.950000,9.960000,9.900000,9.900000,9.324964,15200
2015-02-24,9.950000,9.958000,9.950000,9.958000,9.379596,2900
2015-02-25,9.970000,10.052000,9.840000,9.980000,9.400318,43200
2015-02-26,9.990000,10.406000,9.980000,10.120000,9.532186,5500
2015-02-27,10.180000,10.280000,10.110000,10.280000,9.682894,14100
2015-03-02,10.340000,10.750000,10.200000,10.700000,10.078496,25800
2015-03-03,10.700000,10.700000,10.460000,10.490000,9.880695,8500
2015-03-04,10.500000,10.500000,10.430000,10.440000,9.833597,6500
2015-03-05,10.430000,10.450000,10.230000,10.250000,9.654635,5600
2015-03-06,10.260000,10.330000,10.010000,10.070000,9.485089,6100
2015-03-09,10.060000,10.140000,10.060000,10.130000,9.541605,10300
2015-03-10,10.100000,10.230000,10.040000,10.180000,9.636265,6500
2015-03-11,10.250000,10.250000,10.120000,10.180000,9.636265,2400
2015-03-12,10.070000,10.170000,10.060000,10.100000,9.560538,28800
2015-03-13,10.120000,10.720000,10.080000,10.200000,9.655195,63500
2015-03-16,10.180000,10.200000,10.000000,10.100000,9.560538,9800
2015-03-17,10.000000,10.250000,10.000000,10.100000,9.560538,8300
2015-03-18,10.070000,10.250000,10.040000,10.100000,9.560538,19100
2015-03-19,10.160000,10.160000,10.060000,10.100000,9.560538,2900
2015-03-20,10.150000,10.420000,10.150000,10.400000,9.844512,33600
2015-03-23,10.250000,10.330000,10.170000,10.250000,9.702525,10000
2015-03-24,10.250000,10.250000,10.250000,10.250000,9.702525,0
2015-03-25,10.490000,10.500000,10.295000,10.490000,9.929706,38300
2015-03-26,10.640000,10.640000,10.160000,10.290000,9.740390,9500
2015-03-27,10.360000,10.360000,10.250000,10.270000,9.721457,11000
2015-03-30,10.330000,10.520000,10.330000,10.520000,9.958103,1400
2015-03-31,10.280000,10.600000,10.280000,10.600000,10.033832,5500
2015-04-01,10.610000,10.830000,10.200000,10.240000,9.693058,18100
2015-04-02,10.299000,10.299000,10.080000,10.080000,9.541605,3700
2015-04-06,10.140000,10.290000,10.140000,10.160000,9.617332,6400
