Date,Open,High,Low,Close,Adj Close,Volume
2010-09-28,247.500000,261.600006,247.199997,247.500000,247.500000,158900
2010-09-29,247.500000,253.949997,247.500000,252.750000,252.750000,19200
2010-09-30,254.550003,260.250000,252.300003,258.750000,258.750000,21100
2010-10-01,258.750000,270.000000,253.649994,258.450012,258.450012,13100
2010-10-04,256.500000,259.950012,255.000000,255.899994,255.899994,8200
2010-10-05,258.450012,272.100006,255.000000,263.399994,263.399994,9900
2010-10-06,260.700012,264.600006,256.500000,256.500000,256.500000,3400
2010-10-07,258.750000,266.549988,256.049988,256.049988,256.049988,13000
2010-10-08,260.100006,260.100006,256.200012,256.950012,256.950012,2100
2010-10-11,258.750000,266.549988,256.500000,265.350006,265.350006,3200
2010-10-12,263.250000,268.799988,259.500000,266.399994,266.399994,2400
2010-10-13,268.649994,270.000000,256.500000,258.299988,258.299988,3100
2010-10-14,256.950012,260.549988,256.500000,257.549988,257.549988,1600
2010-10-15,259.200012,263.399994,255.600006,263.399994,263.399994,3000
2010-10-18,266.100006,266.100006,258.750000,259.950012,259.950012,1500
2010-10-19,258.149994,259.950012,255.750000,255.750000,255.750000,4000
2010-10-20,256.200012,260.700012,256.200012,256.649994,256.649994,500
2010-10-21,258.600006,260.100006,256.500000,256.500000,256.500000,6500
2010-10-22,258.450012,258.450012,256.500000,258.450012,258.450012,1300
2010-10-25,264.000000,266.850006,256.500000,257.250000,257.250000,1000
2010-10-26,256.950012,260.250000,256.500000,256.500000,256.500000,3900
2010-10-27,256.500000,257.250000,256.500000,256.649994,256.649994,5000
2010-10-28,256.649994,257.399994,255.899994,256.500000,256.500000,3800
2010-10-29,257.549988,258.000000,256.049988,256.200012,256.200012,3800
2010-11-01,256.350006,261.000000,256.200012,256.200012,256.200012,2500
2010-11-02,257.549988,257.700012,255.149994,256.799988,256.799988,2000
2010-11-03,258.450012,258.450012,255.750000,255.899994,255.899994,2500
2010-11-04,256.500000,258.750000,255.600006,256.500000,256.500000,4500
2010-11-05,260.700012,260.700012,258.149994,259.500000,259.500000,6900
2010-11-08,260.700012,261.000000,256.649994,257.700012,257.700012,9500
2010-11-09,259.049988,264.600006,257.549988,262.200012,262.200012,4200
2010-11-10,264.750000,284.549988,261.750000,282.450012,282.450012,10000
2010-11-11,284.700012,291.899994,272.250000,276.149994,276.149994,6900
2010-11-12,274.049988,310.799988,274.049988,301.649994,301.649994,5800
2010-11-15,306.000000,311.250000,288.450012,288.450012,288.450012,3700
2010-11-16,286.200012,286.649994,271.500000,274.799988,274.799988,4400
2010-11-17,274.799988,279.600006,269.399994,272.549988,272.549988,1100
2010-11-18,273.750000,294.299988,273.750000,294.299988,294.299988,1800
2010-11-19,298.649994,298.649994,283.950012,290.100006,290.100006,4400
2010-11-22,289.799988,301.649994,287.700012,290.399994,290.399994,4100
2010-11-23,288.899994,303.000000,288.750000,300.149994,300.149994,3500
2010-11-24,303.299988,312.750000,296.850006,305.100006,305.100006,4400
2010-11-26,307.500000,312.600006,302.399994,302.399994,302.399994,1200
2010-11-29,305.100006,311.850006,298.950012,298.950012,298.950012,1900
2010-11-30,297.450012,312.750000,292.649994,308.700012,308.700012,4000
2010-12-01,310.500000,326.100006,301.200012,323.700012,323.700012,5900
2010-12-02,322.500000,326.549988,315.600006,320.100006,320.100006,2500
2010-12-03,322.500000,322.500000,318.000000,322.500000,322.500000,1600
2010-12-06,322.500000,343.799988,321.299988,340.950012,340.950012,7600
2010-12-07,355.200012,364.950012,337.350006,357.149994,357.149994,2300
2010-12-08,363.000000,363.000000,346.500000,351.299988,351.299988,4100
2010-12-09,351.149994,353.549988,340.200012,352.799988,352.799988,1600
2010-12-10,354.750000,363.000000,351.299988,363.000000,363.000000,2900
2010-12-13,363.000000,363.899994,343.350006,347.250000,347.250000,3400
2010-12-14,352.950012,352.950012,326.549988,333.450012,333.450012,3400
2010-12-15,331.500000,334.500000,316.950012,321.600006,321.600006,2400
2010-12-16,325.649994,334.500000,308.100006,333.600006,333.600006,2800
2010-12-17,337.500000,337.500000,317.250000,329.549988,329.549988,40500
2010-12-20,362.850006,362.850006,323.850006,346.049988,346.049988,2900
2010-12-21,348.299988,358.049988,336.299988,339.899994,339.899994,3700
2010-12-22,343.350006,368.250000,339.000000,362.700012,362.700012,6700
2010-12-23,360.000000,363.000000,345.299988,361.649994,361.649994,3200
2010-12-27,359.399994,365.700012,357.450012,359.250000,359.250000,1200
2010-12-28,355.500000,366.000000,351.000000,362.250000,362.250000,2500
2010-12-29,374.549988,420.750000,374.549988,408.750000,408.750000,18000
2010-12-30,412.350006,412.500000,395.850006,399.450012,399.450012,36800
2010-12-31,400.500000,412.500000,398.549988,400.200012,400.200012,12300
2011-01-03,408.899994,412.799988,401.250000,409.200012,409.200012,6300
