Date,Open,High,Low,Close,Adj Close,Volume
1997-03-04,1.354167,1.697917,1.354167,1.625000,1.001563,35643600
1997-03-05,1.645833,1.875000,1.645833,1.770833,1.091447,5865600
1997-03-06,1.812500,1.812500,1.666667,1.697917,1.046505,3732000
1997-03-07,1.750000,1.750000,1.687500,1.750000,1.078606,2058000
1997-03-10,1.708333,1.750000,1.687500,1.718750,1.059346,771600
1997-03-11,1.718750,1.750000,1.697917,1.697917,1.046505,164400
1997-03-12,1.750000,1.750000,1.708333,1.750000,1.078606,934800
1997-03-13,1.687500,1.770833,1.687500,1.739583,1.072186,571200
1997-03-14,1.770833,1.791667,1.718750,1.729167,1.065766,895200
1997-03-17,1.770833,1.770833,1.708333,1.708333,1.052925,912000
1997-03-18,1.708333,1.739583,1.687500,1.687500,1.040084,1504800
1997-03-19,1.687500,1.729167,1.520833,1.572917,0.969462,2442000
1997-03-20,1.562500,1.583333,1.520833,1.541667,0.950201,368400
1997-03-21,1.520833,1.572917,1.458333,1.500000,0.924520,648000
1997-03-24,1.458333,1.510417,1.437500,1.437500,0.885998,958800
1997-03-25,1.437500,1.489583,1.437500,1.479167,0.911679,70800
1997-03-26,1.500000,1.500000,1.375000,1.395833,0.860317,1124400
1997-03-27,1.416667,1.437500,1.395833,1.437500,0.885998,906000
1997-03-31,1.395833,1.401042,1.302083,1.302083,0.802535,476400
1997-04-01,1.364583,1.427083,1.302083,1.427083,0.879578,201600
1997-04-02,1.458333,1.479167,1.395833,1.395833,0.860317,818400
1997-04-03,1.437500,1.437500,1.281250,1.354167,0.834636,1742400
1997-04-04,1.333333,1.354167,1.333333,1.333333,0.821795,274800
1997-04-07,1.354167,1.354167,1.197917,1.250000,0.770433,806400
1997-04-08,1.270833,1.270833,1.229167,1.270833,0.783274,424800
1997-04-09,1.270833,1.270833,1.135417,1.135417,0.699810,501600
1997-04-10,1.135417,1.177083,1.062500,1.156250,0.712651,736800
1997-04-11,1.145833,1.145833,1.083333,1.145833,0.706230,2970000
1997-04-14,1.135417,1.166667,1.083333,1.166667,0.719071,184800
1997-04-15,1.208333,1.250000,1.125000,1.125000,0.693390,522000
1997-04-16,1.166667,1.187500,1.125000,1.166667,0.719071,748800
1997-04-17,1.166667,1.166667,1.104167,1.125000,0.693390,396000
1997-04-18,1.166667,1.166667,1.125000,1.166667,0.719071,506400
1997-04-21,1.166667,1.166667,1.125000,1.145833,0.706230,442800
1997-04-22,1.125000,1.166667,1.125000,1.145833,0.706230,42000
1997-04-23,1.125000,1.333333,1.125000,1.239583,0.764013,1293600
1997-04-24,1.250000,1.250000,1.145833,1.156250,0.712651,582000
1997-04-25,1.187500,1.187500,0.979167,1.041667,0.642027,4603200
1997-04-28,1.041667,1.052083,1.000000,1.010417,0.622767,745200
1997-04-29,1.052083,1.062500,1.031250,1.062500,0.654868,202800
1997-04-30,1.062500,1.062500,1.010417,1.041667,0.642027,369600
1997-05-01,1.041667,1.041667,0.979167,1.041667,0.642027,508800
1997-05-02,1.041667,1.083333,1.036458,1.083333,0.667709,1406400
1997-05-05,1.052083,1.125000,1.052083,1.088542,0.670919,1856400
1997-05-06,1.114583,1.145833,1.031250,1.135417,0.699810,1696800
1997-05-07,1.166667,1.166667,1.135417,1.145833,0.706230,499200
1997-05-08,1.135417,1.145833,1.125000,1.125000,0.693390,441600
1997-05-09,1.145833,1.166667,1.125000,1.166667,0.719071,348000
1997-05-12,1.166667,1.187500,1.145833,1.145833,0.706230,208800
1997-05-13,1.145833,1.166667,1.135417,1.166667,0.719071,951600
1997-05-14,1.166667,1.187500,1.156250,1.166667,0.719071,406800
1997-05-15,1.156250,1.197917,1.156250,1.166667,0.719071,604800
1997-05-16,1.187500,1.187500,1.145833,1.166667,0.719071,567600
1997-05-19,1.166667,1.166667,1.125000,1.145833,0.706230,267600
1997-05-20,1.156250,1.166667,1.125000,1.166667,0.719071,560400
1997-05-21,1.187500,1.187500,1.135417,1.166667,0.719071,273600
1997-05-22,1.125000,1.166667,1.125000,1.135417,0.699810,44400
1997-05-23,1.125000,1.166667,1.114583,1.135417,0.699810,472800
1997-05-27,1.135417,1.135417,1.125000,1.135417,0.699810,112800
1997-05-28,1.135417,1.166667,1.125000,1.145833,0.706230,574800
1997-05-29,1.145833,1.166667,1.145833,1.156250,0.712651,164400
1997-05-30,1.145833,1.166667,1.125000,1.166667,0.719071,176400
1997-06-02,1.166667,1.218750,1.156250,1.208333,0.744752,304800
1997-06-03,1.218750,1.333333,1.208333,1.281250,0.789694,1363200
1997-06-04,1.281250,1.531250,1.281250,1.479167,0.911679,1920000
1997-06-05,1.479167,1.479167,1.364583,1.411458,0.869947,2150400
1997-06-06,1.416667,1.416667,1.385417,1.406250,0.866737,238800
1997-06-09,1.416667,1.416667,1.385417,1.385417,0.853897,523200
1997-06-10,1.385417,1.416667,1.385417,1.406250,0.866737,300000
1997-06-11,1.406250,1.406250,1.333333,1.333333,0.821795,477600
1997-06-12,1.333333,1.375000,1.322917,1.364583,0.841056,408000
1997-06-13,1.375000,1.385417,1.343750,1.385417,0.853897,414000
1997-06-16,1.385417,1.416667,1.364583,1.416667,0.873157,1394400
1997-06-17,1.406250,1.414063,1.385417,1.385417,0.853897,1321200
1997-06-18,1.385417,1.395833,1.333333,1.333333,0.821795,1774800
1997-06-19,1.354167,1.354167,1.322917,1.322917,0.815375,1465200
1997-06-20,1.312500,1.343750,1.281250,1.322917,0.815375,742800
1997-06-23,1.291667,1.312500,1.291667,1.302083,0.802535,636000
1997-06-24,1.302083,1.333333,1.291667,1.312500,0.808955,1156800
1997-06-25,1.333333,1.354167,1.302083,1.333333,0.821795,1248000
1997-06-26,1.343750,1.343750,1.286458,1.322917,0.815375,896400
1997-06-27,1.333333,1.343750,1.322917,1.328125,0.818585,327600
1997-06-30,1.333333,1.338542,1.302083,1.312500,0.808955,357600
1997-07-01,1.317708,1.317708,1.270833,1.286458,0.792904,422400
1997-07-02,1.260417,1.270833,1.229167,1.265625,0.780063,584400
1997-07-03,1.265625,1.265625,1.250000,1.255208,0.773643,488400
1997-07-07,1.265625,1.291667,1.250000,1.270833,0.783274,429600
1997-07-08,1.260417,1.270833,1.218750,1.260417,0.776853,584400
1997-07-09,1.260417,1.375000,1.239583,1.322917,0.815375,1202400
1997-07-10,1.333333,1.458333,1.333333,1.354167,0.834636,1538400
1997-07-11,1.395833,1.416667,1.354167,1.395833,0.860317,402000
1997-07-14,1.395833,1.395833,1.333333,1.354167,0.834636,1221600
1997-07-15,1.359375,1.364583,1.281250,1.302083,0.802535,1046400
1997-07-16,1.291667,1.416667,1.291667,1.354167,0.834636,1792800
1997-07-17,1.354167,1.447917,1.333333,1.395833,0.860317,1176000
1997-07-18,1.395833,1.416667,1.385417,1.416667,0.873157,356400
1997-07-21,1.416667,1.500000,1.395833,1.500000,0.924520,554400
1997-07-22,1.479167,1.562500,1.479167,1.520833,0.937360,1308000
1997-07-23,1.479167,1.500000,1.322917,1.354167,0.834636,2751600
