Date,Open,High,Low,Close,Adj Close,Volume
2014-05-15,5.720000,6.000000,5.720000,5.720000,5.720000,8600
2014-05-16,5.720000,6.400000,5.000000,5.825000,5.825000,16400
2014-05-19,5.820000,5.990000,5.010000,5.500000,5.500000,10100
2014-05-20,5.020000,5.240000,5.000000,5.240000,5.240000,3800
2014-05-21,5.000000,5.000000,5.000000,5.000000,5.000000,3100
2014-05-22,4.980000,5.400000,4.980000,5.250000,5.250000,36600
2014-05-23,5.250000,5.350000,5.100000,5.350000,5.350000,6600
2014-05-27,5.400000,5.750000,5.310000,5.750000,5.750000,24600
2014-05-28,5.750000,5.800000,5.750000,5.800000,5.800000,14300
2014-05-29,5.800000,6.190000,5.800000,6.190000,6.190000,38900
2014-05-30,6.190000,6.440000,5.940000,6.050000,6.050000,19700
2014-06-02,6.050000,6.350000,6.000000,6.210000,6.210000,17900
2014-06-03,6.350000,7.490000,6.350000,6.900000,6.900000,81800
2014-06-04,7.100000,7.150000,5.660000,6.600000,6.600000,75700
2014-06-05,6.590000,7.450000,6.230000,7.010000,7.010000,48000
2014-06-06,7.115000,7.200000,6.850000,7.100000,7.100000,33300
2014-06-09,7.490000,7.490000,7.000000,7.300000,7.300000,90600
2014-06-10,7.380000,8.290000,7.200000,7.760000,7.760000,98600
2014-06-11,8.330000,8.330000,7.710000,7.980000,7.980000,61400
2014-06-12,8.060000,8.470000,8.040000,8.470000,8.470000,39200
2014-06-13,8.450000,8.450000,7.740000,7.750000,7.750000,76400
2014-06-16,7.800000,8.500000,7.770000,8.500000,8.500000,93200
2014-06-17,8.300000,8.310000,7.990000,8.080000,8.080000,125500
2014-06-18,8.360000,9.400000,8.300000,9.380000,9.380000,271200
2014-06-19,9.450000,10.440000,9.400000,10.380000,10.380000,384200
2014-06-20,10.310000,10.900000,10.050000,10.800000,10.800000,234100
2014-06-23,10.840000,11.200000,10.000000,10.170000,10.170000,205400
2014-06-24,10.210000,10.210000,8.750000,8.900000,8.900000,270100
2014-06-25,8.960000,9.930000,8.960000,9.150000,9.150000,76100
2014-06-26,9.470000,9.680000,9.100000,9.200000,9.200000,44500
2014-06-27,9.390000,9.390000,8.810000,8.976000,8.976000,52100
2014-06-30,9.370000,9.550000,9.030000,9.540000,9.540000,61900
2014-07-01,9.590000,10.550000,9.590000,10.200000,10.200000,98900
2014-07-02,10.680000,10.680000,10.040000,10.190000,10.190000,49200
2014-07-03,10.040000,10.506000,10.040000,10.200000,10.200000,30800
2014-07-07,10.220000,10.300000,9.750000,10.020000,10.020000,73300
2014-07-08,10.120000,10.120000,9.750000,9.770000,9.770000,20700
2014-07-09,9.750000,9.752000,9.300000,9.610000,9.610000,35700
2014-07-10,9.640000,9.640000,9.320000,9.500000,9.500000,14400
2014-07-11,9.310000,9.800000,9.221000,9.740000,9.740000,29800
2014-07-14,9.730000,9.860000,9.500000,9.800000,9.800000,57200
2014-07-15,9.860000,11.000000,9.725000,10.510000,10.510000,124100
2014-07-16,10.550000,12.790000,10.540000,12.160000,12.160000,799200
2014-07-17,11.680000,12.870000,11.680000,12.400000,12.400000,192000
2014-07-18,13.030000,13.030000,12.210000,12.350000,12.350000,53300
2014-07-21,12.250000,13.290000,12.250000,12.780000,12.780000,96700
2014-07-22,12.970000,13.090000,12.380000,12.640000,12.640000,89000
2014-07-23,13.100000,13.100000,12.350000,12.750000,12.750000,65300
2014-07-24,12.850000,12.900000,12.510000,12.750000,12.750000,31700
2014-07-25,12.800000,12.800000,11.750000,11.780000,11.780000,93300
2014-07-28,11.200000,11.290000,10.010000,10.010000,10.010000,129600
2014-07-29,10.170000,11.480000,10.170000,10.630000,10.630000,58100
2014-07-30,10.830000,11.160000,10.030000,10.710000,10.710000,35800
2014-07-31,10.510000,10.610000,9.920000,9.970000,9.970000,56300
2014-08-01,9.800000,10.769000,9.800000,10.570000,10.570000,81400
2014-08-04,10.730000,11.250000,10.440000,10.900000,10.900000,171700
2014-08-05,10.650000,11.650000,10.400000,10.400000,10.400000,87800
2014-08-06,10.550000,11.180000,9.600000,10.340000,10.340000,212100
2014-08-07,10.250000,10.940000,9.350000,9.370000,9.370000,337100
2014-08-08,9.560000,9.970000,8.770000,8.830000,8.830000,318400
2014-08-11,8.760000,8.880000,6.570000,6.710000,6.710000,885700
2014-08-12,6.090000,8.080000,6.050000,7.690000,7.690000,466600
2014-08-13,7.610000,9.570000,7.500000,9.360000,9.360000,411800
2014-08-14,9.500000,9.860000,9.000000,9.080000,9.080000,214100
2014-08-15,9.030000,9.450000,8.820000,9.450000,9.450000,100800
2014-08-18,9.250000,9.810000,9.000000,9.310000,9.310000,65800
2014-08-19,9.300000,9.750000,9.300000,9.700000,9.700000,41100
2014-08-20,9.910000,10.420000,9.770000,10.330000,10.330000,112100
2014-08-21,10.420000,10.700000,10.185000,10.240000,10.240000,83700
2014-08-22,10.100000,10.650000,9.510000,9.800000,9.800000,156600
2014-08-25,10.100000,10.600000,9.350000,9.350000,9.350000,47900
2014-08-26,9.200000,9.740000,9.120000,9.590000,9.590000,64200
2014-08-27,9.500000,9.900000,9.313000,9.390000,9.390000,58300
2014-08-28,9.410000,9.749000,9.250000,9.490000,9.490000,73900
2014-08-29,9.360000,9.710000,9.270000,9.460000,9.460000,19600
2014-09-02,9.240000,9.580000,9.140000,9.290000,9.290000,85200
