Date,Open,High,Low,Close,Adj Close,Volume
2012-07-31,25.120001,25.120001,24.870001,24.950001,15.167581,10000
2012-08-01,24.930000,25.080000,24.930000,24.959999,15.173663,55000
2012-08-02,25.120001,25.120001,24.770000,24.770000,15.058158,13400
2012-08-03,24.850000,24.860001,24.650000,24.850000,15.106793,3600
2012-08-06,24.850000,24.850000,24.850000,24.850000,15.106793,0
2012-08-07,24.969999,25.030001,24.950001,24.969999,15.179737,4700
2012-08-08,25.600000,25.600000,24.809999,24.809999,15.082475,500
2012-08-09,24.820000,24.920000,24.820000,24.860001,15.112870,21100
2012-08-10,24.889999,24.990000,24.889999,24.990000,15.191899,7400
2012-08-13,24.879999,24.879999,24.870001,24.879999,15.125025,900
2012-08-14,24.910000,24.910000,24.910000,24.910000,15.143262,300
2012-08-15,24.990000,25.129999,24.980000,25.080000,15.246614,12600
2012-08-16,25.070000,25.260000,25.070000,25.240000,15.343880,2400
2012-08-17,25.860001,25.860001,25.219999,25.260000,15.356040,14000
2012-08-20,25.790001,25.790001,25.290001,25.290001,15.374280,6700
2012-08-21,25.290001,25.290001,25.180000,25.180000,15.307405,9300
2012-08-22,25.129999,25.129999,25.040001,25.110001,15.264853,9300
2012-08-23,25.660000,25.660000,24.930000,25.000000,15.197973,19800
2012-08-24,24.790001,24.790001,24.570000,24.620001,15.181945,23800
2012-08-27,24.860001,24.860001,24.629999,24.639999,15.194281,4700
2012-08-28,24.930000,24.930000,24.719999,24.820000,15.305275,57400
2012-08-29,24.820000,24.840000,24.820000,24.840000,15.317614,11500
2012-08-30,24.780001,24.830000,24.780001,24.830000,15.311443,14600
2012-08-31,24.820000,25.180000,24.809999,24.959999,15.391602,48400
2012-09-04,25.219999,25.219999,24.910000,25.070000,15.459440,34000
2012-09-05,25.000000,25.059999,24.820000,24.959999,15.391602,19000
2012-09-06,25.180000,25.180000,24.900000,25.150000,15.508766,38900
2012-09-07,24.900000,24.959999,24.900000,24.959999,15.391602,11400
2012-09-10,25.120001,25.120001,24.950001,24.950001,15.385443,29600
2012-09-11,24.940001,24.940001,24.840000,24.889999,15.348442,36000
2012-09-12,25.190001,25.190001,24.860001,25.020000,15.428608,35500
2012-09-13,24.980000,25.190001,24.969999,25.150000,15.508766,8600
2012-09-14,25.459999,25.700001,25.240000,25.700001,15.847934,24200
2012-09-17,25.450001,25.660000,25.450001,25.459999,15.699935,11700
2012-09-18,25.459999,25.459999,25.330000,25.370001,15.644433,71100
2012-09-19,25.389999,25.410000,25.350000,25.389999,15.656769,32300
2012-09-20,25.230000,25.420000,25.230000,25.420000,15.675266,18100
2012-09-21,25.480000,25.530001,25.430000,25.450001,15.693769,8400
2012-09-24,25.610001,25.610001,25.410000,25.510000,15.730763,2900
2012-09-25,25.850000,25.850000,25.320000,25.320000,15.613601,40000
2012-09-26,25.250000,25.250000,25.170000,25.170000,15.521102,12900
2012-09-27,25.309999,25.389999,25.280001,25.389999,15.656769,42300
2012-09-28,25.410000,25.459999,25.240000,25.459999,15.699935,10100
2012-10-01,25.650000,25.930000,25.650000,25.930000,15.989762,12000
2012-10-02,25.760000,25.980000,25.680000,25.980000,16.020592,27500
2012-10-03,26.049999,26.049999,25.660000,25.809999,15.915760,11600
2012-10-04,25.820000,25.930000,25.820000,25.900000,15.971259,4700
2012-10-05,26.100000,26.270000,26.040001,26.270000,16.199421,8700
2012-10-08,26.459999,26.459999,25.969999,26.000000,16.032921,1800
2012-10-09,26.040001,26.070000,25.940001,25.940001,15.995928,13600
2012-10-10,25.900000,25.900000,25.730000,25.870001,15.952757,18700
2012-10-11,25.850000,25.850000,25.660000,25.660000,15.823263,6800
2012-10-12,25.719999,25.719999,25.629999,25.660000,15.823263,32400
2012-10-15,25.690001,25.709999,25.610001,25.709999,15.854098,5300
2012-10-16,25.790001,25.930000,25.750000,25.930000,15.989762,23600
2012-10-17,26.040001,26.100000,26.040001,26.059999,16.069925,31900
2012-10-18,26.070000,26.100000,25.940001,25.959999,16.008257,40500
2012-10-19,25.629999,25.700001,25.620001,25.650000,15.817097,6500
2012-10-22,25.820000,25.860001,25.709999,25.730000,15.866427,8200
2012-10-23,25.629999,25.680000,25.469999,25.660000,15.823263,14300
2012-10-24,25.809999,25.889999,25.740000,25.740000,15.872594,10100
2012-10-25,25.850000,26.000000,25.760000,26.000000,16.032921,4200
2012-10-26,25.620001,25.620001,25.420000,25.420000,15.675266,13600
2012-10-31,25.799999,25.799999,25.350000,25.540001,15.749265,18500
2012-11-01,25.629999,25.860001,25.590000,25.860001,15.946588,23100
2012-11-02,25.770000,25.770000,25.620001,25.639999,15.810931,12400
2012-11-05,25.610001,25.620001,25.490000,25.559999,15.761599,20800
2012-11-06,25.750000,25.889999,25.610001,25.889999,15.965095,56100
2012-11-07,25.410000,25.600000,25.270000,25.580000,15.773932,49900
2012-11-08,25.559999,25.559999,25.309999,25.370001,15.644433,41800
2012-11-09,25.180000,25.180000,24.980000,25.020000,15.428608,58900
2012-11-12,25.020000,25.020000,24.440001,24.510000,15.114116,45200
2012-11-13,24.110001,24.540001,24.080000,24.540001,15.132615,47800
2012-11-14,24.650000,24.690001,24.010000,24.129999,14.879786,109700
2012-11-15,24.389999,24.389999,23.389999,23.730000,14.633126,19800
2012-11-16,23.750000,24.580000,23.750000,24.580000,15.157284,52500
2012-11-19,24.980000,24.980000,24.719999,24.860001,15.329942,20600
2012-11-20,24.900000,24.910000,24.760000,24.870001,15.336107,24000
2012-11-21,24.930000,24.990000,24.790001,24.990000,15.410105,20500
2012-11-23,25.000000,25.129999,25.000000,25.100000,15.477939,5100
2012-11-26,25.070000,25.160000,24.820000,24.820000,15.305275,11000
2012-11-27,24.900000,24.900000,24.650000,24.780001,15.484616,20400
2012-11-28,24.730000,24.990000,24.719999,24.990000,15.615840,20000
2012-11-29,24.990000,25.110001,24.950001,25.040001,15.647082,29200
2012-11-30,25.049999,25.049999,24.900000,25.030001,15.640841,36100
2012-12-03,25.020000,25.090000,24.750000,24.750000,15.465870,15200
2012-12-04,24.780001,24.790001,24.450001,24.580000,15.359639,36200
2012-12-05,24.530001,24.530001,24.250000,24.280001,15.172179,68200
2012-12-06,24.450001,24.750000,24.190001,24.410000,15.253403,46300
2012-12-07,24.309999,24.309999,24.160000,24.230000,15.140930,4900
2012-12-10,24.510000,24.510000,24.330000,24.330000,15.203421,4700
2012-12-11,24.340000,24.540001,24.209999,24.540001,15.334646,24000
2012-12-12,24.350000,24.350000,24.040001,24.040001,15.022204,7500
2012-12-13,24.000000,24.000000,23.719999,23.980000,14.984709,228000
2012-12-14,24.049999,24.090000,23.840000,24.000000,14.997206,130600
2012-12-17,23.889999,23.940001,23.870001,23.879999,14.922218,84300
2012-12-18,23.990000,24.360001,23.990000,24.180000,15.109690,156600
2012-12-19,24.370001,24.580000,24.250000,24.549999,15.340891,119300
2012-12-20,24.469999,24.799999,24.450001,24.799999,15.497117,72500
2012-12-21,24.750000,24.750000,24.330000,24.389999,15.240916,189400
2012-12-24,24.330000,24.430000,24.240000,24.260000,15.159678,94400
2012-12-26,24.420000,24.420000,23.969999,23.969999,14.978463,150300
2012-12-27,24.110001,24.110001,23.719999,24.030001,15.015953,35600
2012-12-28,23.799999,23.990000,23.780001,23.950001,14.965965,27000
2012-12-31,23.809999,24.260000,23.809999,24.250000,15.153429,42400
2013-01-02,24.490000,25.139999,24.490000,25.139999,15.709574,70300
2013-01-03,25.260000,25.490000,25.260000,25.330000,15.828300,7000
2013-01-04,25.410000,25.570000,25.410000,25.500000,15.934527,2100
