Date,Open,High,Low,Close,Adj Close,Volume
1986-07-18,0.000000,6.818182,6.704545,6.704545,5.854430,1619200
1986-07-21,0.000000,6.250000,6.136364,6.136364,5.358292,456400
1986-07-22,0.000000,6.363636,6.250000,6.250000,5.457519,214200
1986-07-23,0.000000,6.363636,6.250000,6.250000,5.457519,115400
1986-07-24,0.000000,6.250000,6.136364,6.136364,5.358292,76200
1986-07-25,0.000000,6.250000,6.136364,6.136364,5.358292,237600
1986-07-28,0.000000,6.250000,6.136364,6.136364,5.358292,88000
1986-07-29,0.000000,6.136364,5.909091,5.909091,5.159837,55600
1986-07-30,0.000000,5.454545,5.227273,5.227273,4.564468,106000
1986-07-31,0.000000,6.022727,5.795455,5.795455,5.060606,84000
1986-08-01,0.000000,6.022727,5.795455,5.795455,5.060606,14000
1986-08-04,0.000000,5.795455,5.681818,5.681818,4.961378,39800
1986-08-05,0.000000,5.909091,5.681818,5.909091,5.159837,11000
1986-08-06,0.000000,5.909091,5.681818,5.681818,4.961378,18600
1986-08-07,0.000000,5.909091,5.568182,5.568182,4.862154,67600
1986-08-08,0.000000,5.795455,5.340909,5.340909,4.663698,98400
1986-08-11,0.000000,5.568182,5.227273,5.340909,4.663698,12800
1986-08-12,0.000000,5.568182,5.340909,5.340909,4.663698,37600
1986-08-13,0.000000,5.568182,5.340909,5.454545,4.762926,60200
1986-08-14,0.000000,5.909091,5.511364,5.681818,4.961378,143400
1986-08-15,0.000000,6.250000,5.795455,6.136364,5.358292,217800
1986-08-18,0.000000,6.306818,6.022727,6.306818,5.507132,22200
1986-08-19,0.000000,6.363636,6.136364,6.136364,5.358292,53200
1986-08-20,0.000000,6.363636,6.136364,6.363636,5.556745,21200
1986-08-21,0.000000,6.363636,6.022727,6.022727,5.259065,30000
1986-08-22,0.000000,6.022727,5.909091,5.909091,5.159837,12400
1986-08-25,0.000000,6.136364,5.909091,6.136364,5.358292,5000
1986-08-26,0.000000,6.136364,5.909091,5.909091,5.159837,48000
1986-08-27,0.000000,6.136364,5.909091,6.022727,5.259065,75000
1986-08-28,0.000000,6.022727,5.909091,6.022727,5.259065,43000
