Date,Open,High,Low,Close,Adj Close,Volume
2020-01-29,6.630000,10.610000,6.510000,9.590000,9.590000,3386600
2020-01-30,9.000000,9.400000,6.620000,7.010000,7.010000,938800
2020-01-31,6.980000,7.300000,6.100000,6.520000,6.520000,402100
2020-02-03,7.150000,7.700000,6.700000,7.250000,7.250000,341100
2020-02-04,7.180000,7.180000,6.120000,6.120000,6.120000,265700
2020-02-05,6.420000,6.550000,5.670000,6.020000,6.020000,334600
2020-02-06,6.060000,6.670000,6.050000,6.160000,6.160000,76400
2020-02-07,6.150000,6.150000,5.570000,5.590000,5.590000,104400
2020-02-10,5.580000,5.780000,5.250000,5.250000,5.250000,74500
2020-02-11,5.250000,5.450000,5.000000,5.220000,5.220000,95100
2020-02-12,5.170000,6.000000,5.170000,5.650000,5.650000,112000
2020-02-13,5.880000,7.350000,5.420000,6.200000,6.200000,672100
2020-02-14,6.160000,6.830000,6.000000,6.750000,6.750000,156200
2020-02-18,6.660000,6.660000,5.500000,6.090000,6.090000,117300
2020-02-19,6.000000,6.120000,5.760000,5.870000,5.870000,43800
2020-02-20,5.980000,6.240000,5.610000,6.000000,6.000000,123300
2020-02-21,5.940000,6.010000,5.750000,5.760000,5.760000,33600
2020-02-24,5.510000,5.720000,5.120000,5.380000,5.380000,65600
2020-02-25,5.370000,5.620000,5.300000,5.420000,5.420000,27200
2020-02-26,5.500000,5.880000,4.730000,4.790000,4.790000,80400
2020-02-27,4.510000,5.290000,4.510000,4.980000,4.980000,72300
2020-02-28,4.980000,4.980000,4.500000,4.850000,4.850000,62300
2020-03-02,4.750000,5.280000,4.750000,5.170000,5.170000,39300
2020-03-03,5.250000,5.490000,4.820000,5.440000,5.440000,50500
2020-03-04,5.440000,5.440000,4.800000,5.030000,5.030000,24700
2020-03-05,5.090000,5.090000,4.800000,5.090000,5.090000,40100
2020-03-06,4.950000,4.970000,4.670000,4.720000,4.720000,32100
2020-03-09,4.550000,4.680000,4.110000,4.390000,4.390000,73400
2020-03-10,4.280000,4.360000,4.030000,4.360000,4.360000,2600
2020-03-11,4.400000,4.400000,4.050000,4.200000,4.200000,25500
2020-03-12,4.040000,4.040000,3.540000,3.570000,3.570000,32300
2020-03-13,3.500000,3.990000,3.480000,3.990000,3.990000,28300
2020-03-16,3.500000,3.750000,3.160000,3.310000,3.310000,44500
2020-03-17,3.590000,3.600000,3.110000,3.200000,3.200000,14800
2020-03-18,3.020000,3.110000,2.860000,2.860000,2.860000,17200
2020-03-19,2.770000,2.970000,2.660000,2.660000,2.660000,32500
2020-03-20,2.660000,3.000000,2.500000,2.800000,2.800000,29900
2020-03-23,2.850000,2.850000,2.420000,2.750000,2.750000,17300
2020-03-24,2.890000,3.640000,2.800000,3.410000,3.410000,41200
2020-03-25,3.640000,3.850000,3.410000,3.550000,3.550000,13800
2020-03-26,3.660000,3.820000,3.550000,3.630000,3.630000,6900
2020-03-27,3.630000,3.710000,3.550000,3.550000,3.550000,3000
2020-03-30,3.210000,3.440000,3.210000,3.440000,3.440000,7200
2020-03-31,3.270000,3.370000,2.800000,3.000000,3.000000,10800
2020-04-01,2.750000,3.200000,2.650000,3.190000,3.190000,13400
2020-04-02,3.220000,3.220000,2.500000,2.500000,2.500000,3500
2020-04-03,3.070000,3.340000,2.670000,3.070000,3.070000,27300
2020-04-06,3.250000,3.700000,2.820000,2.820000,2.820000,33400
2020-04-07,3.050000,3.200000,2.830000,2.950000,2.950000,7200
2020-04-08,3.380000,3.380000,3.000000,3.130000,3.130000,2400
2020-04-09,3.490000,3.580000,2.900000,3.130000,3.130000,26200
2020-04-13,3.100000,3.120000,2.930000,2.930000,2.930000,5800
2020-04-14,3.270000,3.300000,3.080000,3.100000,3.100000,22000
2020-04-15,3.210000,4.000000,3.200000,3.800000,3.800000,58700
2020-04-16,3.870000,4.060000,3.700000,3.700000,3.700000,55700
2020-04-17,4.110000,4.110000,3.650000,3.800000,3.800000,19800
2020-04-20,3.560000,3.910000,3.560000,3.750000,3.750000,25600
2020-04-21,3.800000,3.900000,3.600000,3.800000,3.800000,17200
2020-04-22,3.830000,4.000000,3.790000,3.880000,3.880000,30500
2020-04-23,4.260000,4.690000,3.730000,3.890000,3.890000,219000
2020-04-24,3.790000,3.890000,3.750000,3.890000,3.890000,19100
2020-04-27,4.280000,4.280000,3.850000,3.920000,3.920000,31200
2020-04-28,3.950000,4.000000,3.700000,3.800000,3.800000,18800
2020-04-29,3.860000,3.870000,3.330000,3.660000,3.660000,20300
2020-04-30,3.750000,3.850000,3.690000,3.850000,3.850000,36900
2020-05-01,3.390000,3.900000,3.390000,3.700000,3.700000,23000
2020-05-04,3.340000,3.660000,3.340000,3.650000,3.650000,8100
2020-05-05,3.490000,3.710000,3.490000,3.620000,3.620000,9000
2020-05-06,3.680000,3.680000,3.490000,3.670000,3.670000,2400
2020-05-07,3.670000,3.870000,3.560000,3.560000,3.560000,23900
