Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.559404,3.607504,3.511303,3.559404,1.348674,22000
1979-05-16,3.583454,3.823954,3.583454,3.799904,1.439801,65600
1979-05-17,3.799904,3.848004,3.799904,3.848004,1.458026,57200
1979-05-18,3.848004,3.992304,3.848004,3.968254,1.503590,118600
1979-05-21,3.968254,4.064454,3.920154,4.040404,1.530928,106200
1979-05-22,4.040404,4.136604,4.040404,4.088504,1.549153,127000
1979-05-23,4.088504,4.088504,3.968254,3.968254,1.503590,85400
1979-05-24,3.968254,3.992304,3.872054,3.920154,1.485365,80200
1979-05-25,3.920154,3.992304,3.872054,3.968254,1.503590,63200
1979-05-29,3.968254,4.184704,3.968254,4.112554,1.558266,122800
1979-05-30,4.184704,4.377104,4.184704,4.353055,1.649392,113600
1979-05-31,4.329004,4.329004,4.256854,4.329004,1.640280,80200
1979-06-01,4.329004,4.377104,4.329004,4.329004,1.640280,103000
1979-06-04,4.329004,4.449255,4.329004,4.425204,1.676731,70600
1979-06-05,4.449255,4.641654,4.449255,4.569505,1.731406,135800
1979-06-06,4.617605,4.761905,4.617605,4.665705,1.767857,147800
1979-06-07,4.665705,4.737855,4.641654,4.641654,1.758744,141400
1979-06-08,4.641654,4.713805,4.521405,4.593554,1.740519,53200
1979-06-11,4.593554,4.641654,4.521405,4.617605,1.749632,48600
1979-06-12,4.617605,4.641654,4.569505,4.593554,1.740519,47800
1979-06-13,4.593554,4.617605,4.425204,4.473304,1.694955,75600
1979-06-14,4.473304,4.545455,4.377104,4.473304,1.694955,58200
1979-06-15,4.521405,4.689754,4.521405,4.617605,1.749632,106800
1979-06-18,4.617605,4.617605,4.521405,4.569505,1.731406,34600
1979-06-19,4.569505,4.617605,4.521405,4.617605,1.749632,113600
1979-06-20,4.617605,4.689754,4.617605,4.641654,1.758744,151800
1979-06-21,4.641654,4.641654,4.545455,4.593554,1.740519,388800
1979-06-22,4.593554,4.593554,4.497355,4.569505,1.731406,69800
1979-06-25,4.569505,4.569505,4.280904,4.377104,1.658505,73400
1979-06-26,4.377104,4.473304,4.353055,4.401155,1.667618,77000
1979-06-27,4.401155,4.521405,4.401155,4.449255,1.685843,123800
