Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,14.500000,14.900000,13.150000,14.030000,14.030000,2297000
2017-11-10,13.900000,14.190000,13.560000,14.000000,14.000000,183100
2017-11-13,14.020000,14.140000,13.600000,14.100000,14.100000,64400
2017-11-14,14.200000,14.200000,13.700000,13.930000,13.930000,49300
2017-11-15,13.910000,13.950000,13.700000,13.830000,13.830000,85600
2017-11-16,13.910000,13.960000,13.750000,13.820000,13.820000,74900
2017-11-17,13.790000,13.884000,13.770000,13.790000,13.790000,54300
2017-11-20,13.810000,13.950000,13.500000,13.600000,13.600000,80100
2017-11-21,13.590000,13.950000,13.500000,13.580000,13.580000,88600
2017-11-22,13.920000,13.920000,13.310000,13.320000,13.320000,118200
2017-11-24,13.300000,13.810000,13.300000,13.600000,13.600000,49200
2017-11-27,13.660000,14.050000,13.440000,13.650000,13.650000,61700
2017-11-28,13.690000,13.970000,12.953000,13.380000,13.380000,214800
2017-11-29,13.350000,14.000000,12.450000,13.850000,13.850000,215600
2017-11-30,13.870000,14.030000,13.605000,13.820000,13.820000,83200
2017-12-01,13.870000,14.030000,13.750000,14.020000,14.020000,38600
2017-12-04,14.900000,15.410000,13.810000,14.000000,14.000000,323900
2017-12-05,14.040000,14.909000,13.610000,13.730000,13.730000,101600
2017-12-06,13.670000,14.250000,12.820000,13.600000,13.600000,175800
2017-12-07,13.540000,14.560000,12.960000,13.990000,13.990000,408000
2017-12-08,14.080000,15.050000,13.770000,14.380000,14.380000,176400
2017-12-11,14.470000,15.070000,14.300000,14.520000,14.520000,127400
2017-12-12,14.490000,14.490000,12.800000,12.880000,12.880000,175300
2017-12-13,12.800000,13.245000,12.480000,12.710000,12.710000,152600
2017-12-14,12.520000,13.680000,12.500000,13.350000,13.350000,143000
2017-12-15,13.200000,13.620000,12.690000,13.050000,13.050000,1425300
2017-12-18,13.000000,14.900000,13.000000,14.510000,14.510000,134700
2017-12-19,14.480000,14.600000,14.000000,14.380000,14.380000,96700
2017-12-20,14.350000,14.550000,13.840000,14.270000,14.270000,34800
2017-12-21,13.970000,16.809999,13.970000,16.580000,16.580000,382000
2017-12-22,16.540001,18.520000,16.540001,18.450001,18.450001,103800
2017-12-26,18.450001,19.549999,18.219999,18.750000,18.750000,93200
2017-12-27,18.870001,19.610001,18.799999,19.549999,19.549999,96700
2017-12-28,19.459999,20.650000,19.396999,20.530001,20.530001,51300
2017-12-29,20.709999,24.167999,20.709999,21.700001,21.700001,147400
2018-01-02,21.719999,24.392000,19.549999,20.780001,20.780001,186300
2018-01-03,20.860001,23.049999,19.990000,22.639999,22.639999,152500
2018-01-04,22.700001,25.330000,21.180000,24.940001,24.940001,152900
2018-01-05,25.059999,25.490000,23.139999,23.490000,23.490000,100200
2018-01-08,23.559999,23.913000,22.709999,23.000000,23.000000,199900
2018-01-09,22.980000,24.290001,21.549999,21.790001,21.790001,97300
2018-01-10,21.629999,21.629999,20.000000,20.260000,20.260000,361900
2018-01-11,20.180000,20.309999,19.280001,19.900000,19.900000,86200
2018-01-12,19.850000,19.850000,18.870001,18.910000,18.910000,84300
2018-01-16,19.000000,19.129999,17.990000,18.030001,18.030001,127800
2018-01-17,18.059999,20.150999,17.790001,19.500000,19.500000,40300
2018-01-18,19.940001,20.170000,19.440001,19.780001,19.780001,179900
2018-01-19,19.830000,21.180000,18.750000,18.900000,18.900000,49400
2018-01-22,18.860001,21.190001,18.860001,19.000000,19.000000,69200
2018-01-23,18.950001,19.330000,17.879999,17.930000,17.930000,42400
2018-01-24,17.950001,18.014999,17.200001,17.270000,17.270000,27400
2018-01-25,17.299999,18.240000,17.150000,17.309999,17.309999,37600
2018-01-26,17.299999,17.760000,16.950001,17.160000,17.160000,35000
2018-01-29,17.190001,17.370001,16.520000,16.540001,16.540001,248900
2018-01-30,16.450001,18.594999,15.660000,18.270000,18.270000,136700
2018-01-31,18.350000,18.395000,16.500000,16.600000,16.600000,64400
2018-02-01,16.719999,16.910000,16.059999,16.420000,16.420000,51800
2018-02-02,16.290001,16.590000,16.160000,16.450001,16.450001,31100
2018-02-05,16.370001,16.370001,15.450000,15.520000,15.520000,88300
2018-02-06,15.220000,15.510000,14.800000,15.040000,15.040000,53600
2018-02-07,14.950000,15.140000,14.900000,15.090000,15.090000,43400
2018-02-08,16.580000,18.110001,14.955000,15.010000,15.010000,75400
2018-02-09,15.250000,16.010000,14.000000,14.010000,14.010000,107300
2018-02-12,14.140000,14.990000,13.540000,14.930000,14.930000,104800
2018-02-13,14.790000,14.970000,14.100000,14.700000,14.700000,48900
2018-02-14,14.550000,15.300000,14.255000,15.150000,15.150000,51800
2018-02-15,15.310000,16.340000,14.932000,15.940000,15.940000,66000
2018-02-16,15.970000,16.000000,14.200000,14.950000,14.950000,78100
2018-02-20,14.980000,15.420000,14.510000,14.640000,14.640000,38000
2018-02-21,14.740000,15.480000,14.100000,14.770000,14.770000,81500
2018-02-22,14.900000,16.580000,14.800000,15.250000,15.250000,90800
2018-02-23,15.390000,16.440001,15.390000,16.330000,16.330000,73500
2018-02-26,16.500000,19.830000,16.500000,19.170000,19.170000,246100
2018-02-27,19.530001,19.771000,17.680000,18.040001,18.040001,94000
2018-02-28,17.990000,18.759001,17.889999,18.330000,18.330000,38400
2018-03-01,18.002001,19.299999,18.002001,18.530001,18.530001,41900
2018-03-02,18.490000,20.309999,18.299999,20.240000,20.240000,73600
2018-03-05,20.240000,21.500000,19.040001,21.469999,21.469999,135000
2018-03-06,21.480000,22.639999,21.059999,21.940001,21.940001,115000
2018-03-07,21.940001,22.480000,21.879999,22.270000,22.270000,51000
2018-03-08,22.420000,24.100000,22.059999,22.330000,22.330000,180400
2018-03-09,22.330000,22.517000,21.750000,22.260000,22.260000,66700
2018-03-12,22.270000,23.799999,22.270000,23.500000,23.500000,140600
2018-03-13,23.790001,23.799999,21.270000,22.400000,22.400000,209300
2018-03-14,22.790001,25.590000,22.500000,25.230000,25.230000,211100
2018-03-15,25.730000,27.527000,23.882000,24.549999,24.549999,307300
2018-03-16,24.440001,26.040001,23.245001,26.020000,26.020000,355800
2018-03-19,25.920000,26.225000,24.410000,25.639999,25.639999,424200
2018-03-20,25.360001,25.719999,23.091000,24.559999,24.559999,136400
2018-03-21,24.459999,24.629999,23.129999,23.290001,23.290001,160600
2018-03-22,23.240000,24.389999,22.580000,23.740000,23.740000,87200
2018-03-23,24.010000,24.950001,24.000000,24.500000,24.500000,67200
2018-03-26,24.980000,25.423000,23.799999,24.309999,24.309999,51500
2018-03-27,24.400000,25.190001,23.719999,24.270000,24.270000,71600
2018-03-28,24.170000,24.760000,23.700001,24.000000,24.000000,60000
2018-03-29,24.059999,24.090000,21.580000,22.110001,22.110001,294300
2018-04-02,22.049999,22.049999,20.070000,20.420000,20.420000,91200
