Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,12.150000,14.870000,12.110000,14.080000,14.080000,3529100
2015-06-29,13.260000,14.240000,13.260000,13.700000,13.700000,332600
2015-06-30,14.860000,14.860000,13.820000,14.100000,14.100000,98600
2015-07-01,14.800000,14.800000,13.750000,14.000000,14.000000,215800
2015-07-02,14.400000,14.400000,13.750000,13.750000,13.750000,107900
2015-07-06,14.090000,14.090000,13.500000,13.950000,13.950000,19700
2015-07-07,13.730000,15.363000,13.600000,14.570000,14.570000,225000
2015-07-08,14.500000,14.500000,14.150000,14.350000,14.350000,160700
2015-07-09,14.430000,14.430000,13.912000,14.110000,14.110000,58100
2015-07-10,14.360000,14.790000,14.200000,14.790000,14.790000,23200
2015-07-13,14.990000,16.959999,14.530000,16.559999,16.559999,174000
2015-07-14,16.559999,16.575001,15.480000,15.780000,15.780000,69300
2015-07-15,15.580000,17.400000,15.580000,17.350000,17.350000,63000
2015-07-16,17.450001,17.450001,16.969999,17.200001,17.200001,36600
2015-07-17,17.250000,17.379999,16.500000,16.660000,16.660000,84700
2015-07-20,16.740000,17.200001,16.520000,17.020000,17.020000,47600
2015-07-21,16.850000,16.850000,14.800000,14.810000,14.810000,191400
2015-07-22,14.950000,15.209000,14.000000,14.210000,14.210000,123500
2015-07-23,14.460000,14.780000,14.000000,14.315000,14.315000,60100
2015-07-24,14.370000,14.964000,14.370000,14.710000,14.710000,30800
2015-07-27,15.320000,15.686000,14.000000,14.150000,14.150000,47800
2015-07-28,14.280000,14.740000,14.210000,14.700000,14.700000,54900
2015-07-29,14.354000,14.860000,14.290000,14.625000,14.625000,43200
2015-07-30,14.740000,15.000000,14.200000,14.800000,14.800000,50500
2015-07-31,15.350000,15.350000,14.400000,14.840000,14.840000,62600
2015-08-03,15.000000,16.469000,14.540000,15.360000,15.360000,172000
2015-08-04,15.660000,15.660000,14.800000,15.050000,15.050000,81400
2015-08-05,15.540000,15.540000,14.610000,15.350000,15.350000,108400
2015-08-06,15.840000,16.059999,15.320000,15.360000,15.360000,121600
2015-08-07,16.000000,16.799999,15.320000,15.640000,15.640000,128300
2015-08-10,16.000000,16.639999,14.611000,16.320000,16.320000,159600
2015-08-11,16.100000,16.750000,15.320000,16.660000,16.660000,36200
2015-08-12,16.590000,16.590000,15.500000,15.870000,15.870000,43100
2015-08-13,15.970000,16.700001,15.970000,16.400000,16.400000,23100
2015-08-14,16.340000,16.790001,15.960000,16.750000,16.750000,83600
2015-08-17,16.549999,17.930000,16.410000,17.430000,17.430000,73500
2015-08-18,17.450001,17.980000,17.170000,17.889999,17.889999,62400
2015-08-19,17.840000,18.250000,17.396000,17.690001,17.690001,98400
2015-08-20,17.590000,17.590000,16.200001,17.180000,17.180000,44700
2015-08-21,16.780001,17.135000,16.120001,16.920000,16.920000,94800
2015-08-24,16.000000,16.219999,15.000000,15.580000,15.580000,85600
2015-08-25,16.059999,16.700001,15.540000,15.780000,15.780000,31800
2015-08-26,16.500000,17.790001,15.740000,17.010000,17.010000,34700
2015-08-27,17.570000,17.570000,16.629999,17.000000,17.000000,69700
2015-08-28,16.809999,18.000000,16.142000,16.299999,16.299999,32300
2015-08-31,16.110001,16.190001,15.450000,16.010000,16.010000,76100
2015-09-01,15.510000,15.810000,15.110000,15.220000,15.220000,57200
2015-09-02,15.710000,15.840000,15.010000,15.700000,15.700000,48500
2015-09-03,15.970000,17.430000,15.345000,16.850000,16.850000,70900
2015-09-04,16.540001,17.309999,15.451000,17.200001,17.200001,33200
2015-09-08,17.200001,18.370001,16.450001,16.840000,16.840000,81500
2015-09-09,16.910000,18.030001,16.825001,17.650000,17.650000,42900
2015-09-10,17.330000,18.230000,17.219999,17.770000,17.770000,44900
2015-09-11,17.610001,18.230000,17.530001,18.230000,18.230000,28000
2015-09-14,18.020000,18.480000,17.020000,17.090000,17.090000,72400
2015-09-15,17.080000,17.700001,16.610001,17.410000,17.410000,53600
2015-09-16,17.330000,17.650000,16.830000,17.000000,17.000000,47600
2015-09-17,16.879999,17.870001,16.879999,17.610001,17.610001,61900
2015-09-18,17.440001,18.200001,16.830000,16.980000,16.980000,392800
2015-09-21,17.139999,17.760000,16.650000,17.750000,17.750000,79200
2015-09-22,17.600000,17.920000,16.615999,17.469999,17.469999,96500
2015-09-23,17.440001,17.930000,17.100000,17.410000,17.410000,79400
2015-09-24,17.330000,17.879999,17.000000,17.790001,17.790001,73100
2015-09-25,17.900000,17.900000,17.120001,17.510000,17.510000,70100
2015-09-28,17.690001,17.690001,17.070000,17.620001,17.620001,134700
2015-09-29,17.490000,17.620001,16.910000,17.100000,17.100000,72400
2015-09-30,17.270000,17.389999,16.530001,16.850000,16.850000,869100
2015-10-01,16.850000,17.100000,16.240000,16.969999,16.969999,106400
2015-10-02,16.830000,17.232000,16.549999,16.770000,16.770000,106500
2015-10-05,16.910000,17.379999,16.680000,17.299999,17.299999,98800
2015-10-06,17.330000,17.559999,16.930000,17.540001,17.540001,63000
2015-10-07,17.450001,18.389999,17.100000,18.299999,18.299999,129300
2015-10-08,18.200001,18.809999,17.243999,18.500000,18.500000,87600
2015-10-09,18.610001,19.719999,18.360001,19.639999,19.639999,78200
2015-10-12,19.660000,19.750000,19.230000,19.520000,19.520000,91100
2015-10-13,19.350000,19.934999,19.139999,19.540001,19.540001,46100
2015-10-14,19.490000,19.735001,18.930000,18.990000,18.990000,82800
2015-10-15,18.990000,19.305000,18.469999,19.000000,19.000000,129200
2015-10-16,19.100000,19.260000,18.809999,18.950001,18.950001,35500
2015-10-19,18.910000,19.120001,18.709999,18.900000,18.900000,43600
2015-10-20,18.889999,18.920000,18.450001,18.879999,18.879999,71000
2015-10-21,18.750000,18.750000,17.629999,17.680000,17.680000,80400
2015-10-22,17.889999,18.400000,17.570000,17.900000,17.900000,61400
2015-10-23,18.110001,18.230000,17.830000,18.040001,18.040001,49300
2015-10-26,18.000000,18.700001,17.959999,18.200001,18.200001,95400
2015-10-27,18.000000,18.052999,17.000000,17.100000,17.100000,64900
2015-10-28,17.370001,17.900000,17.120001,17.760000,17.760000,78900
2015-10-29,17.730000,18.080000,17.490000,17.629999,17.629999,75900
2015-10-30,17.620001,18.065001,17.240000,17.510000,17.510000,84600
2015-11-02,17.600000,18.459999,17.360001,18.219999,18.219999,213900
2015-11-03,18.120001,18.350000,17.549999,17.760000,17.760000,72600
2015-11-04,17.750000,17.910000,17.290001,17.580000,17.580000,30100
2015-11-05,17.650000,17.850000,16.260000,16.850000,16.850000,70800
2015-11-06,16.830000,17.250000,16.719999,17.170000,17.170000,24400
2015-11-09,17.010000,17.850000,17.006001,17.719999,17.719999,59600
2015-11-10,17.900000,17.900000,16.010000,16.459999,16.459999,131000
2015-11-11,16.610001,16.780001,15.560000,15.630000,15.630000,60100
2015-11-12,16.030001,16.030001,15.350000,15.440000,15.440000,42000
2015-11-13,15.380000,15.900000,15.330000,15.390000,15.390000,43100
2015-11-16,15.320000,15.910000,15.320000,15.650000,15.650000,41900
2015-11-17,15.860000,15.940000,15.510000,15.910000,15.910000,29900
2015-11-18,16.020000,16.049999,15.530000,15.990000,15.990000,29800
2015-11-19,15.870000,15.990000,15.630000,15.830000,15.830000,25200
2015-11-20,15.760000,16.040001,15.610000,15.790000,15.790000,35300
2015-11-23,15.740000,16.049999,15.700000,15.910000,15.910000,36800
2015-11-24,15.800000,16.049999,15.660000,15.990000,15.990000,21300
2015-11-25,16.000000,17.000000,16.000000,16.639999,16.639999,38300
