Date,Open,High,Low,Close,Adj Close,Volume
2016-04-20,22.000000,22.000000,22.000000,22.000000,22.000000,0
2016-04-21,26.500000,27.400000,26.000000,26.500000,26.500000,4996100
2016-04-22,26.430000,27.250000,26.250000,26.600000,26.600000,469000
2016-04-25,26.799999,27.000000,26.660000,26.889999,26.889999,169900
2016-04-26,26.900000,28.250000,26.799999,28.139999,28.139999,174300
2016-04-27,27.549999,28.950001,27.250000,27.500000,27.500000,218600
2016-04-28,27.920000,27.940001,27.350000,27.500000,27.500000,131200
2016-04-29,27.400000,28.299999,27.030001,28.120001,28.120001,165500
2016-05-02,28.260000,28.434000,27.670000,27.799999,27.799999,72700
2016-05-03,27.500000,27.760000,27.250000,27.760000,27.760000,90700
2016-05-04,27.750000,27.940001,27.410000,27.799999,27.799999,163700
2016-05-05,27.780001,28.000000,27.400000,27.530001,27.530001,82600
2016-05-06,27.600000,27.910000,27.049999,27.270000,27.270000,167700
2016-05-09,27.070000,28.719999,27.070000,27.590000,27.590000,288900
2016-05-10,27.889999,27.980000,27.379999,27.580000,27.580000,38500
2016-05-11,27.900000,28.000000,27.600000,27.900000,27.900000,47400
2016-05-12,28.000000,28.000000,27.000000,27.230000,27.230000,92800
2016-05-13,27.450001,28.075001,27.150000,27.709999,27.709999,264700
2016-05-16,27.719999,28.490000,27.430000,28.350000,28.350000,215000
2016-05-17,28.469999,28.469999,27.299999,27.600000,27.600000,246500
2016-05-18,27.700001,27.719999,27.420000,27.520000,27.520000,147300
2016-05-19,27.320000,27.780001,27.080000,27.650000,27.650000,183100
2016-05-20,27.500000,27.980000,27.430000,27.610001,27.610001,95300
2016-05-23,27.500000,27.600000,27.270000,27.480000,27.480000,209700
2016-05-24,27.120001,27.510000,27.000000,27.330000,27.330000,205400
2016-05-25,27.389999,27.500000,26.930000,27.059999,27.059999,153600
2016-05-26,27.020000,27.448999,27.020000,27.290001,27.290001,62800
2016-05-27,27.030001,27.379999,26.950001,27.200001,27.200001,144500
2016-05-31,27.230000,28.090000,26.860001,27.990000,27.990000,108700
2016-06-01,27.910000,28.360001,27.775000,28.030001,28.030001,106100
2016-06-02,28.000000,28.455000,27.900000,28.250000,28.250000,156700
2016-06-03,28.219999,28.375000,27.719999,28.260000,28.260000,66800
2016-06-06,28.129999,28.990000,27.820000,28.910000,28.910000,201600
2016-06-07,28.950001,28.950001,28.240000,28.510000,28.510000,221900
2016-06-08,28.450001,28.900000,28.180000,28.600000,28.600000,74900
2016-06-09,28.510000,29.389999,28.230000,29.000000,29.000000,154600
2016-06-10,28.940001,29.200001,27.830000,28.959999,28.959999,109400
2016-06-13,28.889999,29.650000,28.610001,29.209999,29.209999,179000
2016-06-14,29.209999,29.480000,28.389999,28.900000,28.900000,90700
2016-06-15,29.059999,29.219999,28.260000,28.559999,28.559999,93900
2016-06-16,28.450001,28.580000,27.270000,27.740000,27.740000,131900
2016-06-17,27.850000,28.120001,27.160000,27.379999,27.379999,699500
2016-06-20,27.299999,27.950001,26.990000,27.110001,27.110001,101100
