Date,Open,High,Low,Close,Adj Close,Volume
2011-04-14,21.000000,22.000000,20.799999,21.200001,18.751789,63774200
2011-04-15,21.219999,21.840000,20.809999,21.360001,18.893311,5891700
2011-04-18,21.299999,22.950001,21.110001,22.900000,20.255468,5759100
2011-04-19,23.170000,24.959999,22.780001,24.730000,21.874140,11062300
2011-04-20,25.799999,25.950001,23.799999,24.040001,21.263821,5863400
2011-04-21,24.100000,24.200001,22.889999,23.670000,20.936552,2406400
2011-04-25,23.650000,23.840000,23.070000,23.559999,20.839251,1169800
2011-04-26,23.870001,23.900000,22.750000,22.879999,20.237778,1800000
2011-04-27,23.100000,23.150000,21.959999,22.389999,19.804361,1828600
2011-04-28,22.250000,22.450001,21.799999,22.100000,19.547855,1669100
2011-04-29,22.049999,22.100000,21.510000,22.030001,19.485941,1956200
2011-05-02,22.090000,23.090000,22.090000,22.500000,19.901665,2014300
2011-05-03,22.650000,22.750000,22.320000,22.690001,20.069725,1792100
2011-05-04,22.600000,22.750000,22.540001,22.650000,20.034342,844200
2011-05-05,22.600000,23.150000,22.389999,22.610001,19.998964,1681400
2011-05-06,23.100000,23.100000,21.510000,22.030001,19.485941,3614700
2011-05-09,22.240000,22.500000,22.049999,22.480000,19.883970,621600
2011-05-10,22.570000,22.700001,22.190001,22.240000,19.671690,888100
2011-05-11,22.100000,22.120001,21.660000,21.809999,19.291346,1165300
2011-05-12,21.670000,21.709999,20.889999,21.480000,18.999454,1251800
2011-05-13,21.480000,22.350000,21.280001,22.250000,19.680534,1497700
2011-05-16,22.410000,22.410000,21.700001,21.900000,19.370955,572100
2011-05-17,21.879999,21.900000,21.350000,21.750000,19.238276,780000
2011-05-18,21.760000,22.590000,21.760000,22.350000,19.768984,914000
2011-05-19,22.500000,22.549999,21.830000,22.250000,19.680534,683300
2011-05-20,22.250000,22.250000,21.870001,22.010000,19.468252,444100
2011-05-23,21.940001,22.139999,21.760000,22.000000,19.459404,858000
2011-05-24,22.549999,22.549999,21.870001,22.010000,19.468252,1998600
2011-05-25,21.900000,22.040001,21.799999,21.900000,19.370955,531100
2011-05-26,21.900000,22.900000,21.750000,22.670000,20.052032,1050600
2011-05-27,22.830000,23.400000,22.610001,23.139999,20.467754,924100
2011-05-31,23.389999,23.400000,22.520000,22.750000,20.122795,750700
2011-06-01,22.940001,22.940001,22.000000,22.090000,19.539007,640400
2011-06-02,22.379999,22.440001,21.700001,22.370001,19.786674,1122200
2011-06-03,22.170000,23.270000,22.120001,22.969999,20.317383,728300
2011-06-06,23.290001,23.340000,22.549999,22.660000,20.043184,529600
2011-06-07,22.700001,23.250000,22.530001,23.150000,20.476597,697800
2011-06-08,23.059999,23.379999,21.530001,21.730000,19.220581,1310600
2011-06-09,21.730000,22.059999,21.340000,21.850000,19.326727,856300
2011-06-10,21.809999,21.879999,21.219999,21.340000,18.875620,425500
2011-06-13,21.340000,21.500000,20.889999,21.010000,18.583733,719500
2011-06-14,21.100000,21.250000,20.420000,20.790001,18.389137,1870000
2011-06-15,20.719999,20.820000,19.700001,20.730000,18.389133,945400
2011-06-16,20.660000,21.090000,20.639999,20.950001,18.584291,438200
2011-06-17,21.100000,21.100000,20.090000,20.150000,17.874632,982700
2011-06-20,20.059999,20.600000,19.809999,20.450001,18.140757,770100
2011-06-21,20.740000,21.190001,20.330000,21.160000,18.770580,948600
2011-06-22,21.260000,21.340000,20.660000,20.730000,18.389133,557300
2011-06-23,20.830000,20.950001,20.450001,20.910000,18.548813,505300
2011-06-24,20.969999,21.000000,20.510000,20.750000,18.406879,252600
2011-06-27,20.959999,20.969999,20.510000,20.700001,18.362526,458700
2011-06-28,20.700001,21.420000,20.660000,21.250000,18.850416,1276400
2011-06-29,21.299999,21.400000,20.969999,21.250000,18.850416,544200
2011-06-30,21.340000,21.620001,20.930000,21.090000,18.708485,977600
2011-07-01,21.059999,22.000000,21.059999,21.500000,19.072189,406400
2011-07-05,21.549999,21.940001,21.260000,21.809999,19.347181,235200
2011-07-06,21.840000,22.450001,21.840000,22.020000,19.533468,1029200
2011-07-07,22.129999,22.459999,21.870001,22.459999,19.923782,1249000
2011-07-08,22.280001,22.490000,22.000000,22.350000,19.826200,597700
2011-07-11,22.110001,22.180000,21.670000,21.959999,19.480244,443400
2011-07-12,22.040001,22.080000,21.719999,21.719999,19.267342,843200
2011-07-13,21.809999,21.980000,21.120001,21.280001,18.877031,612600
2011-07-14,21.299999,21.600000,20.990000,21.000000,18.628643,429300
2011-07-15,20.969999,21.180000,20.650000,20.709999,18.371395,442300
2011-07-18,20.610001,20.680000,19.950001,19.980000,17.723824,778600
2011-07-19,20.150000,21.490000,20.139999,21.340000,18.930256,823000
2011-07-20,21.420000,21.770000,21.309999,21.500000,19.072189,666700
2011-07-21,21.620001,22.000000,21.530001,21.790001,19.329443,600200
2011-07-22,21.959999,24.170000,21.820000,23.500000,20.846344,2227900
2011-07-25,23.120001,23.790001,22.950001,23.469999,20.819733,683500
2011-07-26,23.500000,23.610001,22.930000,23.510000,20.855215,451800
2011-07-27,23.260000,23.260000,22.850000,22.900000,20.314098,464500
2011-07-28,22.950001,23.049999,22.500000,22.709999,20.145554,372500
2011-07-29,22.540001,23.980000,22.320000,23.459999,20.810858,949500
2011-08-01,23.879999,24.410000,22.660000,23.510000,20.855215,747100
2011-08-02,24.200001,25.400000,24.000000,25.129999,22.292282,4454700
2011-08-03,24.879999,25.660000,24.270000,25.400000,22.531790,1480600
2011-08-04,25.400000,25.490000,24.639999,24.850000,22.043900,1452300
2011-08-05,25.000000,25.100000,23.030001,24.240000,21.502783,1557600
2011-08-08,23.360001,23.500000,21.000000,22.030001,19.542343,2738400
2011-08-09,22.330000,22.379999,21.350000,22.070000,19.577816,1986400
2011-08-10,21.850000,23.520000,21.799999,22.450001,19.914907,1107800
2011-08-11,22.360001,25.059999,22.200001,24.500000,21.733425,2593900
2011-08-12,24.520000,24.950001,24.030001,24.309999,21.564878,441200
2011-08-15,24.459999,24.950001,23.799999,24.639999,21.857615,676800
2011-08-16,24.379999,25.020000,24.219999,24.950001,22.132607,770700
2011-08-17,25.110001,26.480000,24.959999,26.000000,23.064034,2049600
2011-08-18,25.350000,26.090000,24.240000,24.690001,21.901972,1305300
2011-08-19,24.660000,25.299999,23.219999,23.420000,20.775377,1204800
2011-08-22,24.290001,24.730000,23.660000,24.420000,21.662455,548500
2011-08-23,24.770000,24.870001,24.230000,24.610001,21.831001,531200
2011-08-24,24.950001,25.440001,24.320000,24.889999,22.079380,704100
2011-08-25,25.040001,25.280001,24.410000,24.549999,21.777777,358400
2011-08-26,24.510000,25.180000,23.799999,24.250000,21.511652,646600
2011-08-29,24.570000,26.490000,24.500000,25.780001,22.868883,1012100
2011-08-30,26.080000,27.930000,25.809999,26.959999,23.915636,2293100
2011-08-31,27.350000,28.600000,26.980000,27.570000,24.456753,1691900
2011-09-01,27.980000,28.139999,26.700001,27.139999,24.075310,905400
2011-09-02,26.610001,27.219999,26.080000,27.059999,24.004343,1013700
2011-09-06,26.760000,26.760000,25.559999,26.700001,23.684998,1062400
2011-09-07,27.209999,27.299999,26.850000,27.180000,24.110792,1131100
2011-09-08,27.180000,28.959999,27.040001,28.250000,25.059965,1550300
2011-09-09,28.070000,29.430000,27.540001,28.520000,25.299475,2126400
2011-09-12,28.200001,28.290001,26.830000,28.049999,24.882551,1022800
2011-09-13,28.090000,28.370001,27.170000,27.459999,24.359173,1013400
2011-09-14,27.850000,28.100000,27.000000,27.940001,24.784973,1196800
2011-09-15,28.250000,28.250000,26.940001,27.459999,24.359173,1090000
2011-09-16,27.639999,27.870001,27.100000,27.360001,24.270464,553200
